"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"barceloratnasingham2023",0.0876319975504708,0.0423533137874347,620,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",0.0876319975504708,0.00159079198495649
"braithwaiteetal2019",-0.217863587135276,0.0568185748469526,590,"lebanon","2017","N","Y","N","N","N","N","o",6.5,"Inidividual","Syrian Civil War",1,1,"1","0","2",-0.217863587135276,0.00154044787369317
"braithwaiteetal2019",0.0760521564236079,0.023154754329768,2285,"lebanon","2017","N","Y","N","N","N","N","s",6.5,"Inidividual","Syrian Civil War",1,1,"1","0","2",0.0760521564236079,0.00043277828058609
"cassaretal2013",0.0354292432453007,0.0393657567430413,395,"tajikistan","2010","N","N","N","N","N","N","s",15.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",0.0354292432453007,0.0025317033326185
"cassaretal2013",0.0760090075457945,0.0532453003881174,405,"tajikistan","2010","N","N","N","N","N","N","s",15.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",0.0760090075457945,0.00244672930578961
"cecchietal2015",0.174752987628247,0.0945445475393686,162,"sierraleone","2010","N","N","N","N","N","N","s",13.5,"Individual","Sierra Leone Civil war",1,1,"o","0","2",0.174752987628247,0.00583761113744264
"cilliersetal2016",0.0709578888278144,0.0215827371968465,3000,"sierraleone","2014","N","N","N","N","N","N","s",17.5,"Individual","Sierra Leone Civil War",1,1,"1","0","2",0.0709578888278144,0.00033009513420227
"dinasetal2021a",0.0544470661181802,0.0176931656872933,3155,"germany","2018","N","N","N","N","N","N","o",71.5,"Individual","World War II",1,1,"1","1","",0.0544470661181802,0.000315180666500239
"dinasetal2021b",0.0572748787617542,0.0250361349783181,1517,"germany","2018","N","N","N","N","N","N","s",71.5,"Individual","World War II",1,1,"0","0","",0.0572748787617542,0.000655309985241964
"dinasetal2021c",0.0558099942013813,0.0275610336462283,1650,"greece","2017","N","N","N","N","N","N","s",96.5,"Individual","Greco-Turkish War",1,1,"0","0","",0.0558099942013813,0.000602656270949675
"elbialyetal2022a",-0.0587888848116852,0.0902351457432127,137,"jordan","2018","N","N","N","N","N","N","s",4,"Individual","Syrian Civil War",1,1,"1","1","2",-0.0587888848116852,0.00730220352132614
"elbialyetal2022b",-0.00155254612241073,0.0278725121721451,119,"germany","2018","N","N","N","N","N","N","s",4,"Individual","Syrian Civil War",1,1,"1","1","2",-0.00155254612241073,0.0084745354170075
"gilliganetal2014",0.0934063995734679,0.06185517759646,252,"nepal","2009","N","N","N","N","N","N","s",7,"Individual","Nepali Civil War",1,1,"1","1","2",0.0934063995734679,0.00391484705336913
"gilliganetal2014",0.173927277874429,0.0693199065132972,252,"nepal","2009","N","N","N","N","N","N","s",7,"Individual","Nepali Civil War",1,1,"1","1","2",0.173927277874429,0.00374666816235535
"hartmanmorse2018",0.1429501535065,0.0284311443598953,1224,"liberia","2013","N","N","N","N","N","N","s",2.5,"Individual","Ivorian Civil war",1,1,"1","0","2",0.1429501535065,0.000784585516013785
"hartmanmorseweber2021",0.0964797785258194,0.0414888821240531,2178,"syria","2017","N","N","N","N","N","N","s",3,"Individual and Family","Syrian Civil War",1,1,"1","1","2",0.0964797785258194,0.000450835989897776
"hassanetal2023a",-0.291357376671301,0.0835406550850173,150,"syria","2020","N","N","N","N","N","N","s",5.5,"Individual","Arab Spring",1,1,"1","1","",-0.291357376671301,0.00562032161726533
"hassanetal2023b",-0.0166050093391066,0.0885708794891304,118,"sudan","2020","N","N","N","N","N","N","s",5.5,"Individual","Arab Spring",1,1,"1","1","",-0.0166050093391066,0.00854229592610862
"henrichetal2019b",0.138677410629634,0.0540266995408602,406,"tajikistan","2011","N","N","N","N","N","N","s",16.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",0.138677410629634,0.00237507901046817
"koos2018",0.109505603298542,0.0228591462636124,5475,"sierraleone","2017","N","N","Y","N","N","N","s",20.5,"Individual","Sierra Leone Civil War",1,1,"1","0","2",0.109505603298542,0.000178326788676795
"lindseykoos2024",-0.0240523479596339,0.0389776769906371,980,"congo","2017","N","N","N","N","N","N","s",18.5,"Household","Congo wars",1,1,"1","0","1",-0.0240523479596339,0.00102026895178281
"mironovawhitt2016",0.436908603040887,0.0614741707282423,1127,"bosnia","2013","N","N","N","N","N","N","s",19.5,"Individual","Yugoslavian Wars",1,1,"1","0","1",0.436908603040887,0.000581403556075939
"mironovawhitt2018",-0.107207505003826,0.0346573306181922,677,"kosovo","2011","N","N","N","N","N","N","s",12.5,"Individual","Yugoslavian Wars",1,1,"1","0","",-0.107207505003826,0.00144548106673756
"mironovawhitt2018",0.0593471682497249,0.0460116359080573,466,"kosovo","2011","N","N","N","N","N","N","s",12.5,"Individual","Yugoslavian Wars",1,1,"1","0","",0.0593471682497249,0.00213541555340632
"mullerwhitt2020",0.157554023496213,0.0728753969831817,324,"tajikistan","2015","N","N","N","N","N","N","s",20.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",0.157554023496213,0.00294417849569561
"nairsambanis2019",-0.0461530419642381,0.0314085586010779,977,"india","2015","N","N","N","N","Y","N","s",8,"Individual","Kashmir Conflict",1,1,"1","0","1",-0.0461530419642381,0.00102022984710542
"nairsambanis2019",-0.0368556262741152,0.0324439730198675,977,"india","2015","N","N","N","N","Y","Y","s",8,"Individual","Kashmir Conflict",1,1,"1","0","1",-0.0368556262741152,0.00102180857654078
"osborneetal2018",0.0624979768080453,0.0610476747670535,275,"uganda","2012","N","N","N","N","Y","N","o",15.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"0","1","2",0.0624979768080453,0.00362117979052258
"osborneetal2018",-0.0357007847123601,0.0594533142786229,275,"uganda","2012","N","N","N","N","Y","N","o",15.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"0","1","2",-0.0357007847123601,0.00364033770952344
