"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"barceloratnasingham2023",0.0989155891144023,0.0427374138869197,628,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",0.0989155891144023,0.00156383914651495
"braithwaiteetal2019",-0.203671875976808,0.0398360641538056,590,"lebanon","2017","N","Y","N","N","N","N","s",6.5,"Inidividual","Syrian Civil War",1,1,"1","0","2",-0.203671875976808,0.00155985791092045
"braithwaiteetal2019",0.0733993362842433,0.0226446511810409,2285,"lebanon","2017","N","Y","N","N","N","N","s",6.5,"Inidividual","Syrian Civil War",1,1,"1","0","2",0.0733993362842433,0.000433123511216714
"cassaretal2013",-0.0394433520119991,0.0417263168253622,410,"tajikistan","2010","N","N","N","N","N","N","s",15.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",-0.0394433520119991,0.00243738597655099
"cassaretal2013",0.00482663350099198,0.0510311357542967,420,"tajikistan","2010","N","N","N","N","N","N","s",15.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",0.00482663350099198,0.0023865236462072
"cecchietal2015",0.145612452816353,0.0868770352386348,162,"sierraleone","2010","N","N","N","N","N","N","s",13.5,"Individual","Sierra Leone Civil war",1,1,"o","0","2",0.145612452816353,0.00595058132796605
"cilliersetal2016",0.0562455773066617,0.0209492860726391,3000,"sierraleone","2014","N","N","N","N","N","N","s",17.5,"Individual","Sierra Leone Civil War",1,1,"1","0","2",0.0562455773066617,0.000331338072094091
"dinasetal2021a",0.0731087502564166,0.0177761923536944,3155,"germany","2018","N","N","N","N","N","N","s",71.5,"Individual","World War II",1,1,"1","1","",0.0731087502564166,0.000313677485451555
"dinasetal2021b",0.0816435165102834,0.0257275417029782,1517,"germany","2018","N","N","N","N","N","N","s",71.5,"Individual","World War II",1,1,"0","0","",0.0816435165102834,0.000650866163256865
"dinasetal2021c",0.0623513413734627,0.028005397816746,1737,"greece","2017","N","N","N","N","N","N","s",96.5,"Individual","Greco-Turkish War",1,1,"0","0","",0.0623513413734627,0.000571566667390332
