"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"annanetal2011",-0.0730319398814086,0.0321206511550274,1244,"uganda","2007","N","N","N","N","Y","N","s",11,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","0","2",-0.0730319398814086,0.000795946194278819
"barceloratnasingham2023",0.196986646676823,0.0418265584284928,620,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",0.196986646676823,0.00149256583557353
"canettietal2017",0.0633141250395598,0.0221408581809854,1848,"israel","2008","N","N","N","N","N","N","s",0.5,"Individual","Israel-Palestine conflict",1,1,"0","0","1",0.0633141250395598,0.000537086471382621
"coupeobrizan2016a",0.0974206830096322,0.0351716058848163,861,"ukraine","2014","N","N","N","N","N","N","s",0.5,"Individual","Russo-Ukrainian War",1,1,"1","0","1",0.0974206830096322,0.0011408238327079
"davalosetal2018",-0.132572965709013,0.0248615028713979,666,"colombia","2016","N","N","N","N","N","N","o",10.5,"Municipality","Colombian conflict",1,1,"1","0","2",-0.132572965709013,0.00145136499087753
"dyrstadetal2011",-0.0441221316503967,0.0323427842143425,1875,"macedonia","2005","N","N","N","N","N","N","o",4,"Individual","Insurgency in Macedonia",1,1,"1","1","2",-0.0441221316503967,0.000531542297161946
"dyrstadetal2021a",0.0459182215247313,0.0482867786762596,935,"guatemala","2016","N","N","N","N","N","N","s",38,"Individual","Guatemalan Civil War",1,1,"1","0","2",0.0459182215247313,0.00106615361837779
"dyrstadetal2021b",-0.0611098707977117,0.0275693025174468,685,"northernireland","2016","N","N","N","N","N","N","s",33,"Individual","The Troubles",1,1,"1","0","1",-0.0611098707977117,0.00145108934685284
"dyrstadetal2021c",-0.0859506216071756,0.0348864724349012,786,"nepal","2016","N","N","N","N","N","N","s",14.5,"Individual","Nepali Civil War",1,1,"1","0","2",-0.0859506216071756,0.0012551331931021
"esparzaetal2020",-0.10673228030215,0.0308676225177885,1529,"colombia","2016","N","N","N","N","N","N","o",2,"individual","Colombian Conflict",1,1,"1","1","2",-0.10673228030215,0.000639624485161514
