"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"annanetal2011",-0.0943789366086262,0.034663294149971,1243,"uganda","2007","N","N","N","N","Y","N","s",11,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","0","2",-0.0943789366086262,0.000790873248094356
"barceloratnasingham2023",0.157812992041573,0.0386994283866975,628,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",0.157812992041573,0.00151644397949752
"canettietal2017",0.166915616619349,0.0210227280642138,2180,"israel","2008","N","N","N","N","N","N","s",0.5,"Individual","Israel-Palestine conflict",1,1,"0","0","1",0.166915616619349,0.000433710224561442
"coupeobrizan2016a",0.0956458460901524,0.0347725990645047,861,"ukraine","2014","N","N","N","N","N","N","s",0.5,"Individual","Russo-Ukrainian War",1,1,"1","0","1",0.0956458460901524,0.00114161329359884
"davalosetal2018",-0.171004889982023,0.0390471963854293,666,"colombia","2016","N","N","N","N","N","N","s",10.5,"Municipality","Colombian conflict",1,1,"1","0","2",-0.171004889982023,0.00141709742720817
"dyrstadetal2011",0.338536356654548,0.0667641017832698,1881,"macedonia","2005","N","N","N","N","N","N","s",4,"Individual","Insurgency in Macedonia",1,1,"1","1","2",0.338536356654548,0.000416979257393685
"dyrstadetal2021a",0.0308082238779893,0.0474687665564699,962,"guatemala","2016","N","N","N","N","N","N","s",38,"Individual","Guatemalan Civil War",1,1,"1","0","2",0.0308082238779893,0.00103860833253106
"dyrstadetal2021b",-0.0555377675606138,0.0271244413303508,713,"northernireland","2016","N","N","N","N","N","N","s",33,"Individual","The Troubles",1,1,"1","0","1",-0.0555377675606138,0.00139584357660287
"dyrstadetal2021c",-0.105761412740896,0.0337893607959076,787,"nepal","2016","N","N","N","N","N","N","s",14.5,"Individual","Nepali Civil War",1,1,"1","0","2",-0.105761412740896,0.00124396203820986
"esparzaetal2020",-0.114607398737345,0.0299726953588112,1543,"colombia","2016","N","N","N","N","N","N","s",2,"individual","Colombian Conflict",1,1,"1","1","2",-0.114607398737345,0.000631584184661087
"esparzaetal2020",-0.00531679154123787,0.0260628534277704,1539,"colombia","2016","N","N","N","N","N","N","s",2,"individual","Colombian Conflict",1,1,"1","1","2",-0.00531679154123787,0.000650158299255208
"fabbeetal2023",-0.342119888359011,0.0358622606120622,1069,"turkey","2016","N","N","N","N","N","N","s",2.5,"Individual","Syrian Civil War",1,1,"1","0","2",-0.342119888359011,0.000729969788680352
"fabbeetal2023",-0.233310183667259,0.0321310998973388,1072,"turkey","2016","N","N","N","N","N","N","s",2.5,"Individual","Syrian Civil War",1,1,"1","0","2",-0.233310183667259,0.000834823284551093
"getmanskyweiss2023b",-0.0487193847826392,0.0276626761892322,1199,"israel","1986","N","N","N","Y","N","N","s",13,"Individual","Israel-Palestine conflict",1,1,"1","0","1",-0.0487193847826392,0.000830766675265006
