"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"aaskoven2022",-0.0442645814532974,0.0206083637241067,1188,"denmark","1972","N","N","N","N","N","N","o",29.5,"Municipality, Individual","World War II",1,1,"0","0","",-0.0442645814532974,0.000839161864130058
"annanetal2011",-0.00607327227762295,0.0562576066902162,498,"uganda","2007","N","N","N","N","Y","N","s",11,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","0","2",-0.00607327227762295,0.00201192400822567
"balcells2012",-0.0343347288521465,0.0193394969551369,2274,"spain","2008","N","N","N","N","N","N","s",70.5,"Individual","Spanish Civil War",1,1,"0","0","N/A",-0.0343347288521465,0.000438910533450188
"barcelo2021",0.0171330029203516,0.0733490411869143,697,"vietnam","2001","N","N","Y","N","N","N","o",31,"Individual","Vietnam War",1,1,"1","1","1",0.0171330029203516,0.00143593822785556
"barceloratnasingham2023",-0.226138128911011,0.0400552790371644,620,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",-0.226138128911011,0.00145450441795802
"cassaretal2013",0.107142292936711,0.053529776835001,401,"tajikistan","2010","N","N","N","N","N","N","s",15.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",0.107142292936711,0.00244293209095373
"delucaverpoorten2015a",0.0146037293968987,0.0276526790924763,3276,"uganda","2005","Y","N","Y","N","N","N","o",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0146037293968987,0.000305213284781384
"delucaverpoorten2015a",-0.0520825517825126,0.0483988748632422,3750,"uganda","2008","Y","N","Y","N","N","N","o",11.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.0520825517825126,0.000265292657710346
"delucaverpoorten2015a",-0.0646441788984015,0.0305734556370272,3796,"uganda","2012","Y","N","Y","N","N","N","o",15.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.0646441788984015,0.000261306909940041
"dyrstad2013a",0.00516377711045222,0.0138416307906269,5502,"bosnia","2004","N","N","N","N","N","N","o",10.5,"Individual","Yugoslavian Wars",1,1,"1","0","1",0.00516377711045222,0.000181775435652228
"dyrstad2013a",-0.0259831338758963,0.00830968447575452,5759,"bosnia","2004","N","N","N","N","N","N","s",10.5,"Individual","Yugoslavian Wars",1,1,"1","0","1",-0.0259831338758963,0.00017343699362615
"dyrstad2013b",0.0689458079706842,0.0215190348326085,2020,"croatia","2004","N","N","N","N","N","N","o",11,"Individual","Yugoslavian Wars",1,1,"1","0","1",0.0689458079706842,0.000490597101100104
"dyrstad2013b",-0.00801748808545385,0.0207449889371046,2020,"croatia","2004","N","N","N","N","N","N","s",11,"Individual","Yugoslavian Wars",1,1,"1","0","1",-0.00801748808545385,0.000495231027192438
"dyrstad2013c",0.0513192627925534,0.0200227886824424,2263,"kosovo","2004","N","N","N","N","N","N","o",10.5,"Individual","Yugoslavian Wars",1,1,"1","0","1",0.0513192627925534,0.000439761097583254
"dyrstad2013c",0.0891582801455161,0.011319266360502,2263,"kosovo","2004","N","N","N","N","N","N","s",10.5,"Individual","Yugoslavian Wars",1,1,"1","0","1",0.0891582801455161,0.000435086114910006
"eladstrengeretal2021",-0.00566586996093824,0.0329164753146369,932,"israel","2007","N","N","N","N","N","N","s",0.5,"Individual","Israel-Palestine conflict",1,1,"1","1","1",-0.00566586996093824,0.0010740448945926
"esparzaetal2020",0.00628271181323709,0.0325968164825525,1503,"colombia","2016","N","N","N","N","N","N","o",2,"individual","Colombian Conflict",1,1,"1","1","2",0.00628271181323709,0.00066572640254502
"esparzaetal2020",-0.046574232067178,0.0258930962901839,1499,"colombia","2016","N","N","N","N","N","N","s",2,"individual","Colombian Conflict",1,1,"1","1","2",-0.046574232067178,0.000664663809790303
"glaurdicvukovic2015",0.328071003133857,0.0627947805718522,546,"croatia","2012","N","N","N","N","N","N","o",19,"Municipality","Yugoslavian Wars",1,1,"0","0","1",0.328071003133857,0.00146114344261164
"grosjean2014",0.0136973504153003,0.00875735773318238,27529,"europe","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","1","",0.0136973504153003,3.6313019485015e-05
"hassanetal2023a",-0.000755980791779343,0.0779553275389155,78,"syria","2020","N","N","N","N","N","N","s",5.5,"Individual","Arab Spring",1,1,"1","1","",-0.000755980791779343,0.0129869981426807
"henrichetal2019b",0.16399325951563,0.0509948302588381,402,"tajikistan","2011","N","N","N","N","N","N","s",16.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",0.16399325951563,0.00236143565476961
"kijewski2019",-0.00168604406267139,0.0155368883561835,22854,"global","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","1","",-0.00168604406267139,4.37576823401268e-05
"lewistopal2022",0.233509457229189,0.0930128980851704,1748,"uganda","2008","N","N","N","N","N","N","o",0.5,"Individual","Lord's Resistance Army (LRA) insurgency",1,1,"0","0","2",0.233509457229189,0.000511688508380798
"liendobraithwaite2018",0.0407934072990545,0.0331737131956045,1136,"colombia","2014","N","N","N","N","N","N","o",7,"Individual","Colombia conflict",1,1,"0","0","2",0.0407934072990545,0.00087812737011242
"liendobraithwaite2018",-0.0363388136203675,0.0295062581791729,1136,"colombia","2014","N","N","N","N","N","N","s",7,"Individual","Colombia conflict",1,1,"0","0","2",-0.0363388136203675,0.000878731916294572
"malasquezsalgado2021",0.0344777002556535,0.0108227075396813,19356,"peru","2007","N","N","N","N","N","N","o",17,"Individual","Peruvian Conflict",1,1,"1","0","2",0.0344777002556535,5.15434765903354e-05
"malasquezsalgado2021",0.0293829536376315,0.0154932910909156,18532,"peru","2008","N","N","N","N","N","N","o",18,"Individual","Peruvian Conflict",1,1,"1","0","2",0.0293829536376315,5.38704888812278e-05
"malasquezsalgado2021",0.029977100030848,0.0131332257269917,18561,"peru","2009","N","N","N","N","N","N","o",19,"Individual","Peruvian Conflict",1,1,"1","0","2",0.029977100030848,5.37825190989825e-05
