"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"aaskoven2022",-0.0346938272545574,0.0204845424662584,1224,"denmark","1972","N","N","N","N","N","N","s",29.5,"Municipality, Individual","World War II",1,1,"0","0","",-0.0346938272545574,0.000815694297221773
"annanetal2011",0.0723687639698985,0.0498421601173809,498,"uganda","2007","N","N","N","N","Y","N","s",11,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","0","2",0.0723687639698985,0.00199105221864143
"balcells2012",-0.0916846940430013,0.0189769452941453,2827,"spain","2008","N","N","N","N","N","N","s",70.5,"Individual","Spanish Civil War",1,1,"0","0","N/A",-0.0916846940430013,0.000347932942671597
"barcelo2021",-0.130980690030607,0.0440328185181222,699,"vietnam","2001","N","N","Y","N","N","N","s",31,"Individual","Vietnam War",1,1,"1","1","1",-0.130980690030607,0.00138392900285864
"barceloratnasingham2023",-0.222160304173857,0.0354942495334863,628,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",-0.222160304173857,0.00144134853961705
"cassaretal2013",0.280912708754384,0.0438967297880225,415,"tajikistan","2010","N","N","N","N","N","N","s",15.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",0.280912708754384,0.00204928308203826
"delucaverpoorten2015a",0.0545816507354423,0.0341244449036462,1713,"uganda","2005","Y","N","Y","N","N","N","s",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0545816507354423,0.000580637010619169
"delucaverpoorten2015a",0.041890484549335,0.0356599621927335,2152,"uganda","2008","Y","N","Y","N","N","N","s",11.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.041890484549335,0.000463269853080447
"delucaverpoorten2015a",-0.0354336372510081,0.0304093229221542,2204,"uganda","2012","Y","N","Y","N","N","N","s",15.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.0354336372510081,0.000452787331407023
"dyrstad2013a",0.0156995237788399,0.0115232695309339,6478,"bosnia","2004","N","N","N","N","N","N","s",10.5,"Individual","Yugoslavian Wars",1,1,"1","0","1",0.0156995237788399,0.000154316367246593
"dyrstad2013a",-0.0106555570398757,0.00774624654769721,6783,"bosnia","2004","N","N","N","N","N","N","s",10.5,"Individual","Yugoslavian Wars",1,1,"1","0","1",-0.0106555570398757,0.000147415648938348
"dyrstad2013b",0.111896636089525,0.0189892034871199,2485,"croatia","2004","N","N","N","N","N","N","s",11,"Individual","Yugoslavian Wars",1,1,"1","0","1",0.111896636089525,0.000392558396750371
"dyrstad2013b",-0.0250640585178604,0.0202176128339482,2485,"croatia","2004","N","N","N","N","N","N","s",11,"Individual","Yugoslavian Wars",1,1,"1","0","1",-0.0250640585178604,0.000402070845646255
"dyrstad2013c",0.105837393869384,0.0186138299542148,2503,"kosovo","2004","N","N","N","N","N","N","s",10.5,"Individual","Yugoslavian Wars",1,1,"1","0","1",0.105837393869384,0.000390776325710859
"dyrstad2013c",0.138877538872072,0.0110110875092547,2503,"kosovo","2004","N","N","N","N","N","N","s",10.5,"Individual","Yugoslavian Wars",1,1,"1","0","1",0.138877538872072,0.000384411688903451
"eladstrengeretal2021",-0.0198349368686749,0.0298441252439946,1088,"israel","2007","N","N","N","N","N","N","s",0.5,"Individual","Israel-Palestine conflict",1,1,"1","1","1",-0.0198349368686749,0.000919239471335641
"esparzaetal2020",0.0153562976436551,0.0332324648693104,1517,"colombia","2016","N","N","N","N","N","N","s",2,"individual","Colombian Conflict",1,1,"1","1","2",0.0153562976436551,0.000659319540801113
"esparzaetal2020",-0.037439489281414,0.026014132972008,1513,"colombia","2016","N","N","N","N","N","N","s",2,"individual","Colombian Conflict",1,1,"1","1","2",-0.037439489281414,0.000659522840007035
"glaurdicvukovic2015",0.487087309079212,0.0670502335425346,546,"croatia","2012","N","N","N","N","N","N","s",19,"Municipality","Yugoslavian Wars",1,1,"0","0","1",0.487087309079212,0.00106748878775661
"grosjean2014",-0.0155124084553687,0.0146166075210189,31127,"europe","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","1","",-0.0155124084553687,3.21120217269467e-05
"hassanetal2023a",-0.0399041823983483,0.0778332742324957,78,"syria","2020","N","N","N","N","N","N","s",5.5,"Individual","Arab Spring",1,1,"1","1","",-0.0399041823983483,0.0129456863378303
"henrichetal2019b",0.321571875349876,0.0464796152692375,414,"tajikistan","2011","N","N","N","N","N","N","s",16.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",0.321571875349876,0.00194643188824649
"kijewski2019",0.0314602014510237,0.0224802923123458,23918,"global","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","1","",0.0314602014510237,4.17285399942741e-05
"lewistopal2022",0.0655068398724054,0.0237975730718671,1769,"uganda","2008","N","N","N","N","N","N","s",0.5,"Individual","Lord's Resistance Army (LRA) insurgency",1,1,"0","0","2",0.0655068398724054,0.000560767037214059
"liendobraithwaite2018",0.0456815816488051,0.0290288227997375,1136,"colombia","2014","N","N","N","N","N","N","s",7,"Individual","Colombia conflict",1,1,"0","0","2",0.0456815816488051,0.00087738391273936
"liendobraithwaite2018",-0.0296224007187916,0.0295384233489017,1136,"colombia","2014","N","N","N","N","N","N","s",7,"Individual","Colombia conflict",1,1,"0","0","2",-0.0296224007187916,0.000879511715184217
"malasquezsalgado2021",-0.0430746364832772,0.0114058758399614,19356,"peru","2007","N","N","N","N","N","N","s",17,"Individual","Peruvian Conflict",1,1,"1","0","2",-0.0430746364832772,5.14746884000532e-05
"malasquezsalgado2021",-0.0425745830468366,0.0154376539295893,18532,"peru","2008","N","N","N","N","N","N","s",18,"Individual","Peruvian Conflict",1,1,"1","0","2",-0.0425745830468366,5.37681773923615e-05
"malasquezsalgado2021",-0.0325510649323533,0.0118915497778888,18561,"peru","2009","N","N","N","N","N","N","s",19,"Individual","Peruvian Conflict",1,1,"1","0","2",-0.0325510649323533,5.37651928359913e-05
"malasquezsalgado2021",-0.0538014964482178,0.0113243251905696,17752,"peru","2010","N","N","N","N","N","N","s",20,"Individual","Peruvian Conflict",1,1,"1","0","2",-0.0538014964482178,5.60091925342195e-05
"malasquezsalgado2021",-0.0535192607649652,0.00727118270273484,20585,"peru","2011","N","N","N","N","N","N","s",21,"Individual","Peruvian Conflict",1,1,"1","0","2",-0.0535192607649652,4.83035164075695e-05
"meernik2020",0.0153562976436552,0.0329436592306816,1517,"colombia","2016","N","N","N","N","N","N","s",26,"Individual","Colombia conflict",1,1,"0","0","2",0.0153562976436552,0.000659319540801113
"meernik2020",-0.0374394892814131,0.0259992914053159,1513,"colombia","2016","N","N","N","N","N","N","s",26,"Individual","Colombia conflict",1,1,"0","0","2",-0.0374394892814131,0.000659522840007036
