"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"barcelopeisakhin2023",-0.0396925607251086,0.0363754740806345,758,"spain","2022","N","N","N","Y","N","N","o",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",-0.0396925607251086,0.0013168447601644
"barcelopeisakhin2023",-0.0951894594777437,0.0414378697129374,709,"spain","2022","N","N","N","N","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",-0.0951894594777437,0.00138694920329272
"barceloratnasingham2023",-0.165938790616003,0.0447136380141684,620,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",-0.165938790616003,0.00152776550780893
"barceloratnasingham2023",0.0240072386573332,0.0412110787328737,620,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",0.0240072386573332,0.00161364723289265
"bellowsmiguel2006",-0.0539077064167803,0.0156229006373115,5251,"sierraleone","2005","N","N","N","N","N","N","s",8.5,"Chiefdom","Sierra Leone Civil war",1,1,"1","0","2",-0.0539077064167803,0.000189370735895421
"bellowsmiguel2009",0.0658816309021429,0.0189785176115693,5108,"sierraleone","2007","N","N","N","N","N","N","s",10.5,"Individual and Chiefdom","Sierra Leone Civil war",1,1,"1","0","2",0.0658816309021429,0.000194113581436957
"blairmorse2021",-0.0255081427755244,0.0333847303998562,1030,"liberia","2015","N","N","N","N","N","N","s",19,"Individual,  Community","Liberian Civil wars",1,1,"1","0","2",-0.0255081427755244,0.00097055305410076
"cassaretal2013",-0.0126498774471211,0.0472999163588488,385,"tajikistan","2010","N","N","N","N","N","N","s",15.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",-0.0126498774471211,0.00260333329897748
"cassaretal2013",-0.0107912340228347,0.0561858053377079,405,"tajikistan","2010","N","N","N","N","N","N","s",15.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",-0.0107912340228347,0.00247467106954778
"cecchiduchoslav2018",-0.150454909895519,0.0454305452898822,436,"uganda","2012","N","N","N","N","N","N","o",10.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.150454909895519,0.00219595186081399
"childnikolova2020",0.0147067308162608,0.0258806200794019,8474,"europe","2010","N","N","N","N","N","N","o",68,"Individual","World War II",1,1,"1","0","",0.0147067308162608,0.000117970904156481
"childnikolova2020",-0.00824723437719235,0.0159218677930063,9968,"europe","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","0","",-0.00824723437719235,0.000100317444655017
"cilliersetal2016",-0.0612925124979196,0.0243891742769942,3001,"sierraleone","2014","N","N","N","N","N","N","s",17.5,"Individual","Sierra Leone Civil War",1,1,"1","0","2",-0.0612925124979196,0.000330833523053303
"cordoba2020",-0.186830764257514,0.0346517562764178,11198,"guatemala","2001","N","N","N","N","N","N","o",22,"Individual","Guatemalan Civil War",1,1,"1","0","2",-0.186830764257514,8.31836153749227e-05
"delucaverpoorten2015a",0.077710888587563,0.0328979484116613,4150,"uganda","2005","Y","N","Y","N","N","N","o",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.077710888587563,0.00023811966856976
"delucaverpoorten2015a",0.0478650474880854,0.02625667538596,4089,"uganda","2008","Y","N","Y","N","N","N","o",11.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0478650474880854,0.000243498807100427
"delucaverpoorten2015a",0.179938943096134,0.0266486994980795,4107,"uganda","2012","Y","N","Y","N","N","N","o",15.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.179938943096134,0.00022803027031271
"delucaverpoorten2015b",-0.117562238868037,0.0221165157318583,4281,"uganda","2005","Y","N","Y","N","N","N","o",2.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.117562238868037,0.00022723113474506
"delucaverpoorten2015b",-0.0371978097008848,0.0261238361588581,4284,"uganda","2008","Y","N","Y","N","N","N","o",4,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.0371978097008848,0.000232835526609639
"delucaverpoorten2015b",0.0388580200420348,0.0319085255640774,4139,"uganda","2012","Y","N","Y","N","N","N","o",6,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0388580200420348,0.000240933394995869
"dyrstadetal2021a",0.0267900659086065,0.0443139373016938,1155,"guatemala","2016","N","N","N","N","N","N","s",38,"Individual","Guatemalan Civil War",1,1,"1","0","2",0.0267900659086065,0.000865307712167651
"dyrstadetal2021b",-0.0404196548184986,0.0290423110798072,764,"northernireland","2016","N","N","N","N","N","N","s",33,"Individual","The Troubles",1,1,"1","0","1",-0.0404196548184986,0.00130633705392248
"dyrstadetal2021c",-0.0311993447844369,0.0211907012930182,1186,"nepal","2016","N","N","N","N","N","N","s",14.5,"Individual","Nepali Civil War",1,1,"1","0","2",-0.0311993447844369,0.000842239788418465
"elbialyetal2022a",-0.0376034158013222,0.106164340116557,137,"jordan","2018","N","N","N","N","N","N","s",4,"Individual","Syrian Civil War",1,1,"1","1","2",-0.0376034158013222,0.00733216151238149
