"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"barcelopeisakhin2023",-0.0486496250629281,0.0316109644802783,1001,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",-0.0486496250629281,0.000995272029638532
"barcelopeisakhin2023",-0.0934394134043413,0.0381980415079441,866,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",-0.0934394134043413,0.00113597038275006
"barceloratnasingham2023",-0.137016345439572,0.0387958141553548,628,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",-0.137016345439572,0.0015355749372814
"barceloratnasingham2023",0.0527378431087261,0.0419645969595329,628,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",0.0527378431087261,0.00158603696224474
"bellowsmiguel2006",-0.0568700067261363,0.0158199125851556,5275,"sierraleone","2005","N","N","N","N","N","N","s",8.5,"Chiefdom","Sierra Leone Civil war",1,1,"1","0","2",-0.0568700067261363,0.000188384919359969
"bellowsmiguel2009",0.0837544337804681,0.0194770423758634,5108,"sierraleone","2007","N","N","N","N","N","N","s",10.5,"Individual and Chiefdom","Sierra Leone Civil war",1,1,"1","0","2",0.0837544337804681,0.000193072174884651
"blairmorse2021",0.0782268192191215,0.0337860858952248,1030,"liberia","2015","N","N","N","N","N","N","s",19,"Individual,  Community","Liberian Civil wars",1,1,"1","0","2",0.0782268192191215,0.00095995974440956
"cassaretal2013",-0.0975919301175528,0.0410496130048087,398,"tajikistan","2010","N","N","N","N","N","N","s",15.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",-0.0975919301175528,0.00247113939659553
"cassaretal2013",-0.054362574209126,0.0492914871724861,420,"tajikistan","2010","N","N","N","N","N","N","s",15.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",-0.054362574209126,0.0023725492954334
"cecchiduchoslav2018",-0.157691024740492,0.0435924629982495,442,"uganda","2012","N","N","N","N","N","N","s",10.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.157691024740492,0.00215620277149636
"childnikolova2020",0.0197687386991112,0.0241827449740259,15688,"europe","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","0","",0.0197687386991112,6.36972363528718e-05
"childnikolova2020",0.0285706205357632,0.0139716547625164,15676,"europe","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","0","",0.0285706205357632,6.36917451737177e-05
