"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"barcelopeisakhin2023",-0.0396925607251086,0.0363754740806345,758,"spain","2022","N","N","N","Y","N","N","o",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",-0.0396925607251086,0.0013168447601644
"delucaverpoorten2015a",0.077710888587563,0.0328979484116613,4150,"uganda","2005","Y","N","Y","N","N","N","o",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.077710888587563,0.00023811966856976
"delucaverpoorten2015a",0.0478650474880854,0.02625667538596,4089,"uganda","2008","Y","N","Y","N","N","N","o",11.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0478650474880854,0.000243498807100427
"delucaverpoorten2015a",0.179938943096134,0.0266486994980795,4107,"uganda","2012","Y","N","Y","N","N","N","o",15.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.179938943096134,0.00022803027031271
"delucaverpoorten2015b",-0.117562238868037,0.0221165157318583,4281,"uganda","2005","Y","N","Y","N","N","N","o",2.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.117562238868037,0.00022723113474506
"delucaverpoorten2015b",-0.0371978097008848,0.0261238361588581,4284,"uganda","2008","Y","N","Y","N","N","N","o",4,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.0371978097008848,0.000232835526609639
"delucaverpoorten2015b",0.0388580200420348,0.0319085255640774,4139,"uganda","2012","Y","N","Y","N","N","N","o",6,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0388580200420348,0.000240933394995869
"grossmanetal2015",0.00773026344853441,0.0616405064710392,2334,"israel","2013","N","N","Y","N","N","N","o",10.5,"Individual","Israel-Palestine conflict",1,1,"0","0","1",0.00773026344853441,0.000428581435758649
"lupupeisakhin2017",-0.00978508585875983,0.037022522425011,977,"ukraine","2014","N","N","N","N","Y","N","s",70,"Individual","Exile of Crimean Tartars",1,1,"1","1","1",-0.00978508585875983,0.00102439396860362
"rohneretal2013",-0.0619484552747165,0.0614191818255495,2250,"uganda","2008","N","N","Y","N","N","N","o",4.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"0","0","2",-0.0619484552747165,0.000441235884854243
"rozenaszhukov2019",0.0213401115081434,0.0338209166616344,1223,"ukraine","2017","N","N","Y","N","N","N","s",1.5,"District","Holodomor",1,1,"0","0","",0.0213401115081434,0.000817585439174408
"shai2021",0.164144074778809,0.0531898305460376,2263,"israel","2015","Y","N","N","N","N","N","o",0.5,"Individual","Israel-Palestine conflict",1,1,"0","0","1",0.164144074778809,0.000418585051114444
"voorsbulte2014",-0.0164422912706099,0.0496045794243705,783,"burundi","2007","N","N","Y","N","N","N","o",7,"Individual","Burundian Civil War",1,1,"1","1","2",-0.0164422912706099,0.00127808104246048
"voorsbulte2014",-0.0138463847124126,0.0393894097447963,819,"burundi","2007","N","N","Y","N","N","N","s",7,"Individual","Burundian Civil War",1,1,"1","1","2",-0.0138463847124126,0.00122202517361645
"wang2019",0.0856956680613293,0.0446058210883341,1623,"china","2008","N","N","Y","N","N","N","o",39.5,"Individual","Chinese Cultural Revolution",1,1,"1","1","",0.0856956680613293,0.000607500885067046
