"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"balcells2012",0.076013320212893,0.0322545329200908,1028,"spain","2008","N","N","N","N","N","N","s",70.5,"Individual","Spanish Civil War",1,1,"0","0","N/A",0.076013320212893,0.000962490103088207
"barcelopeisakhin2023",0.0296981203291937,0.0332274261024294,859,"spain","2022","N","N","N","Y","N","N","o",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.0296981203291937,0.00116344617853571
"barcelopeisakhin2023",0.0821030828948852,0.0367739984058901,780,"spain","2022","N","N","N","N","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.0821030828948852,0.00126644879012812
"barceloratnasingham2023",0.0483733776039585,0.0424349858912091,620,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",0.0483733776039585,0.00160795720226479
"canavanturkoglu2023",-0.0163276390568693,0.0206923826401386,1443,"northernireland","2016","N","N","N","N","N","N","o",33,"Individual","The Troubles",1,1,"1","0","1",-0.0163276390568693,0.000693111572452735
"delucaverpoorten2015a",0.0761521643729886,0.0173813909414171,4199,"uganda","2005","Y","N","Y","N","N","N","o",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0761521643729886,0.000235453865147248
"delucaverpoorten2015a",-0.00333947898084119,0.0252021625890643,4138,"uganda","2008","Y","N","Y","N","N","N","o",11.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.00333947898084119,0.000241715662529525
"delucaverpoorten2015a",0.017035261162014,0.0114530509544409,4161,"uganda","2012","Y","N","Y","N","N","N","o",15.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.017035261162014,0.000240245116339037
"delucaverpoorten2015b",0.068034417966421,0.0198604816003616,4330,"uganda","2005","Y","N","Y","N","N","N","o",2.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.068034417966421,0.000228866726874857
"delucaverpoorten2015b",0.0282456172921551,0.0346983413925103,4291,"uganda","2008","Y","N","Y","N","N","N","o",4,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0282456172921551,0.000232728439793981
"delucaverpoorten2015b",0.0940922679418218,0.0352051153632415,4195,"uganda","2012","Y","N","Y","N","N","N","o",6,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0940922679418218,0.000234232635221715
"dyrstad2012a",0.001067161180429,0.0140933240124753,2436,"bosnia","2003","N","N","N","N","N","N","s",9.5,"Individual","Yugoslavian Wars",1,1,"0","1","1",0.001067161180429,0.000410676682683913
"dyrstad2012b",0.243315898744636,0.0819197532201071,939,"croatia","2003","N","N","N","N","N","N","s",10,"Individual","Yugoslavian Wars",1,1,"0","1","1",0.243315898744636,0.000943603089371404
"dyrstad2012c",0.0126779815666777,0.0160886308542815,1266,"kosovo","2003","N","N","N","N","N","N","s",4.5,"Individual","Yugoslavian Wars",1,1,"0","1","1",0.0126779815666777,0.000790259733914082
"dyrstadetal2015a",-0.153359525972863,0.0308599807710186,2203,"bosnia","2003","N","N","N","N","N","N","o",9.5,"Individual","Yugoslavian Wars",1,1,"1","0","1",-0.153359525972863,0.000433022189705254
"dyrstadetal2015a",-0.0499380993115407,0.0218426173459596,2162,"bosnia","2003","N","N","N","N","N","N","s",9.5,"Individual","Yugoslavian Wars",1,1,"1","0","1",-0.0499380993115407,0.000460443587034422
"dyrstadetal2015b",0.379887077868615,0.0767309616270286,1068,"kosovo","2003","N","N","N","N","N","N","o",4.5,"Individual","Yugoslavian Wars",1,1,"1","0","1",0.379887077868615,0.000686221370318414
"dyrstadetal2015b",0.0679010935246506,0.0339858004747981,650,"kosovo","2003","N","N","N","N","N","N","s",4.5,"Individual","Yugoslavian Wars",1,1,"1","0","1",0.0679010935246506,0.00152665661054856
"gursesetal2020",0.316047540953999,0.0158789833889215,10123,"turkey","2010","N","N","N","N","N","N","s",3.5,"Individual","Kurdish Worker's Party insurgency",1,1,"1","0","1",0.316047540953999,8.00439761240368e-05
"hayesmcallister2001",0.152301543332638,0.0477698363786764,425,"northernireland","1998","N","N","N","N","N","N","s",12.5,"Individual","The Troubles",1,1,"0","0","1",0.152301543332638,0.00225034557331056
"henrichetal2019a",0.242107232226196,0.039916061996185,575,"sierraleone","2011","N","N","N","N","N","N","s",14.5,"Individual","Sierra Leone Civil War",1,1,"1","0","2",0.242107232226196,0.00154390940999123
"lupupeisakhin2017",0.0952604193168368,0.048163351993222,947,"ukraine","2014","N","N","N","N","Y","N","s",70,"Individual","Exile of Crimean Tartars",1,1,"1","1","1",0.0952604193168368,0.00103798441060812
"mcallister2004",0.135847319742635,0.0461783156440752,431,"northernireland","1998","N","N","N","N","N","N","o",15,"Individual","The Troubles",1,1,"1","1","1",0.135847319742635,0.00224053855766665
"mcallister2004",0.114693154509026,0.0469033228108507,431,"northernireland","1998","N","N","N","N","N","N","s",15,"Individual","The Troubles",1,1,"1","1","1",0.114693154509026,0.00226480000466475
"mironovawhitt2016",0.245765894191101,0.0495478727869253,1060,"bosnia","2013","N","N","N","N","N","N","s",19.5,"Individual","Yugoslavian Wars",1,1,"1","0","1",0.245765894191101,0.000833660544074755
"mironovawhitt2018",0.0263008833005961,0.0458465159902872,466,"kosovo","2011","N","N","N","N","N","N","s",12.5,"Individual","Yugoslavian Wars",1,1,"1","0","",0.0263008833005961,0.00214756345284849
"mironovawhitt2021b",0.0569226730469847,0.134875765220943,400,"ukraine","2015","Y","N","N","N","N","N","s",0.5,"Individual","Russo-Ukrainian War",1,1,"1","0","1",0.0569226730469847,0.00249005041960448
"nairsambanis2019",0.04224446383242,0.031630423376133,977,"india","2015","N","N","N","N","Y","N","s",8,"Individual","Kashmir Conflict",1,1,"1","0","1",0.04224446383242,0.00102093647062434
"nairsambanis2019",-0.0470948287932456,0.0327950410443284,977,"india","2015","N","N","N","N","Y","Y","s",8,"Individual","Kashmir Conflict",1,1,"1","0","1",-0.0470948287932456,0.00102005028010641
"rodontormos2023",-0.0200565819070778,0.0169620867685469,4080,"spain","1995","N","N","N","N","N","N","o",49.5,"Individual","Spanish Civil War",1,1,"0","1","",-0.0200565819070778,0.00024496092887049
"rodontormos2023",-0.0264936835761279,0.00957810575712773,8911,"spain","2005","N","N","N","N","N","N","o",59.5,"Individual","Spanish Civil War",1,1,"0","1","",-0.0264936835761279,0.000112075944124151
"rodontormos2023",-0.0297957079417328,0.017660539423312,3937,"spain","2015","N","N","N","N","N","N","o",69.5,"Individual","Spanish Civil War",1,1,"0","1","",-0.0297957079417328,0.00025361413103082
"rohneretal2013",0.0557585630135181,0.0446279672273304,2259,"uganda","2008","N","N","Y","N","N","N","o",4.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"0","0","2",0.0557585630135181,0.00044012029729416
"schaub2023",0.0567684897164701,0.0295035420983962,1547,"armenia","2018","N","N","N","N","N","N","s",99,"Individual","World War I",1,1,"0","1","",0.0567684897164701,0.000642668216492419
"villamil2023",0.101976651978192,0.00923883343268541,25564,"africa","2005","N","N","N","N","N","N","o",3,"individual","POLY",1,1,"0","0","",0.101976651978192,3.83096533679236e-05
"villamil2023",-0.0179776435395926,0.0052840042782505,22264,"africa","2015","N","N","N","N","N","N","o",8,"individual","POLY",1,1,"0","0","",-0.0179776435395926,4.48885466074189e-05
"wernerlambsdorff2020",0.0740630761308809,0.0533529567368577,917,"indonesia","2013","N","N","N","N","N","N","s",12.5,"Individual","Maluku conflict",1,1,"1","1","1",0.0740630761308809,0.00107975918171911
