"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"balcells2012",0.134116712910136,0.0298144199892853,1236,"spain","2008","N","N","N","N","N","N","s",70.5,"Individual","Spanish Civil War",1,1,"0","0","N/A",0.134116712910136,0.000780849358165491
"barcelopeisakhin2023",0.0483515139599799,0.0296943469930645,1137,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.0483515139599799,0.000876170535058591
"barcelopeisakhin2023",0.0745506694953138,0.0344821462860276,963,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.0745506694953138,0.00102797846623935
"barceloratnasingham2023",0.0526429629461272,0.0377246151426893,628,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",0.0526429629461272,0.00158606876699509
"canavanturkoglu2023",-0.0528922181214391,0.0258094709366142,1475,"northernireland","2016","N","N","N","N","N","N","s",33,"Individual","The Troubles",1,1,"1","0","1",-0.0528922181214391,0.000674635449807289
"delucaverpoorten2015a",0.133199853379407,0.0229133083012561,2310,"uganda","2005","Y","N","Y","N","N","N","s",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.133199853379407,0.000417856381036646
"delucaverpoorten2015a",0.0182933730027541,0.031402861800616,2211,"uganda","2008","Y","N","Y","N","N","N","s",11.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0182933730027541,0.000452185890044032
"delucaverpoorten2015a",0.0352009246233922,0.0261362964434095,2240,"uganda","2012","Y","N","Y","N","N","N","s",15.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0352009246233922,0.000445521806696182
"delucaverpoorten2015b",0.129629039784227,0.0277912467736774,2286,"uganda","2005","Y","N","Y","N","N","N","s",2.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.129629039784227,0.000423052511167676
"delucaverpoorten2015b",0.0794730139282338,0.0364316588978321,2251,"uganda","2008","Y","N","Y","N","N","N","s",4,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0794730139282338,0.000438847987317478
"delucaverpoorten2015b",0.142902383725858,0.035680260659357,2161,"uganda","2012","Y","N","Y","N","N","N","s",6,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.142902383725858,0.000444247610379527
