"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"barcelopeisakhin2023",0.0296981203291937,0.0332274261024294,859,"spain","2022","N","N","N","Y","N","N","o",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.0296981203291937,0.00116344617853571
"delucaverpoorten2015a",0.0761521643729886,0.0173813909414171,4199,"uganda","2005","Y","N","Y","N","N","N","o",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0761521643729886,0.000235453865147248
"delucaverpoorten2015a",-0.00333947898084119,0.0252021625890643,4138,"uganda","2008","Y","N","Y","N","N","N","o",11.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.00333947898084119,0.000241715662529525
"delucaverpoorten2015a",0.017035261162014,0.0114530509544409,4161,"uganda","2012","Y","N","Y","N","N","N","o",15.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.017035261162014,0.000240245116339037
"delucaverpoorten2015b",0.068034417966421,0.0198604816003616,4330,"uganda","2005","Y","N","Y","N","N","N","o",2.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.068034417966421,0.000228866726874857
"delucaverpoorten2015b",0.0282456172921551,0.0346983413925103,4291,"uganda","2008","Y","N","Y","N","N","N","o",4,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0282456172921551,0.000232728439793981
"delucaverpoorten2015b",0.0940922679418218,0.0352051153632415,4195,"uganda","2012","Y","N","Y","N","N","N","o",6,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0940922679418218,0.000234232635221715
"lupupeisakhin2017",0.0952604193168368,0.048163351993222,947,"ukraine","2014","N","N","N","N","Y","N","s",70,"Individual","Exile of Crimean Tartars",1,1,"1","1","1",0.0952604193168368,0.00103798441060812
"mironovawhitt2021b",0.0569226730469847,0.134875765220943,400,"ukraine","2015","Y","N","N","N","N","N","s",0.5,"Individual","Russo-Ukrainian War",1,1,"1","0","1",0.0569226730469847,0.00249005041960448
"nairsambanis2019",0.04224446383242,0.031630423376133,977,"india","2015","N","N","N","N","Y","N","s",8,"Individual","Kashmir Conflict",1,1,"1","0","1",0.04224446383242,0.00102093647062434
"nairsambanis2019",-0.0470948287932456,0.0327950410443284,977,"india","2015","N","N","N","N","Y","Y","s",8,"Individual","Kashmir Conflict",1,1,"1","0","1",-0.0470948287932456,0.00102005028010641
"rohneretal2013",0.0557585630135181,0.0446279672273304,2259,"uganda","2008","N","N","Y","N","N","N","o",4.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"0","0","2",0.0557585630135181,0.00044012029729416
