"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"annanetal2011",-0.00940709169212457,0.0302207007293884,1243,"uganda","2007","N","N","N","N","Y","N","s",11,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","0","2",-0.00940709169212457,0.000805010483963663
"barcelo2021",0.136107232555555,0.0313345787493293,875,"vietnam","2001","N","N","Y","N","N","N","s",31,"Individual","Vietnam War",1,1,"1","1","1",0.136107232555555,0.00110216570336385
"barcelopeisakhin2023",0.0113527148271281,0.0288362979288017,1204,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.0113527148271281,0.00083104093794117
"barcelopeisakhin2023",0.112330505823114,0.038257442674372,1015,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.112330505823114,0.000961462458031724
"barceloratnasingham2023",0.275712097308621,0.0435662161191655,628,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",0.275712097308621,0.00136163363237863
"bauerfialalevely2014",0.220594047483844,0.0319070394484085,738,"uganda","2011","N","N","N","N","Y","N","s",15,"Individuals (clustered within villages)","Lord’s Resistance Army (LRA) insurgency",1,1,"0","1","2",0.220594047483844,0.00122801152885262
"bellowsmiguel2006",0.114168884849716,0.0160403761605948,5303,"sierraleone","2005","N","N","N","N","N","N","s",8.5,"Chiefdom","Sierra Leone Civil war",1,1,"1","0","2",0.114168884849716,0.000183723279997722
"bellowsmiguel2009",0.142890698855154,0.0173112832062946,5193,"sierraleone","2007","N","N","N","N","N","N","s",10.5,"Individual and Chiefdom","Sierra Leone Civil war",1,1,"1","0","2",0.142890698855154,0.000184819218210849
"blair2021",-0.0263826194094888,0.0168316565072122,4801,"liberia","2010","N","N","N","N","N","N","s",10,"Individual, Community","Liberian Civil wars",1,1,"1","0","2",-0.0263826194094888,0.000208043416512812
"blair2021",0.125006734420317,0.0195883508121905,4801,"liberia","2010","N","N","N","N","N","N","s",10,"Individual, Community","Liberian Civil wars",1,1,"1","0","2",0.125006734420317,0.000201873088737718
"blairmorse2021",0.13248654703408,0.0340588375939645,1029,"liberia","2015","N","N","N","N","N","N","s",19,"Individual,  Community","Liberian Civil wars",1,1,"1","0","2",0.13248654703408,0.000938913158040635
"blattman2009",0.0545750464037364,0.0457119963748941,740,"uganda","2005","N","N","N","N","Y","N","s",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0545750464037364,0.00134513125805036
"cassaretal2013",0.244851742019651,0.0504985031498416,406,"tajikistan","2010","N","N","N","N","N","N","s",15.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",0.244851742019651,0.00218194947208982
"cecchietal2015",0.19119874231736,0.0700550951401438,162,"sierraleone","2010","N","N","N","N","N","N","s",13.5,"Individual","Sierra Leone Civil war",1,1,"o","0","2",0.19119874231736,0.00576535710017707
"childnikolova2020",-0.0172949629516108,0.0189771560855507,16586,"europe","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","0","",-0.0172949629516108,6.02593824530137e-05
"childnikolova2020",-0.000291445619061673,0.0125230737999227,16500,"europe","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","0","",-0.000291445619061673,6.06097236268204e-05
"cilliersetal2016",0.17677812657715,0.0215203668650555,3005,"sierraleone","2014","N","N","N","N","N","N","s",17.5,"Individual","Sierra Leone Civil War",1,1,"1","0","2",0.17677812657715,0.000312408649152883
"cordoba2020",0.0477729867178206,0.0090800134501561,11419,"guatemala","2001","N","N","N","N","N","N","s",22,"Individual","Guatemalan Civil War",1,1,"1","0","2",0.0477729867178206,8.7181703641871e-05
"delucaverpoorten2015a",-0.094045093118182,0.0500333165240291,2320,"uganda","2005","Y","N","Y","N","N","N","s",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.094045093118182,0.000423626246545542
"delucaverpoorten2015a",-0.00368781570138316,0.0331009287168497,2255,"uganda","2008","Y","N","Y","N","N","N","s",11.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.00368781570138316,0.00044364365581884
"delucaverpoorten2015a",0.0846386032595728,0.0539980021562214,2256,"uganda","2012","Y","N","Y","N","N","N","s",15.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0846386032595728,0.000437128129568183
"delucaverpoorten2015b",-0.0706529195972162,0.0370243678075144,2291,"uganda","2005","Y","N","Y","N","N","N","s",2.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.0706529195972162,0.000432332422848001
"delucaverpoorten2015b",-0.0744927444671267,0.0453891100783843,2267,"uganda","2008","Y","N","Y","N","N","N","s",4,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.0744927444671267,0.000436422089726328
"delucaverpoorten2015b",0.15916046488493,0.0548681573390378,2126,"uganda","2012","Y","N","Y","N","N","N","s",6,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.15916046488493,0.000447048285070083
"elbialyetal2022a",0.17116749305351,0.107450052546821,144,"jordan","2018","N","N","N","N","N","N","s",4,"Individual","Syrian Civil War",1,1,"1","1","2",0.17116749305351,0.00658924314442064
"elbialyetal2022b",0.0920069196876548,0.0780479889387897,122,"germany","2018","N","N","N","N","N","N","s",4,"Individual","Syrian Civil War",1,1,"1","1","2",0.0920069196876548,0.00812513317612167
