"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"annanetal2011",0.0102939277595538,0.0331634590402251,1244,"uganda","2007","N","N","N","N","Y","N","s",11,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","0","2",0.0102939277595538,0.000804334739606704
"barcelo2021",0.25953960892181,0.0483968623539754,862,"vietnam","2001","N","N","Y","N","N","N","o",31,"Individual","Vietnam War",1,1,"1","1","1",0.25953960892181,0.00101023909562901
"barcelopeisakhin2023",0.05522531650996,0.0320942559164199,903,"spain","2022","N","N","N","Y","N","N","o",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.05522531650996,0.00110189537730581
"bauerfialalevely2014",0.334277859574057,0.0768227337619382,294,"uganda","2011","N","N","N","N","Y","N","s",15,"Individuals (clustered within villages)","Lord’s Resistance Army (LRA) insurgency",1,1,"0","1","2",0.334277859574057,0.00269284242286857
"blattman2009",0.0772546710617672,0.0602599979803521,740,"uganda","2005","N","N","N","N","Y","N","s",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0772546710617672,0.00133707584846357
"delucaverpoorten2015a",-0.0705051149941331,0.0267403763288077,4208,"uganda","2005","Y","N","Y","N","N","N","o",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.0705051149941331,0.000235341756138436
"delucaverpoorten2015a",0.0309563072120783,0.0338961321721455,4180,"uganda","2008","Y","N","Y","N","N","N","o",11.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0309563072120783,0.000238833293231149
"delucaverpoorten2015a",0.0702205174717767,0.0302394830340764,4177,"uganda","2012","Y","N","Y","N","N","N","o",15.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0702205174717767,0.000237107871607909
"delucaverpoorten2015b",-0.0614080556060275,0.0156156955329904,4334,"uganda","2005","Y","N","Y","N","N","N","o",2.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.0614080556060275,0.000229049693393018
"delucaverpoorten2015b",-0.0196186038758208,0.0279937084591717,4305,"uganda","2008","Y","N","Y","N","N","N","o",4,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.0196186038758208,0.000232163189801103
"delucaverpoorten2015b",0.0830146152559022,0.0363902334785628,4159,"uganda","2012","Y","N","Y","N","N","N","o",6,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0830146152559022,0.000237196882891994
"grossmanetal2015",-0.00521085203263984,0.0616617840012719,2334,"israel","2013","N","N","Y","N","N","N","o",10.5,"Individual","Israel-Palestine conflict",1,1,"0","0","1",-0.00521085203263984,0.000428609384817605
"hongkang2017",0.0452672473077668,0.0428926304536368,1708,"southkorea","2007","Y","N","N","N","N","N","o",55.5,"Individual","Korean War",1,1,"1","1","1",0.0452672473077668,0.000583424693351029
"koos2018",0.0573335052748892,0.0205815058060645,5475,"sierraleone","2017","N","N","Y","N","N","N","s",20.5,"Individual","Sierra Leone Civil War",1,1,"1","0","2",0.0573335052748892,0.000181482744533223
"shai2021",-0.0686761715251877,0.0308952004347006,1072,"israel","2015","Y","N","N","N","N","N","o",0.5,"Individual","Israel-Palestine conflict",1,1,"0","0","1",-0.0686761715251877,0.000924920085447452
"voorsbulte2014",0.153352110175802,0.0369430236482599,778,"burundi","2007","N","N","Y","N","N","N","o",7,"Individual","Burundian Civil War",1,1,"1","1","2",0.153352110175802,0.00122718057113195
"voorsbulte2014",0.0825454001886801,0.0391552223826884,814,"burundi","2007","N","N","Y","N","N","N","s",7,"Individual","Burundian Civil War",1,1,"1","1","2",0.0825454001886801,0.00121330743039398
