"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"balcells2012",0.0465706645492883,0.0236290180301982,2329,"spain","2008","N","N","N","N","N","N","s",70.5,"Individual","Spanish Civil War",1,1,"0","0","N/A",0.0465706645492883,0.000427692031879961
"barcelopeisakhin2023",0.0945943653148082,0.0341469119827932,845,"spain","2022","N","N","N","Y","N","N","o",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.0945943653148082,0.00116372497687998
"barcelopeisakhin2023",0.0474913804708471,0.0393986407163115,766,"spain","2022","N","N","N","N","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.0474913804708471,0.00130129963991102
"canavanturkoglu2022",0.0827371550086115,0.0558985521645265,267,"turkey","2010","N","N","N","N","N","N","o",3.5,"Individual","Kurdish Worker's Party insurgency",1,1,"1","o","1",0.0827371550086115,0.00370810521190753
"canavanturkoglu2022",0.0369184375124958,0.0756850090297468,280,"turkey","2011","N","N","N","N","N","N","o",0.5,"Individual","Kurdish Worker's Party insurgency",1,1,"1","o","1",0.0369184375124958,0.00357446564743117
"canavanturkoglu2022",0.102992945753411,0.0307770666227274,2454,"turkey","2012","N","N","N","N","N","N","o",1,"Individual","Kurdish Worker's Party insurgency",1,1,"1","o","1",0.102992945753411,0.000399061323400234
"canavanturkoglu2022",0.111544941425911,0.0290670344192647,1623,"turkey","2013","N","N","N","N","N","N","o",1.5,"Individual","Kurdish Worker's Party insurgency",1,1,"1","o","1",0.111544941425911,0.000601276363912342
"canavanturkoglu2022",0.142226317514405,0.0243007849077167,2822,"turkey","2014","N","N","N","N","N","N","o",2,"Individual","Kurdish Worker's Party insurgency",1,1,"1","o","1",0.142226317514405,0.000340288030613547
"canavanturkoglu2022",0.128760480614908,0.0157736681908608,4717,"turkey","2015","N","N","N","N","N","N","o",2.5,"Individual","Kurdish Worker's Party insurgency",1,1,"1","o","1",0.128760480614908,0.000205071320859023
"canavanturkoglu2022",0.177651695348146,0.0158766473950885,1544,"turkey","2016","N","N","N","N","N","N","o",3,"Individual","Kurdish Worker's Party insurgency",1,1,"1","o","1",0.177651695348146,0.000607826177421285
"canavanturkoglu2022",0.0885238909456526,0.0175787920739244,2155,"turkey","2017","N","N","N","N","N","N","o",3.5,"Individual","Kurdish Worker's Party insurgency",1,1,"1","o","1",0.0885238909456526,0.000457004852307802
"childnikolova2020",0.0329066137038719,0.0371306658764351,8887,"europe","2010","N","N","N","N","N","N","o",68,"Individual","World War II",1,1,"1","0","",0.0329066137038719,0.000112292986957334
"childnikolova2020",0.00256153441510631,0.0121807192994843,10438,"europe","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","0","",0.00256153441510631,9.58117157349749e-05
"dellavignaetal2014",0.245160048431691,0.0697735717224147,948,"croatia","2010","N","N","N","N","N","N","o",17,"Village","Yugoslavian Wars",1,1,"1","1","1",0.245160048431691,0.000932846384297099
