"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"balcells2012",0.0954959511315612,0.0218194426261204,2936,"spain","2008","N","N","N","N","N","N","s",70.5,"Individual","Spanish Civil War",1,1,"0","0","N/A",0.0954959511315612,0.000334529543948865
"barcelopeisakhin2023",0.117155238185673,0.0296945341203154,1120,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.117155238185673,0.000869291944199635
"barcelopeisakhin2023",0.0452464731757165,0.0348914425793145,941,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.0452464731757165,0.00105947840908042
"canavanturkoglu2022",0.13288640729567,0.0492902185916567,2692,"turkey","2010","N","N","N","N","N","N","s",3.5,"Individual","Kurdish Worker's Party insurgency",1,1,"1","o","1",0.13288640729567,0.000358600608930584
"canavanturkoglu2022",0.0578368663775054,0.063810187825444,2323,"turkey","2011","N","N","N","N","N","N","s",0.5,"Individual","Kurdish Worker's Party insurgency",1,1,"1","o","1",0.0578368663775054,0.000427786814595217
"canavanturkoglu2022",0.148919645480747,0.0661552696820863,2616,"turkey","2012","N","N","N","N","N","N","s",1,"Individual","Kurdish Worker's Party insurgency",1,1,"1","o","1",0.148919645480747,0.000365635831895202
"canavanturkoglu2022",0.209797764919778,0.0495366740017232,1729,"turkey","2013","N","N","N","N","N","N","s",1.5,"Individual","Kurdish Worker's Party insurgency",1,1,"1","o","1",0.209797764919778,0.000528881438013864
"canavanturkoglu2022",0.202164720999829,0.0391665240863497,3314,"turkey","2014","N","N","N","N","N","N","s",2,"Individual","Kurdish Worker's Party insurgency",1,1,"1","o","1",0.202164720999829,0.000277672579239147
"canavanturkoglu2022",0.216748990112097,0.0559159626590991,5122,"turkey","2015","N","N","N","N","N","N","s",2.5,"Individual","Kurdish Worker's Party insurgency",1,1,"1","o","1",0.216748990112097,0.000177357329171836
"canavanturkoglu2022",0.17339828088876,0.0564523259448852,1623,"turkey","2016","N","N","N","N","N","N","s",3,"Individual","Kurdish Worker's Party insurgency",1,1,"1","o","1",0.17339828088876,0.000580006223602163
"canavanturkoglu2022",0.118482804185513,0.0422571511815132,2626,"turkey","2017","N","N","N","N","N","N","s",3.5,"Individual","Kurdish Worker's Party insurgency",1,1,"1","o","1",0.118482804185513,0.000370331703077658
"childnikolova2020",0.0108960609749915,0.0118506026285647,16586,"europe","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","0","",0.0108960609749915,6.02811314926669e-05
"childnikolova2020",-0.00206214184128409,0.00713832640353371,16500,"europe","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","0","",-0.00206214184128409,6.06092184471869e-05
"dellavignaetal2014",0.223016759259096,0.0804134400762881,953,"croatia","2010","N","N","N","N","N","N","s",17,"Village","Yugoslavian Wars",1,1,"1","1","1",0.223016759259096,0.000948530217558462
"gursesetal2020",0.349559759271361,0.0173026561012165,10299,"turkey","2010","N","N","N","N","N","N","s",3.5,"Individual","Kurdish Worker's Party insurgency",1,1,"1","0","1",0.349559759271361,7.48249019657861e-05
"hadzicetal2017",0.0641082341739688,0.0854465210092605,107,"bosnia","2006","Y","N","N","N","N","N","s",12.5,"Municipality and Individual","Yugoslavian Wars",1,1,"1","1","1",0.0641082341739688,0.00935657697752992
"hadzicetal2017",0.00287594668750313,0.0973008704082942,107,"bosnia","2010","Y","N","N","N","N","N","s",16.5,"Municipality and Individual","Yugoslavian Wars",1,1,"1","1","1",0.00287594668750313,0.00943380620688408
"hadzicetal2017",-0.0915602170172037,0.0747979573396184,107,"bosnia","2014","Y","N","N","N","N","N","s",20.5,"Municipality and Individual","Yugoslavian Wars",1,1,"1","1","1",-0.0915602170172037,0.00927645030746625
"hayesmcallister2001",0.0995073449407532,0.0368252309748497,946,"northernireland","1998","N","N","N","N","N","N","s",12.5,"Individual","The Troubles",1,1,"0","0","1",0.0995073449407532,0.00103734880476213
"lupupeisakhin2017",0.186945441651618,0.0519290261990421,724,"ukraine","2014","N","N","N","N","Y","N","s",70,"Individual","Exile of Crimean Tartars",1,1,"1","1","1",0.186945441651618,0.00128813860055922
"martinez2024",-0.00337675864341497,0.117223916799455,99,"spain","1983","N","N","N","N","N","N","s",45.5,"Municipality","Spanish Civil War",1,1,"1","1","",-0.00337675864341497,0.0102038489299199
"martinez2024",-0.115698869188338,0.107786195180445,105,"spain","1987","N","N","N","N","N","N","s",49.5,"Municipality","Spanish Civil War",1,1,"1","1","",-0.115698869188338,0.00935968013890406
"martinez2024",-0.0675399298889132,0.0728585658228401,106,"spain","1991","N","N","N","N","N","N","s",53.5,"Municipality","Spanish Civil War",1,1,"1","1","",-0.0675399298889132,0.00943711927923922
"martinez2024",-0.0447918546893946,0.091493299035398,107,"spain","1995","N","N","N","N","N","N","s",57.5,"Municipality","Spanish Civil War",1,1,"1","1","",-0.0447918546893946,0.00939614532818654
"martinez2024",0.104964783123361,0.119221607016844,107,"spain","1999","N","N","N","N","N","N","s",61.5,"Municipality","Spanish Civil War",1,1,"1","1","",0.104964783123361,0.00922722807776422
"martinez2024",0.0370187489997501,0.0867591390842175,108,"spain","2011","N","N","N","N","N","N","s",73.5,"Municipality","Spanish Civil War",1,1,"1","1","",0.0370187489997501,0.00932019721876306
"martinez2024",0.0581547422114911,0.117765457067919,108,"spain","2015","N","N","N","N","N","N","s",77.5,"Municipality","Spanish Civil War",1,1,"1","1","",0.0581547422114911,0.00928268681929952
"mcallister2004",0.0626308915640697,0.0362322596031737,944,"northernireland","1998","N","N","N","N","N","N","s",15,"Individual","The Troubles",1,1,"1","1","1",0.0626308915640697,0.00105214223738997
"mcallister2004",0.0806982771724017,0.035608272163171,945,"northernireland","1998","N","N","N","N","N","N","s",15,"Individual","The Troubles",1,1,"1","1","1",0.0806982771724017,0.00104556989939316
"pechenkinaetal2019",-0.196990654475023,0.0295168978103092,403,"ukraine","2015","N","N","N","N","N","N","s",0.5,"Individual","Russo-Ukrainian War",1,1,"1","1","1",-0.196990654475023,0.00229824680796081
