"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"aaskoven2022",-0.0274007617892374,0.020952281104245,1233,"denmark","1972","N","N","N","N","N","N","o",29.5,"Municipality, Individual","World War II",1,1,"0","0","",-0.0274007617892374,0.000810469935235391
"barcelopeisakhin2023",-0.00209482458268861,0.035854560182739,855,"spain","2022","N","N","N","Y","N","N","o",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",-0.00209482458268861,0.00117094991035034
"barcelopeisakhin2023",0.0181995030408399,0.0306879306661688,820,"spain","2022","N","N","N","N","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.0181995030408399,0.00122019251023942
"blair2021",0.0722599407312883,0.011986363763689,4771,"liberia","2010","N","N","N","N","N","N","o",10,"Individual, Community","Liberian Civil wars",1,1,"1","0","2",0.0722599407312883,0.000207460013832954
"blair2021",0.0713317086581491,0.0182619093765038,4791,"liberia","2010","N","N","N","N","N","N","s",10,"Individual, Community","Liberian Civil wars",1,1,"1","0","2",0.0713317086581491,0.000206649157534007
"blairmorse2021",0.112207125416313,0.0339073770930988,1062,"liberia","2015","N","N","N","N","N","N","s",19,"Individual,  Community","Liberian Civil wars",1,1,"1","0","2",0.112207125416313,0.000918923318723546
"canettietal2017",0.0431689993127867,0.021949147483866,1857,"israel","2008","N","N","N","N","N","N","s",0.5,"Individual","Israel-Palestine conflict",1,1,"0","0","1",0.0431689993127867,0.000536786825356607
"coupeobrizan2016a",0.0974206830096322,0.0351716058848163,861,"ukraine","2014","N","N","N","N","N","N","s",0.5,"Individual","Russo-Ukrainian War",1,1,"1","0","1",0.0974206830096322,0.0011408238327079
"coupeobrizan2016b",0.128073035166034,0.0534637054091497,1654,"ukraine","2015","Y","N","N","N","N","N","o",0.5,"Individual (settlement-level clustering)","Russo-Ukrainian War",1,1,"0","0","1",0.128073035166034,0.00058527746156725
"fabbeetal2023",-0.127768805976929,0.0262339541538837,1013,"turkey","2016","N","N","N","N","N","N","o",2.5,"Individual","Syrian Civil War",1,1,"1","0","2",-0.127768805976929,0.00095614304915664
