"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"aaskoven2022",0.0108676919978927,0.022527989847787,1270,"denmark","1972","N","N","N","N","N","N","s",29.5,"Municipality, Individual","World War II",1,1,"0","0","",0.0108676919978927,0.000787835934192654
"barcelopeisakhin2023",0.0292543007191677,0.0288206474528057,1204,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.0292543007191677,0.000829833004319748
"barcelopeisakhin2023",-0.0122138392902185,0.0269486127786955,1015,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",-0.0122138392902185,0.000985899079401994
"blair2021",-0.0780532090282658,0.0125424215810487,4799,"liberia","2010","N","N","N","N","N","N","s",10,"Individual, Community","Liberian Civil wars",1,1,"1","0","2",-0.0780532090282658,0.0002058883929308
"blair2021",-0.0736397718953958,0.0174680566411777,4799,"liberia","2010","N","N","N","N","N","N","s",10,"Individual, Community","Liberian Civil wars",1,1,"1","0","2",-0.0736397718953958,0.000206165855548939
"blairmorse2021",-0.0985477185387501,0.0309066955275057,1062,"liberia","2015","N","N","N","N","N","N","s",19,"Individual,  Community","Liberian Civil wars",1,1,"1","0","2",-0.0985477185387501,0.000924289359606305
"canettietal2017",-0.04331774192149,0.0210493064320627,2197,"israel","2008","N","N","N","N","N","N","s",0.5,"Individual","Israel-Palestine conflict",1,1,"0","0","1",-0.04331774192149,0.000453666059857491
"coupeobrizan2016a",-0.0956458460901524,0.0347725990645047,861,"ukraine","2014","N","N","N","N","N","N","s",0.5,"Individual","Russo-Ukrainian War",1,1,"1","0","1",-0.0956458460901524,0.00114161329359884
"coupeobrizan2016b",-0.203898899319605,0.0540748324360027,1654,"ukraine","2015","Y","N","N","N","N","N","s",0.5,"Individual (settlement-level clustering)","Russo-Ukrainian War",1,1,"0","0","1",-0.203898899319605,0.000555704137009478
"fabbeetal2023",0.227017460895056,0.0276669500868013,1069,"turkey","2016","N","N","N","N","N","N","s",2.5,"Individual","Syrian Civil War",1,1,"1","0","2",0.227017460895056,0.000842305430523357
"fabbeetal2023",0.14015045045681,0.0171037064358246,1072,"turkey","2016","N","N","N","N","N","N","s",2.5,"Individual","Syrian Civil War",1,1,"1","0","2",0.14015045045681,0.000897387036864187
"getmanskyweiss2023a",-0.146737684408419,0.0212190573477188,2477,"israel","1973","Y","Y","N","N","N","N","s",0.0415,"Inividual and Locality","Israel-Palestine conflict",1,1,"0","0","1",-0.146737684408419,0.000386671942138403
"getmanskyweiss2023b",0.0347149414539725,0.0143744998998825,5800,"israel","1986","N","N","N","Y","N","N","s",13,"Individual","Israel-Palestine conflict",1,1,"1","0","1",0.0347149414539725,0.000172028142440277
"getmanskyweiss2023b",0.0071577315858696,0.0207888923861394,3080,"israel","1996","N","N","N","Y","N","N","s",23,"Individual","Israel-Palestine conflict",1,1,"1","0","1",0.0071577315858696,0.000324747494765158
"getmanskyweiss2023b",-0.00606628085428852,0.0167176286147706,3419,"israel","2006","N","N","N","Y","N","N","s",33,"Individual","Israel-Palestine conflict",1,1,"1","0","1",-0.00606628085428852,0.000292547221131485
"getmanskyweiss2023b",-0.0165308266312264,0.0171094431245991,3309,"israel","2015","N","N","N","Y","N","N","s",42,"Individual","Israel-Palestine conflict",1,1,"1","0","1",-0.0165308266312264,0.00030213226669205
"glaurdicvukovic2015",-0.487087309079212,0.0670502335425346,546,"croatia","2012","N","N","N","N","N","N","s",19,"Municipality","Yugoslavian Wars",1,1,"0","0","1",-0.487087309079212,0.00106748878775661
"grossmanetal2015",-0.0120169410781162,0.020706388929684,2334,"israel","2013","N","N","Y","N","N","N","s",10.5,"Individual","Israel-Palestine conflict",1,1,"0","0","1",-0.0120169410781162,0.000428508875742647
"hadzic2018",0.0688752288561121,0.0299234658149431,1114,"bosnia","2016","N","N","N","N","Y","N","s",22.5,"Individual","Yugoslavian Wars",1,1,"0","0","1",0.0688752288561121,0.00088996847197793
"hadzic2018",0.0172639017068245,0.0298363293959486,1125,"bosnia","2016","N","N","N","N","Y","Y","s",22.5,"Individual","Yugoslavian Wars",1,1,"0","0","1",0.0172639017068245,0.000889149469951004
"kim2023",-0.00584994848106936,0.0111630309173536,8400,"southkorea","2015","N","N","N","N","N","N","s",63.5,"Individual","Korean War",1,1,"1","0","1",-0.00584994848106936,0.000119053644169148
"kocheretal2011",-0.178681044333741,0.0210113072233798,9707,"vietnam","2009","N","N","Y","N","N","N","s",44,"Hamlet","Vietnam War",1,1,"0","0","1",-0.178681044333741,9.65552747508351e-05
"kupatadzezeitzoff2021",-0.020960899073275,0.0583353216644281,955,"georgia","2015","N","N","N","N","N","N","s",7,"Individual","Russo-Georgian War",1,1,"1","0","1",-0.020960899073275,0.00104729714303634
"kupatadzezeitzoff2021",-0.0269530199241493,0.0609018143550366,955,"georgia","2015","N","N","N","N","N","N","s",7,"Individual","Russo-Georgian War",1,1,"1","0","1",-0.0269530199241493,0.00104669559453432
"kupatadzezeitzoff2021",-0.0757546446329785,0.0313829792713323,955,"georgia","2015","N","N","N","N","N","Y","s",7,"Individual","Russo-Georgian War",1,1,"1","0","1",-0.0757546446329785,0.00103622159441339
"mironovawhitt2021b",-0.358441243825826,0.0741329681625752,200,"ukraine","2015","Y","N","N","N","N","N","s",0.5,"Individual","Russo-Ukrainian War",1,1,"1","0","1",-0.358441243825826,0.00381681855296469
"pechenkinaetal2019",0.331365423243945,0.026838167693997,1989,"ukraine","2015","N","N","N","N","N","N","s",0.5,"Individual","Russo-Ukrainian War",1,1,"1","1","1",0.331365423243945,0.000398617012558983
"popovic2022",0.133083983975712,0.0567991776055181,160,"serbia","2000","Y","N","N","N","N","N","s",1,"Municipailty","Yugoslavian Wars",1,1,"1","0","1",0.133083983975712,0.00606849684417265
"schaub2023",0.0581703746603519,0.0245974586398828,1688,"armenia","2018","N","N","N","N","N","N","s",99,"Individual","World War I",1,1,"0","1","",0.0581703746603519,0.000588763405498134
"wayneetal2023",-0.00183943144137973,0.02232133208538,2009,"israel","2021","N","N","N","N","N","N","s",79,"individual","World War II",1,1,"1","1","",-0.00183943144137973,0.000498004598105275
