"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"barcelopeisakhin2023",-0.00209482458268861,0.035854560182739,855,"spain","2022","N","N","N","Y","N","N","o",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",-0.00209482458268861,0.00117094991035034
"coupeobrizan2016b",0.128073035166034,0.0534637054091497,1654,"ukraine","2015","Y","N","N","N","N","N","o",0.5,"Individual (settlement-level clustering)","Russo-Ukrainian War",1,1,"0","0","1",0.128073035166034,0.00058527746156725
"getmanskyweiss2023a",0.103583473370934,0.0172537949641158,2151,"israel","1973","Y","Y","N","N","N","N","o",0.0415,"Inividual and Locality","Israel-Palestine conflict",1,1,"0","0","1",0.103583473370934,0.000455188860944488
"getmanskyweiss2023b",-0.0351407879844117,0.0142993645436839,5568,"israel","1986","N","N","N","Y","N","N","o",13,"Individual","Israel-Palestine conflict",1,1,"1","0","1",-0.0351407879844117,0.000179186595106141
"getmanskyweiss2023b",-0.0290926475851333,0.0219767900864036,2844,"israel","1996","N","N","N","Y","N","N","o",23,"Individual","Israel-Palestine conflict",1,1,"1","0","1",-0.0290926475851333,0.000351145955707249
"getmanskyweiss2023b",0.00512110878626683,0.0178734552101006,3355,"israel","2006","N","N","N","Y","N","N","o",33,"Individual","Israel-Palestine conflict",1,1,"1","0","1",0.00512110878626683,0.000298135822652769
"getmanskyweiss2023b",-0.00248175535767223,0.01782363063647,2829,"israel","2015","N","N","N","Y","N","N","o",42,"Individual","Israel-Palestine conflict",1,1,"1","0","1",-0.00248175535767223,0.000353602433457788
"grossmanetal2015",0.0421636513671255,0.0616661288095402,2334,"israel","2013","N","N","Y","N","N","N","o",10.5,"Individual","Israel-Palestine conflict",1,1,"0","0","1",0.0421636513671255,0.000427109992921298
"hadzic2018",-0.00223372987552411,0.0312023418815468,1097,"bosnia","2016","N","N","N","N","Y","N","o",22.5,"Individual","Yugoslavian Wars",1,1,"0","0","1",-0.00223372987552411,0.000912399654130093
"hadzic2018",-0.0439233882244457,0.0296326310618356,1108,"bosnia","2016","N","N","N","N","Y","Y","s",22.5,"Individual","Yugoslavian Wars",1,1,"0","0","1",-0.0439233882244457,0.000899860157175681
"kocheretal2011",0.0315324007936027,0.00751717377502681,9707,"vietnam","2009","N","N","Y","N","N","N","o",44,"Hamlet","Vietnam War",1,1,"0","0","1",0.0315324007936027,0.000102824274059093
"kupatadzezeitzoff2021",0.0926259883994212,0.0332843445360156,715,"georgia","2015","N","N","N","N","N","Y","s",7,"Individual","Russo-Georgian War",1,1,"1","0","1",0.0926259883994212,0.00137663089864341
"mironovawhitt2021b",0.00656762983880216,0.125937208389291,400,"ukraine","2015","Y","N","N","N","N","N","s",0.5,"Individual","Russo-Ukrainian War",1,1,"1","0","1",0.00656762983880216,0.00250604945949153
"popovic2022",-0.074195724714605,0.0345602234627108,477,"serbia","2000","Y","N","N","N","N","N","o",1,"Municipailty","Yugoslavian Wars",1,1,"1","0","1",-0.074195724714605,0.00207777372679502
