"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"barcelopeisakhin2023",0.0497958836304107,0.0362969310950899,757,"spain","2022","N","N","N","Y","N","N","o",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.0497958836304107,0.00131619958797884
"barcelopeisakhin2023",0.0400026168292896,0.0299577154200616,708,"spain","2022","N","N","N","N","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.0400026168292896,0.00140990401975048
"barceloratnasingham2023",0.0477338756046955,0.0463909449630769,620,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",0.0477338756046955,0.00160815532456547
"barceloratnasingham2023",0.109255231370153,0.0425860128638556,620,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",0.109255231370153,0.00157717136312868
"bellowsmiguel2006",-0.0268741742453213,0.0136701325253732,5245,"sierraleone","2005","N","N","N","N","N","N","s",8.5,"Chiefdom","Sierra Leone Civil war",1,1,"1","0","2",-0.0268741742453213,0.000190418779389929
"bellowsmiguel2009",0.0418337021274109,0.0205163788430952,5097,"sierraleone","2007","N","N","N","N","N","N","s",10.5,"Individual and Chiefdom","Sierra Leone Civil war",1,1,"1","0","2",0.0418337021274109,0.000195546103892828
"cassaretal2013",-0.220451222162092,0.101670245709228,188,"tajikistan","2010","N","N","N","N","N","N","s",15.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",-0.220451222162092,0.004840451096019
"childnikolova2020",-0.0175807098603169,0.020013598068794,8882,"europe","2010","N","N","N","N","N","N","o",68,"Individual","World War II",1,1,"1","0","",-0.0175807098603169,0.00011253033811653
"childnikolova2020",0.000844517568879105,0.0139038592424652,10432,"europe","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","0","",0.000844517568879105,9.58679487662411e-05
"cilliersetal2016",-0.0353495957831976,0.0254317797677143,3001,"sierraleone","2014","N","N","N","N","N","N","s",17.5,"Individual","Sierra Leone Civil War",1,1,"1","0","2",-0.0353495957831976,0.000332500791213633
"delucaverpoorten2015a",0.0274035267039197,0.0124495304988548,4165,"uganda","2005","Y","N","Y","N","N","N","o",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0274035267039197,0.000239793145384053
"delucaverpoorten2015a",0.0911591980466076,0.0272469947041453,4144,"uganda","2008","Y","N","Y","N","N","N","o",11.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0911591980466076,0.000237376069831725
"delucaverpoorten2015a",0.0428784070985556,0.0153049422444958,4139,"uganda","2012","Y","N","Y","N","N","N","o",15.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0428784070985556,0.000240774834389596
"delucaverpoorten2015b",0.0404331147538858,0.029846251173611,4292,"uganda","2005","Y","N","Y","N","N","N","o",2.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0404331147538858,0.000232284548858974
"delucaverpoorten2015b",0.018687831107046,0.0129752309889722,4299,"uganda","2008","Y","N","Y","N","N","N","o",4,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.018687831107046,0.000232503874337398
"delucaverpoorten2015b",-0.00909074720712024,0.0220961268780735,4164,"uganda","2012","Y","N","Y","N","N","N","o",6,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.00909074720712024,0.000240171684712967
"dyrstad2012a",-0.000465215801491025,0.013445461081901,2436,"bosnia","2003","N","N","N","N","N","N","s",9.5,"Individual","Yugoslavian Wars",1,1,"0","1","1",-0.000465215801491025,0.000410677440307418
"dyrstad2012b",0.168044569267528,0.0869657720101819,939,"croatia","2003","N","N","N","N","N","N","s",10,"Individual","Yugoslavian Wars",1,1,"0","1","1",0.168044569267528,0.00100673719116854
"dyrstad2012c",0.0425347146216344,0.0165133502217818,1266,"kosovo","2003","N","N","N","N","N","N","s",4.5,"Individual","Yugoslavian Wars",1,1,"0","1","1",0.0425347146216344,0.000787656023174546
"elbialyetal2022a",-0.0881648582028694,0.114024439449134,65,"jordan","2018","N","N","N","N","N","N","s",4,"Individual","Syrian Civil War",1,1,"1","1","2",-0.0881648582028694,0.0153830364959612
"elbialyetal2022b",0.0295709141453615,0.294900213151323,58,"germany","2018","N","N","N","N","N","N","s",4,"Individual","Syrian Civil War",1,1,"1","1","2",0.0295709141453615,0.0175131909950301
"gneezyfessler2012",-0.0322345104753577,0.14000813270361,50,"israel","2007","N","N","N","N","N","N","o",1,"Individual","Israel-Hezbollah War",1,1,"0","0","1",-0.0322345104753577,0.0203657745371863
"gonzaleztraunmuller2023",-0.0279104256046743,0.0285734882977015,1080,"srilanka","2016","N","N","N","N","N","N","s",20,"Individual","Sri Lankan Civil War",1,1,"1","1","1",-0.0279104256046743,0.000925340707241377
"grossmanetal2015",-4.36051543653696e-05,0.0616426527902869,2334,"israel","2013","N","N","Y","N","N","N","o",10.5,"Individual","Israel-Palestine conflict",1,1,"0","0","1",-4.36051543653696e-05,0.000428632660178817
"hadzicetal2017",0.270781462122674,0.0333166516538128,1401,"bosnia","2005","N","N","N","N","N","N","o",11.5,"Municipality and Individual","Yugoslavian Wars",1,1,"1","1","1",0.270781462122674,0.000613379288032713
"hallkahn2020",0.233074468805872,0.0284113338619212,791,"turkey","2016","N","N","N","N","N","N","s",2.5,"Individual","Syrian Civil War",1,1,"1","0","2",0.233074468805872,0.00113202993573871
"kijewski2019",-0.0106825803645919,0.00840386472034997,25195,"global","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","1","",-0.0106825803645919,3.9682931570069e-05
"lewistopal2022",0.231029741145807,0.125235501186261,2356,"uganda","2008","N","N","N","N","N","N","o",0.5,"Individual","Lord's Resistance Army (LRA) insurgency",1,1,"0","0","2",0.231029741145807,0.000380509291048999
"lupupeisakhin2017",0.0628519557050848,0.0326235881237899,976,"ukraine","2014","N","N","N","N","Y","N","s",70,"Individual","Exile of Crimean Tartars",1,1,"1","1","1",0.0628519557050848,0.00101755371152624
"mironovawhitt2018",0.0699581801130053,0.0438969226792832,460,"kosovo","2011","N","N","N","N","N","N","s",12.5,"Individual","Yugoslavian Wars",1,1,"1","0","",0.0699581801130053,0.00215737616284328
"mironovawhitt2018",0.286536486081573,0.148949189747784,105,"kosovo","2011","N","N","N","N","N","N","s",12.5,"Individual","Yugoslavian Wars",1,1,"1","0","",0.286536486081573,0.00810129435401897
"rohneretal2013",-0.0619484552747165,0.0614191818255495,2250,"uganda","2008","N","N","Y","N","N","N","o",4.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"0","0","2",-0.0619484552747165,0.000441235884854243
"voorsbulte2014",0.0791570008120476,0.0602614069057745,794,"burundi","2007","N","N","Y","N","N","N","o",7,"Individual","Burundian Civil War",1,1,"1","1","2",0.0791570008120476,0.00124528070501919
"voorsbulte2014",0.0471624606265903,0.0411635050776346,831,"burundi","2007","N","N","Y","N","N","N","s",7,"Individual","Burundian Civil War",1,1,"1","1","2",0.0471624606265903,0.00119946548447652
"wang2019",0.0852906689623042,0.0447875477085912,1673,"china","2008","N","N","Y","N","N","N","o",39.5,"Individual","Chinese Cultural Revolution",1,1,"1","1","",0.0852906689623042,0.000589416221232154
"wernerlambsdorff2020",-0.0217737006597182,0.111044730632553,99,"indonesia","2013","N","N","N","N","N","N","s",12.5,"Individual","Maluku conflict",1,1,"1","1","1",-0.0217737006597182,0.0101944085375951
