"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"barcelopeisakhin2023",0.0470169155096897,0.0317486056478727,995,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.0470169155096897,0.00100159326561527
"barcelopeisakhin2023",0.0388076654819851,0.0298794015325673,861,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.0388076654819851,0.00115929092830325
"barceloratnasingham2023",0.0490078364521502,0.0402727306807902,628,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",0.0490078364521502,0.00158724438982814
"barceloratnasingham2023",0.133021833248475,0.0428860194394534,628,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",0.133021833248475,0.00153895293459787
"bellowsmiguel2006",-0.0295886402412037,0.0139036737065357,5269,"sierraleone","2005","N","N","N","N","N","N","s",8.5,"Chiefdom","Sierra Leone Civil war",1,1,"1","0","2",-0.0295886402412037,0.000189493126654508
"bellowsmiguel2009",0.052447069564895,0.0207011159858522,5097,"sierraleone","2007","N","N","N","N","N","N","s",10.5,"Individual and Chiefdom","Sierra Leone Civil war",1,1,"1","0","2",0.052447069564895,0.00019515427317733
"cassaretal2013",-0.164268008402034,0.0796685325681571,196,"tajikistan","2010","N","N","N","N","N","N","s",15.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",-0.164268008402034,0.00485518039964872
"childnikolova2020",-0.00891339819596106,0.0153768036408101,16547,"europe","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","0","",-0.00891339819596106,6.04279650052757e-05
"childnikolova2020",0.0138692446066703,0.0120581285498643,16483,"europe","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","0","",0.0138692446066703,6.06489094229396e-05
"cilliersetal2016",-0.0287469553470664,0.0281536085920417,3001,"sierraleone","2014","N","N","N","N","N","N","s",17.5,"Individual","Sierra Leone Civil War",1,1,"1","0","2",-0.0287469553470664,0.000332782636010917
"delucaverpoorten2015a",0.154674581333108,0.0236064274206268,2313,"uganda","2005","Y","N","Y","N","N","N","s",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.154674581333108,0.000412077818500798
"delucaverpoorten2015a",0.13371905912845,0.0446648551145403,2255,"uganda","2008","Y","N","Y","N","N","N","s",11.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.13371905912845,0.000427931743117688
"delucaverpoorten2015a",0.135461215887547,0.0319299048289263,2254,"uganda","2012","Y","N","Y","N","N","N","s",15.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.135461215887547,0.000427712929860479
"delucaverpoorten2015b",0.250437876833743,0.06177953772297,2289,"uganda","2005","Y","N","Y","N","N","N","s",2.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.250437876833743,0.000383957792386872
"delucaverpoorten2015b",0.0218103641526067,0.0245740308809716,2301,"uganda","2008","Y","N","Y","N","N","N","s",4,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0218103641526067,0.00043436906187562
"delucaverpoorten2015b",0.07172568133973,0.0263242688308019,2171,"uganda","2012","Y","N","Y","N","N","N","s",6,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.07172568133973,0.000456100147422948
"dyrstad2012a",0.0317577517414198,0.0182195985361301,2700,"bosnia","2003","N","N","N","N","N","N","s",9.5,"Individual","Yugoslavian Wars",1,1,"0","1","1",0.0317577517414198,0.000369760617855293
"dyrstad2012b",-0.00346894897257412,0.112303251782326,1063,"croatia","2003","N","N","N","N","N","N","s",10,"Individual","Yugoslavian Wars",1,1,"0","1","1",-0.00346894897257412,0.000941596923663709
