"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"barcelopeisakhin2023",0.0497958836304107,0.0362969310950899,757,"spain","2022","N","N","N","Y","N","N","o",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.0497958836304107,0.00131619958797884
"delucaverpoorten2015a",0.0274035267039197,0.0124495304988548,4165,"uganda","2005","Y","N","Y","N","N","N","o",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0274035267039197,0.000239793145384053
"delucaverpoorten2015a",0.0911591980466076,0.0272469947041453,4144,"uganda","2008","Y","N","Y","N","N","N","o",11.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0911591980466076,0.000237376069831725
"delucaverpoorten2015a",0.0428784070985556,0.0153049422444958,4139,"uganda","2012","Y","N","Y","N","N","N","o",15.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0428784070985556,0.000240774834389596
"delucaverpoorten2015b",0.0404331147538858,0.029846251173611,4292,"uganda","2005","Y","N","Y","N","N","N","o",2.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0404331147538858,0.000232284548858974
"delucaverpoorten2015b",0.018687831107046,0.0129752309889722,4299,"uganda","2008","Y","N","Y","N","N","N","o",4,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.018687831107046,0.000232503874337398
"delucaverpoorten2015b",-0.00909074720712024,0.0220961268780735,4164,"uganda","2012","Y","N","Y","N","N","N","o",6,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.00909074720712024,0.000240171684712967
"grossmanetal2015",-4.36051543653696e-05,0.0616426527902869,2334,"israel","2013","N","N","Y","N","N","N","o",10.5,"Individual","Israel-Palestine conflict",1,1,"0","0","1",-4.36051543653696e-05,0.000428632660178817
"lupupeisakhin2017",0.0628519557050848,0.0326235881237899,976,"ukraine","2014","N","N","N","N","Y","N","s",70,"Individual","Exile of Crimean Tartars",1,1,"1","1","1",0.0628519557050848,0.00101755371152624
"rohneretal2013",-0.0619484552747165,0.0614191818255495,2250,"uganda","2008","N","N","Y","N","N","N","o",4.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"0","0","2",-0.0619484552747165,0.000441235884854243
"voorsbulte2014",0.0791570008120476,0.0602614069057745,794,"burundi","2007","N","N","Y","N","N","N","o",7,"Individual","Burundian Civil War",1,1,"1","1","2",0.0791570008120476,0.00124528070501919
"voorsbulte2014",0.0471624606265903,0.0411635050776346,831,"burundi","2007","N","N","Y","N","N","N","s",7,"Individual","Burundian Civil War",1,1,"1","1","2",0.0471624606265903,0.00119946548447652
"wang2019",0.0852906689623042,0.0447875477085912,1673,"china","2008","N","N","Y","N","N","N","o",39.5,"Individual","Chinese Cultural Revolution",1,1,"1","1","",0.0852906689623042,0.000589416221232154
