"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"aaskoven2022",0.00455114760472801,0.028031780721867,1262,"denmark","1972","N","N","N","N","N","N","o",29.5,"Municipality, Individual","World War II",1,1,"0","0","",0.00455114760472801,0.000792988560301337
"aloyoetal2023",-0.0624782947451102,0.0369372464951663,505,"kenya","2015","N","N","N","N","N","N","s",7.5,"Individual","Post-election violence",1,1,"1","1","",-0.0624782947451102,0.00196866699002986
"annanetal2011",0.0207804074899432,0.0592166588574674,495,"uganda","2007","N","N","N","N","Y","N","s",11,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","0","2",0.0207804074899432,0.00202254359474134
"balcells2012",0.0759491370141602,0.0189322038761461,2789,"spain","2008","N","N","N","N","N","N","s",70.5,"Individual","Spanish Civil War",1,1,"0","0","N/A",0.0759491370141602,0.000354554063891214
"barcelo2021",0.02079106593228,0.0537552218766095,862,"vietnam","2001","N","N","Y","N","N","N","o",31,"Individual","Vietnam War",1,1,"1","1","1",0.02079106593228,0.00116043629501834
"barcelopeisakhin2023",0.00959479472735572,0.0337205096744127,898,"spain","2022","N","N","N","Y","N","N","o",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.00959479472735572,0.00111462194905612
"barcelopeisakhin2023",-0.0825837964224173,0.0337119936561747,816,"spain","2022","N","N","N","N","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",-0.0825837964224173,0.00121031453579747
"blair2021",0.059376483024674,0.00827926273613438,4773,"liberia","2010","N","N","N","N","N","N","o",10,"Individual, Community","Liberian Civil wars",1,1,"1","0","2",0.059376483024674,0.000208080741020129
"blair2021",0.119516740948916,0.0174772389601888,4793,"liberia","2010","N","N","N","N","N","N","s",10,"Individual, Community","Liberian Civil wars",1,1,"1","0","2",0.119516740948916,0.000202762006907975
"blairmorse2021",0.0974959768990087,0.0417280287359679,1062,"liberia","2015","N","N","N","N","N","N","s",19,"Individual,  Community","Liberian Civil wars",1,1,"1","0","2",0.0974959768990087,0.000924674291094822
"callenetal2014",0.0187887236986048,0.0198672344945188,816,"afghanistan","2010","N","N","N","N","N","N","o",20,"Individual","Conflicts in Afghanistan following Soviet Invasion",1,1,"0","0","1",0.0187887236986048,0.00122612772066742
"cassaretal2013",0.0409595246206048,0.0500675648904043,401,"tajikistan","2010","N","N","N","N","N","N","s",15.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",0.0409595246206048,0.00249161862326202
"childnikolova2020",-0.0152670533877571,0.0205121476273681,8832,"europe","2010","N","N","N","N","N","N","o",68,"Individual","World War II",1,1,"1","0","",-0.0152670533877571,0.000113184677668368
"childnikolova2020",0.0207497015760884,0.0125135579327021,10370,"europe","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","0","",0.0207497015760884,9.63582876981781e-05
"cilliersetal2016",0.0464870045681883,0.0289809560826701,1499,"sierraleone","2014","N","N","N","N","N","N","s",17.5,"Individual","Sierra Leone Civil War",1,1,"1","0","2",0.0464870045681883,0.000664674624107693
