"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"aaskoven2022",0.00235163286151912,0.0192258602275709,1301,"denmark","1972","N","N","N","N","N","N","s",29.5,"Municipality, Individual","World War II",1,1,"0","0","",0.00235163286151912,0.000769222261289502
"aloyoetal2023",-0.0929721816713972,0.0388859730901759,505,"kenya","2015","N","N","N","N","N","N","s",7.5,"Individual","Post-election violence",1,1,"1","1","",-0.0929721816713972,0.00194997433057183
"annanetal2011",0.00285690932784167,0.0456659915730586,495,"uganda","2007","N","N","N","N","Y","N","s",11,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","0","2",0.00285690932784167,0.00202425845385587
"balcells2012",0.13606261637381,0.0197382876967736,2868,"spain","2008","N","N","N","N","N","N","s",70.5,"Individual","Spanish Civil War",1,1,"0","0","N/A",0.13606261637381,0.00033600162585881
"barcelo2021",0.00708030975417103,0.0348425646171262,875,"vietnam","2001","N","N","Y","N","N","N","s",31,"Individual","Vietnam War",1,1,"1","1","1",0.00708030975417103,0.00114405004684287
"barcelopeisakhin2023",0.00115048353262154,0.028915415985176,1198,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.00115048353262154,0.000835419676505459
"barcelopeisakhin2023",-0.0678296568855962,0.0296759052422844,1010,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",-0.0678296568855962,0.000981981608749215
"blair2021",0.0471061955762093,0.0121671758825428,4801,"liberia","2010","N","N","N","N","N","N","s",10,"Individual, Community","Liberian Civil wars",1,1,"1","0","2",0.0471061955762093,0.000207409778460321
"blair2021",0.131499643438224,0.016047672455791,4801,"liberia","2010","N","N","N","N","N","N","s",10,"Individual, Community","Liberian Civil wars",1,1,"1","0","2",0.131499643438224,0.000201190563795443
"blairmorse2021",0.102756078899212,0.0343343508569998,1062,"liberia","2015","N","N","N","N","N","N","s",19,"Individual,  Community","Liberian Civil wars",1,1,"1","0","2",0.102756078899212,0.000922708638081155
"callenetal2014",-0.00790233164118852,0.0214071490519791,816,"afghanistan","2010","N","N","N","N","N","N","s",20,"Individual","Conflicts in Afghanistan following Soviet Invasion",1,1,"0","0","1",-0.00790233164118852,0.00122684062602316
"cassaretal2013",0.116150945252103,0.0458297816911917,416,"tajikistan","2010","N","N","N","N","N","N","s",15.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",0.116150945252103,0.00234506005795318
"childnikolova2020",-0.0224328029354297,0.0284217858962985,16383,"europe","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","0","",-0.0224328029354297,6.09811861766576e-05
"childnikolova2020",0.00426273257568644,0.0153979892911564,16358,"europe","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","0","",0.00426273257568644,6.11336833497682e-05
"cilliersetal2016",0.0178885647729173,0.0314289875658844,1499,"sierraleone","2014","N","N","N","N","N","N","s",17.5,"Individual","Sierra Leone Civil War",1,1,"1","0","2",0.0178885647729173,0.000667129573365294
"cordoba2020",-0.0186805013138432,0.00916188219749658,11419,"guatemala","2001","N","N","N","N","N","N","s",22,"Individual","Guatemalan Civil War",1,1,"1","0","2",-0.0186805013138432,8.7519898363566e-05
"dancyetal2020",0.224077844218138,0.0440145885823512,504,"kenya","2015","N","N","N","N","N","N","s",7.5,"Individual","Post-election violence",1,1,"o","0","",0.224077844218138,0.00179343811522572
"deglowsundberg2021",0.143891896725595,0.04987793026295,5995,"afghanistan","2008","N","N","N","N","N","N","s",0.5,"Individual","Afghanistan War",1,1,"0","0","2",0.143891896725595,0.000159996485833178
"deglowsundberg2021",0.192498595653749,0.0348316553773996,5838,"afghanistan","2009","N","N","N","N","N","N","s",1,"Individual","Afghanistan War",1,1,"0","0","2",0.192498595653749,0.000158859295346328
"deglowsundberg2021",0.0539745988146935,0.0314828703967243,6157,"afghanistan","2010","N","N","N","N","N","N","s",1.5,"Individual","Afghanistan War",1,1,"0","0","2",0.0539745988146935,0.000161498046204318
"deglowsundberg2021",0.0647103420522575,0.0299923288983965,6118,"afghanistan","2011","N","N","N","N","N","N","s",2,"Individual","Afghanistan War",1,1,"0","0","2",0.0647103420522575,0.000162112584243796
"deglowsundberg2021",0.0377539977140252,0.0285823357471662,7612,"afghanistan","2012","N","N","N","N","N","N","s",2.5,"Individual","Afghanistan War",1,1,"0","0","2",0.0377539977140252,0.000131014492573477
"dejuanpierskalla2016",0.101679067759104,0.00997414320612827,8556,"nepal","2003","N","N","Y","N","N","N","s",4,"Individual","Nepali Civil War",1,1,"1","0","2",0.101679067759104,0.000114486221120733
"delucaverpoorten2015a",0.0822405976437665,0.0456211481910625,2320,"uganda","2005","Y","N","Y","N","N","N","s",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0822405976437665,0.000425406948402644
"delucaverpoorten2015a",-0.00637358701444787,0.0446061221321347,2255,"uganda","2008","Y","N","Y","N","N","N","s",11.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.00637358701444787,0.000443619678982846
"delucaverpoorten2015a",-0.00644159176705011,0.0243280494986298,2256,"uganda","2012","Y","N","Y","N","N","N","s",15.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.00644159176705011,0.000443422178941363
"delucaverpoorten2015b",0.046230474881581,0.0163891322860922,2293,"uganda","2005","Y","N","Y","N","N","N","s",2.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.046230474881581,0.000434437196444638
"delucaverpoorten2015b",0.012456380366728,0.0107551252659768,2296,"uganda","2008","Y","N","Y","N","N","N","s",4,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.012456380366728,0.000435594641068141
"delucaverpoorten2015b",-0.0391732904771328,0.0202924391986582,2173,"uganda","2012","Y","N","Y","N","N","N","s",6,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.0391732904771328,0.000458993214300148
"dyrstadetal2021a",0.00734192792980331,0.0375646953411233,1173,"guatemala","2016","N","N","N","N","N","N","s",38,"Individual","Guatemalan Civil War",1,1,"1","0","2",0.00734192792980331,0.000853150337111074
"dyrstadetal2021b",0.0647804191500857,0.0253761960487681,736,"northernireland","2016","N","N","N","N","N","N","s",33,"Individual","The Troubles",1,1,"1","0","1",0.0647804191500857,0.00134914912275433
"dyrstadetal2021c",0.0405874308063753,0.0278825481562532,1173,"nepal","2016","N","N","N","N","N","N","s",14.5,"Individual","Nepali Civil War",1,1,"1","0","2",0.0405874308063753,0.000850433476662657
"esparzaetal2020",-0.0478273936248301,0.0327241431963067,1561,"colombia","2016","N","N","N","N","N","N","s",2,"individual","Colombian Conflict",1,1,"1","1","2",-0.0478273936248301,0.000638096354685542
"esparzaetal2020",-0.00344293763194182,0.0258123492373207,1556,"colombia","2016","N","N","N","N","N","N","s",2,"individual","Colombian Conflict",1,1,"1","1","2",-0.00344293763194182,0.000643071570740475
"freitagetal2019",0.108473396981074,0.0299569287960271,925,"kosovo","2010","N","N","N","N","N","N","s",11.5,"Individual","Yugoslavian Wars",1,1,"1","0","1",0.108473396981074,0.00105693235313401
"getmanskyweiss2023a",0.0903493880671485,0.0289587620996362,1035,"israel","1973","Y","Y","N","N","N","N","s",0.0415,"Inividual and Locality","Israel-Palestine conflict",1,1,"0","0","1",0.0903493880671485,0.000951393240730616
