"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"annanetal2011",0.0207804074899432,0.0592166588574674,495,"uganda","2007","N","N","N","N","Y","N","s",11,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","0","2",0.0207804074899432,0.00202254359474134
"barcelo2021",0.02079106593228,0.0537552218766095,862,"vietnam","2001","N","N","Y","N","N","N","o",31,"Individual","Vietnam War",1,1,"1","1","1",0.02079106593228,0.00116043629501834
"barcelopeisakhin2023",0.00959479472735572,0.0337205096744127,898,"spain","2022","N","N","N","Y","N","N","o",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.00959479472735572,0.00111462194905612
"dejuanpierskalla2016",0.076543753820684,0.0125737150322769,8433,"nepal","2003","N","N","Y","N","N","N","o",4,"Individual","Nepali Civil War",1,1,"1","0","2",0.076543753820684,0.000117210203362574
"delucaverpoorten2015a",0.0917083426752299,0.0213019598125254,4208,"uganda","2005","Y","N","Y","N","N","N","o",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0917083426752299,0.00023371758852723
"delucaverpoorten2015a",-0.0113580941045691,0.0415687798123016,4180,"uganda","2008","Y","N","Y","N","N","N","o",11.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.0113580941045691,0.00023922996028697
"delucaverpoorten2015a",0.0376706875474092,0.0177385206762813,4177,"uganda","2012","Y","N","Y","N","N","N","o",15.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0376706875474092,0.000238784447411266
"delucaverpoorten2015b",0.0673393488812303,0.0149113277757501,4318,"uganda","2005","Y","N","Y","N","N","N","o",2.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0673393488812303,0.00022954630221728
"delucaverpoorten2015b",0.0417819867252437,0.0148388457041388,4332,"uganda","2008","Y","N","Y","N","N","N","o",4,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0417819867252437,0.000230088104077402
"delucaverpoorten2015b",0.0429177811099337,0.0193543549181002,4202,"uganda","2012","Y","N","Y","N","N","N","o",6,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0429177811099337,0.000237162466283549
"getmanskyweiss2023a",0.108465946873273,0.041974172045868,650,"israel","1973","Y","Y","N","N","N","N","o",0.0415,"Inividual and Locality","Israel-Palestine conflict",1,1,"0","0","1",0.108465946873273,0.00150478996719101
"hongkang2017",0.0905738410926583,0.0512994835662473,1762,"southkorea","2007","Y","N","N","N","N","N","o",55.5,"Individual","Korean War",1,1,"1","1","1",0.0905738410926583,0.00055858038501526
"kupatadzezeitzoff2021",-0.0508377009135259,0.0281127166218551,971,"georgia","2015","N","N","N","N","N","Y","s",7,"Individual","Russo-Georgian War",1,1,"1","0","1",-0.0508377009135259,0.00102560591322301
"lupuwallace2023",-0.222414323050434,0.137520664946275,1501,"ukraine","2018","N","N","N","N","Y","N","s",2,"Individual","Russo-Ukrainian War",1,1,"0","0","1",-0.222414323050434,0.000602340555865574
"lupuwallace2023",0.00946231657046509,0.0255747053587557,1501,"ukraine","2018","N","N","N","N","Y","Y","s",2,"Individual","Russo-Ukrainian War",1,1,"0","0","1",0.00946231657046509,0.000666547291431223
"rozenaszhukov2019",-0.0700622491722625,0.0325059888095829,1190,"ukraine","2017","N","N","Y","N","N","N","s",1.5,"District","Holodomor",1,1,"0","0","",-0.0700622491722625,0.00083280627249933
"shai2022",-0.00151298041733882,0.0214917944055558,2075,"israel","2008","Y","N","N","N","N","N","o",2,"Individual","Lebanese Civil war",1,1,"0","0","2",-0.00151298041733882,0.000482157869713478
"voorsbulte2014",0.0488963796963938,0.0464569977061039,791,"burundi","2007","N","N","Y","N","N","N","o",7,"Individual","Burundian Civil War",1,1,"1","1","2",0.0488963796963938,0.00125977722062954
"voorsbulte2014",0.0224879060985053,0.0404117643428128,827,"burundi","2007","N","N","Y","N","N","N","s",7,"Individual","Burundian Civil War",1,1,"1","1","2",0.0224879060985053,0.00120942959309575
"wang2019",0.297019046573935,0.042835264344399,1296,"china","2008","N","N","Y","N","N","N","o",39.5,"Individual","Chinese Cultural Revolution",1,1,"1","1","",0.297019046573935,0.000641963085522598
