"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"barcelopeisakhin2023",0.0433692896003689,0.0358767670117375,751,"spain","2022","N","N","N","Y","N","N","o",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.0433692896003689,0.00132832232960823
"barcelopeisakhin2023",0.147265168845831,0.0399893805722788,703,"spain","2022","N","N","N","N","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.147265168845831,0.00136338499623632
"barceloratnasingham2023",0.223720117240992,0.0513971666894203,620,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",0.223720117240992,0.00145784117922253
"barceloratnasingham2023",0.154711064512708,0.0421179959337082,620,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",0.154711064512708,0.00153909835515407
"barceloratnasingham2023",0.263447924940264,0.0442079304295933,620,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",0.263447924940264,0.00139904266433478
"bellowsmiguel2006",0.0323611678489315,0.0162920224875504,4733,"sierraleone","2005","N","N","N","N","N","N","s",8.5,"Chiefdom","Sierra Leone Civil war",1,1,"1","0","2",0.0323611678489315,0.000210884743523538
"bellowsmiguel2009",-0.0327444839857575,0.0141351222327218,4852,"sierraleone","2007","N","N","N","N","N","N","s",10.5,"Individual and Chiefdom","Sierra Leone Civil war",1,1,"1","0","2",-0.0327444839857575,0.000205701246578539
"cassaretal2013",-0.0212839930854595,0.0553644837357848,405,"tajikistan","2010","N","N","N","N","N","N","s",15.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",-0.0212839930854595,0.00247300541706251
"cassaretal2013",-0.113265489764318,0.0557089745222957,405,"tajikistan","2010","N","N","N","N","N","N","s",15.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",-0.113265489764318,0.00241214466020798
"cassaretal2013",0.00255464756024954,0.0547288380263951,404,"tajikistan","2010","N","N","N","N","N","N","s",15.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",0.00255464756024954,0.00248135719006024
"cecchietal2015",0.0341762090779451,0.0834789426273051,162,"sierraleone","2010","N","N","N","N","N","N","s",13.5,"Individual","Sierra Leone Civil war",1,1,"o","0","2",0.0341762090779451,0.00619667911628021
"childnikolova2020",-0.0417042050793768,0.0192298710016925,8139,"europe","2010","N","N","N","N","N","N","o",68,"Individual","World War II",1,1,"1","0","",-0.0417042050793768,0.000122453249387525
"childnikolova2020",-0.0198620454876695,0.0112320502251763,9519,"europe","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","0","",-0.0198620454876695,0.000104981209700464
"delucaverpoorten2015a",0.0147211524782777,0.0113028435037094,4092,"uganda","2005","Y","N","Y","N","N","N","o",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0147211524782777,0.00024433307805027
"delucaverpoorten2015a",0.0097894404431352,0.0213683158592186,4077,"uganda","2008","Y","N","Y","N","N","N","o",11.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0097894404431352,0.000245291546343379
"delucaverpoorten2015a",0.014960546361064,0.016285177922208,4076,"uganda","2012","Y","N","Y","N","N","N","o",15.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.014960546361064,0.000245288935999909
"delucaverpoorten2015b",0.0461138903464049,0.0268129558861245,4216,"uganda","2005","Y","N","Y","N","N","N","o",2.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0461138903464049,0.000236239985812032
"delucaverpoorten2015b",0.0200308624806852,0.0157448931332521,4230,"uganda","2008","Y","N","Y","N","N","N","o",4,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0200308624806852,0.000236272804465937
"delucaverpoorten2015b",0.0138789051652376,0.0262868500875403,4101,"uganda","2012","Y","N","Y","N","N","N","o",6,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0138789051652376,0.000243808485143131
"gonzaleztraunmuller2023",0.0152452243696687,0.0293646876626387,1062,"srilanka","2016","N","N","N","N","N","N","s",20,"Individual","Sri Lankan Civil War",1,1,"1","1","1",0.0152452243696687,0.000942069010636604
"grossmanetal2015",0.00289881824983775,0.0616415166093345,2334,"israel","2013","N","N","Y","N","N","N","o",10.5,"Individual","Israel-Palestine conflict",1,1,"0","0","1",0.00289881824983775,0.000428625458112354
"hadzicetal2017",0.165306005611269,0.0335422354760537,1401,"bosnia","2005","N","N","N","N","N","N","o",11.5,"Municipality and Individual","Yugoslavian Wars",1,1,"1","1","1",0.165306005611269,0.000675781831013887
"halletal2021",0.10111349650931,0.0228852257296812,1524,"turkey","2017","N","N","N","N","N","N","s",3,"Individual","Syrian Civil War",1,1,"1","0","2",0.10111349650931,0.000643241398936051
"hallkahn2020",0.255193095414534,0.0169800586473185,2382,"turkey","2016","N","N","N","N","N","N","s",2.5,"Individual","Syrian Civil War",1,1,"1","0","2",0.255193095414534,0.000367070155579516
"hallkahn2020",0.075904646602579,0.0163262772544263,2399,"turkey","2016","N","N","N","N","N","N","s",2.5,"Individual","Syrian Civil War",1,1,"1","0","2",0.075904646602579,0.000412222754089951
"lewistopal2022",0.195785502519505,0.174997912417197,2343,"uganda","2008","N","N","N","N","N","N","o",0.5,"Individual","Lord's Resistance Army (LRA) insurgency",1,1,"0","0","2",0.195785502519505,0.000394878485650538
"lupupeisakhin2017",0.142573235712041,0.0495593397303273,957,"ukraine","2014","N","N","N","N","Y","N","s",70,"Individual","Exile of Crimean Tartars",1,1,"1","1","1",0.142573235712041,0.00100393194250134
