"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"barcelopeisakhin2023",0.0648951894256523,0.0318072041361255,985,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.0648951894256523,0.00100771845990608
"barcelopeisakhin2023",0.14832363777995,0.0354371353600222,853,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.14832363777995,0.00112263402889498
"barceloratnasingham2023",0.193842670260339,0.0509367101565452,628,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",0.193842670260339,0.0014772917345388
"barceloratnasingham2023",0.133675014534094,0.0388622982844613,628,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",0.133675014534094,0.00153840714909013
"barceloratnasingham2023",0.252480294773126,0.042598505537951,628,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",0.252480294773126,0.00139803985992099
"bellowsmiguel2006",0.0331709289722613,0.0162590417060523,4753,"sierraleone","2005","N","N","N","N","N","N","s",8.5,"Chiefdom","Sierra Leone Civil war",1,1,"1","0","2",0.0331709289722613,0.000209974871554187
"bellowsmiguel2009",-0.0433238624671099,0.0140384038268007,4852,"sierraleone","2007","N","N","N","N","N","N","s",10.5,"Individual and Chiefdom","Sierra Leone Civil war",1,1,"1","0","2",-0.0433238624671099,0.00020536994616567
"cassaretal2013",-0.00310751302581884,0.0526830352434311,420,"tajikistan","2010","N","N","N","N","N","N","s",15.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",-0.00310751302581884,0.00238658875135761
"cassaretal2013",-0.0613802123615801,0.0495649255216772,420,"tajikistan","2010","N","N","N","N","N","N","s",15.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",-0.0613802123615801,0.00236868528245044
"cassaretal2013",-0.00636164763676746,0.0512478429100959,419,"tajikistan","2010","N","N","N","N","N","N","s",15.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",-0.00636164763676746,0.0023921508624798
