"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"barcelopeisakhin2023",0.0433692896003689,0.0358767670117375,751,"spain","2022","N","N","N","Y","N","N","o",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.0433692896003689,0.00132832232960823
"delucaverpoorten2015a",0.0147211524782777,0.0113028435037094,4092,"uganda","2005","Y","N","Y","N","N","N","o",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0147211524782777,0.00024433307805027
"delucaverpoorten2015a",0.0097894404431352,0.0213683158592186,4077,"uganda","2008","Y","N","Y","N","N","N","o",11.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0097894404431352,0.000245291546343379
"delucaverpoorten2015a",0.014960546361064,0.016285177922208,4076,"uganda","2012","Y","N","Y","N","N","N","o",15.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.014960546361064,0.000245288935999909
"delucaverpoorten2015b",0.0461138903464049,0.0268129558861245,4216,"uganda","2005","Y","N","Y","N","N","N","o",2.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0461138903464049,0.000236239985812032
"delucaverpoorten2015b",0.0200308624806852,0.0157448931332521,4230,"uganda","2008","Y","N","Y","N","N","N","o",4,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0200308624806852,0.000236272804465937
"delucaverpoorten2015b",0.0138789051652376,0.0262868500875403,4101,"uganda","2012","Y","N","Y","N","N","N","o",6,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0138789051652376,0.000243808485143131
"grossmanetal2015",0.00289881824983775,0.0616415166093345,2334,"israel","2013","N","N","Y","N","N","N","o",10.5,"Individual","Israel-Palestine conflict",1,1,"0","0","1",0.00289881824983775,0.000428625458112354
"lupupeisakhin2017",0.142573235712041,0.0495593397303273,957,"ukraine","2014","N","N","N","N","Y","N","s",70,"Individual","Exile of Crimean Tartars",1,1,"1","1","1",0.142573235712041,0.00100393194250134
"mironovawhitt2021b",-0.127880157263726,0.155950708318712,400,"ukraine","2015","Y","N","N","N","N","N","s",0.5,"Individual","Russo-Ukrainian War",1,1,"1","0","1",-0.127880157263726,0.00242496431656557
"rohneretal2013",0.026536942327921,0.0502696943018573,2250,"uganda","2008","N","N","Y","N","N","N","o",4.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"0","0","2",0.026536942327921,0.000444016041482667
