"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"annanetal2011",0.0986953683399697,0.0298987654143022,1243,"uganda","2007","N","N","N","N","Y","N","s",11,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","0","2",0.0986953683399697,0.000789543744966451
"barceloratnasingham2023",0.135772836486251,0.0500826555931126,620,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",0.135772836486251,0.00155649643909856
"bauerfialalevely2014",0.193377844921374,0.0915042871869422,294,"uganda","2011","N","N","N","N","Y","N","s",15,"Individuals (clustered within villages)","Lord’s Resistance Army (LRA) insurgency",1,1,"0","1","2",0.193377844921374,0.00316248601888062
"blattman2009",0.11760370839832,0.0450164775226065,740,"uganda","2005","N","N","N","N","Y","N","s",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.11760370839832,0.00131600814875478
"cordoba2020",-0.0427652588066778,0.0369864784107465,11336,"guatemala","2001","N","N","N","N","N","N","o",22,"Individual","Guatemalan Civil War",1,1,"1","0","2",-0.0427652588066778,8.78999214851539e-05
"delucaverpoorten2015a",-0.141985794547883,0.0298815607787584,3795,"uganda","2005","Y","N","Y","N","N","N","o",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.141985794547883,0.000253053898923675
"delucaverpoorten2015a",0.0237287887913106,0.0464956143748962,3516,"uganda","2008","Y","N","Y","N","N","N","o",11.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0237287887913106,0.00028417473860495
"delucaverpoorten2015a",-0.143958503325596,0.0262313977517828,3053,"uganda","2012","Y","N","Y","N","N","N","o",15.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.143958503325596,0.00031421408417991
"esparzaetal2020",0.108467733673273,0.0331873000397722,1549,"colombia","2016","N","N","N","N","N","N","o",2,"individual","Colombian Conflict",1,1,"1","1","2",0.108467733673273,0.000630883670925995
"esparzaetal2020",0.143815853161836,0.0267567514259949,1544,"colombia","2016","N","N","N","N","N","N","s",2,"individual","Colombian Conflict",1,1,"1","1","2",0.143815853161836,0.000621556569819815
"getmanskyweiss2023a",-0.078235628288614,0.0451748766146501,655,"israel","1973","Y","Y","N","N","N","N","o",0.0415,"Inividual and Locality","Israel-Palestine conflict",1,1,"0","0","1",-0.078235628288614,0.00151039118851817
"henrichetal2019c",0.0858834667534765,0.0399770743286672,708,"uganda","2011","N","N","N","N","N","N","s",15,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","0","2",0.0858834667534765,0.00139363856465093
"lewistopal2022",-0.139726098929469,0.103662041595731,2363,"uganda","2008","N","N","N","N","N","N","o",0.5,"Individual","Lord's Resistance Army (LRA) insurgency",1,1,"0","0","2",-0.139726098929469,0.0004070001680901
"lindseykoos2024",0.0630054291062868,0.0319937989227487,979,"congo","2017","N","N","N","N","N","N","s",18.5,"Household","Congo wars",1,1,"1","0","1",0.0630054291062868,0.00101439303701237
