"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"annanetal2011",0.100435634135303,0.0296652606594002,1243,"uganda","2007","N","N","N","N","Y","N","s",11,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","0","2",0.100435634135303,0.000788991240537803
"barceloratnasingham2023",0.148850881973219,0.0467047622780547,628,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",0.148850881973219,0.00152500437660813
"bauerfialalevely2014",0.216767252728128,0.0681371923583926,337,"uganda","2011","N","N","N","N","Y","N","s",15,"Individuals (clustered within villages)","Lord’s Resistance Army (LRA) insurgency",1,1,"0","1","2",0.216767252728128,0.00270307081061546
"blattman2009",0.118733222415362,0.0349686333733238,740,"uganda","2005","N","N","N","N","Y","N","s",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.118733222415362,0.00131529578551848
"cordoba2020",-0.00704719383796213,0.011881945890156,11419,"guatemala","2001","N","N","N","N","N","N","s",22,"Individual","Guatemalan Civil War",1,1,"1","0","2",-0.00704719383796213,8.75723135912093e-05
"delucaverpoorten2015a",-0.0794857300675338,0.0302908402637354,2062,"uganda","2005","Y","N","Y","N","N","N","s",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.0794857300675338,0.00047908974008674
"delucaverpoorten2015a",0.0222864884492777,0.0301088579442777,1746,"uganda","2008","Y","N","Y","N","N","N","s",11.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0222864884492777,0.000572496774535095
"delucaverpoorten2015a",-0.141835125428152,0.0325367029463575,1284,"uganda","2012","Y","N","Y","N","N","N","s",15.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.141835125428152,0.000748379030583217
"esparzaetal2020",0.121145912615064,0.0348609437444351,1563,"colombia","2016","N","N","N","N","N","N","s",2,"individual","Colombian Conflict",1,1,"1","1","2",0.121145912615064,0.000621551043814666
"esparzaetal2020",0.155796452967667,0.0266418932898986,1558,"colombia","2016","N","N","N","N","N","N","s",2,"individual","Colombian Conflict",1,1,"1","1","2",0.155796452967667,0.000611460556473302
"getmanskyweiss2023a",0.00934473372817969,0.0289791157115914,1045,"israel","1973","Y","Y","N","N","N","N","s",0.0415,"Inividual and Locality","Israel-Palestine conflict",1,1,"0","0","1",0.00934473372817969,0.000957687125985238
"henrichetal2019c",0.157749644461868,0.0372361611625938,713,"uganda","2011","N","N","N","N","N","N","s",15,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","0","2",0.157749644461868,0.00133546258440608
"lewistopal2022",-0.0855902345708908,0.0161667263167562,2400,"uganda","2008","N","N","N","N","N","N","s",0.5,"Individual","Lord's Resistance Army (LRA) insurgency",1,1,"0","0","2",-0.0855902345708908,0.000410755435264941
"lindseykoos2024",0.0704561789432948,0.0353388149882698,999,"congo","2017","N","N","N","N","N","N","s",18.5,"Household","Congo wars",1,1,"1","0","1",0.0704561789432948,0.00099208065703374
