"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"aaskoven2022",0.0318277172215018,0.0270672752189772,1262,"denmark","1972","N","N","N","N","N","N","o",29.5,"Municipality, Individual","World War II",1,1,"0","0","",0.0318277172215018,0.000791415558294367
"aaskoven2022",0.00633687649980052,0.0426950166772801,1249,"denmark","1972","N","N","N","N","N","N","o",29.5,"Municipality, Individual","World War II",1,1,"0","0","",0.00633687649980052,0.000801217700003972
"aloyoetal2023",-0.0442174436024835,0.0238466003235958,503,"kenya","2015","N","N","N","N","N","N","s",7.5,"Individual","Post-election violence",1,1,"1","1","",-0.0442174436024835,0.0019842499165347
"balcells2012",0.125011642072353,0.0195366961521823,2329,"spain","2008","N","N","N","N","N","N","s",70.5,"Individual","Spanish Civil War",1,1,"0","0","N/A",0.125011642072353,0.000416232135001781
"balcells2012",0.0869256935881352,0.0173042124803614,2847,"spain","2008","N","N","N","N","N","N","s",70.5,"Individual","Spanish Civil War",1,1,"0","0","N/A",0.0869256935881352,0.00034608044338583
"barcelo2021",0.214872523535342,0.0536403247961574,849,"vietnam","2001","N","N","Y","N","N","N","o",31,"Individual","Vietnam War",1,1,"1","1","1",0.214872523535342,0.00107286708107747
"barcelopeisakhin2023",0.0126472663027733,0.0337002679973676,902,"spain","2022","N","N","N","Y","N","N","o",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.0126472663027733,0.00110952288445639
"barcelopeisakhin2023",0.11445303920518,0.0376386424368192,819,"spain","2022","N","N","N","N","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.11445303920518,0.00119067555071644
"barcelopeisakhin2023",-0.0290801513503647,0.0327364236582278,903,"spain","2022","N","N","N","Y","N","N","o",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",-0.0290801513503647,0.00110677317597295
"barcelopeisakhin2023",0.136107143227283,0.0296031501359994,820,"spain","2022","N","N","N","N","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.136107143227283,0.00117618177347002
