"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"aaskoven2022",0.0483413474130928,0.0206388087230327,1282,"denmark","1972","N","N","N","N","N","N","s",29.5,"Municipality, Individual","World War II",1,1,"0","0","",0.0483413474130928,0.000776995854251476
"aaskoven2022",0.0153078257310547,0.0322652294249414,1288,"denmark","1972","N","N","N","N","N","N","s",29.5,"Municipality, Individual","World War II",1,1,"0","0","",0.0153078257310547,0.000776636671214532
"aloyoetal2023",-0.0799043499005013,0.0275249756931592,503,"kenya","2015","N","N","N","N","N","N","s",7.5,"Individual","Post-election violence",1,1,"1","1","",-0.0799043499005013,0.00196667600436971
"balcells2012",0.243245636512907,0.0206233995873546,2936,"spain","2008","N","N","N","N","N","N","s",70.5,"Individual","Spanish Civil War",1,1,"0","0","N/A",0.243245636512907,0.000301589105584099
"balcells2012",0.197110477245415,0.0190584375875139,2936,"spain","2008","N","N","N","N","N","N","s",70.5,"Individual","Spanish Civil War",1,1,"0","0","N/A",0.197110477245415,0.000314754493834161
"barcelo2021",0.157046549004228,0.0384596705216212,859,"vietnam","2001","N","N","Y","N","N","N","s",31,"Individual","Vietnam War",1,1,"1","1","1",0.157046549004228,0.00110871918061994
"barcelopeisakhin2023",0.00423053135068886,0.0288773282880927,1202,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.00423053135068886,0.000832609663221731
"barcelopeisakhin2023",0.128149048512953,0.033194427523339,1014,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.128149048512953,0.000955010198106182
"barcelopeisakhin2023",0.0294747302290106,0.0288463465942212,1204,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.0294747302290106,0.00082981150066443
"barcelopeisakhin2023",0.148982924455075,0.0268200001436667,1015,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.148982924455075,0.000942900231697571
"coupeobrizan2016a",-0.127394447207424,0.0355097888119569,859,"ukraine","2014","N","N","N","N","N","N","s",0.5,"Individual","Russo-Ukrainian War",1,1,"1","0","1",-0.127394447207424,0.00112797750732678
"dancyetal2020",0.0770291897954687,0.0439518634697858,507,"kenya","2015","N","N","N","N","N","N","s",7.5,"Individual","Post-election violence",1,1,"o","0","",0.0770291897954687,0.00195290160911985
"delucaverpoorten2015a",0.0059114430517967,0.0387261060519092,2315,"uganda","2005","Y","N","Y","N","N","N","s",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0059114430517967,0.000432121914824224
"delucaverpoorten2015a",-0.0244638921029538,0.0285549741893352,2243,"uganda","2008","Y","N","Y","N","N","N","s",11.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.0244638921029538,0.000445496607558909
"delucaverpoorten2015a",-0.097560583500793,0.0313393113371468,2241,"uganda","2012","Y","N","Y","N","N","N","s",15.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.097560583500793,0.000437970740491969
"delucaverpoorten2015b",-0.0547750141398454,0.0570990333383823,2291,"uganda","2005","Y","N","Y","N","N","N","s",2.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.0547750141398454,0.000434064802386504
"delucaverpoorten2015b",-0.111007800987809,0.0350180124089126,2291,"uganda","2008","Y","N","Y","N","N","N","s",4,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.111007800987809,0.000425985321380215
"delucaverpoorten2015b",-0.0535719523141808,0.0184800184373668,2161,"uganda","2012","Y","N","Y","N","N","N","s",6,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.0535719523141808,0.000460309411336521
"grossmanetal2015",0.0452185828778804,0.0206867024159238,2334,"israel","2013","N","N","Y","N","N","N","s",10.5,"Individual","Israel-Palestine conflict",1,1,"0","0","1",0.0452185828778804,0.000426881586114823
"hadzictavits2019",-0.00879405053551029,0.0300913918444065,1108,"bosnia","2016","N","N","N","N","Y","N","s",22.5,"Individual","Yugoslavian Wars",1,1,"0","0","1",-0.00879405053551029,0.000903202651608952
"hadzictavits2019",0.0025600387413159,0.0369694147497065,743,"bosnia","2016","N","N","N","N","Y","Y","s",22.5,"Individual","Yugoslavian Wars",1,1,"0","0","1",0.0025600387413159,0.00134769122971191
"hayesmcallister2001",0.224627314122493,0.033096962754625,943,"northernireland","1998","N","N","N","N","N","N","s",12.5,"Individual","The Troubles",1,1,"0","0","1",0.224627314122493,0.000957145532662051
"lewistopal2022",-0.0855868638067463,0.0199459808443631,2395,"uganda","2008","N","N","N","N","N","N","s",0.5,"Individual","Lord's Resistance Army (LRA) insurgency",1,1,"0","0","2",-0.0855868638067463,0.00041161379897342
"lewistopal2022",0.023244065950433,0.0224768705757718,2400,"uganda","2008","N","N","N","N","N","N","s",0.5,"Individual","Lord's Resistance Army (LRA) insurgency",1,1,"0","0","2",0.023244065950433,0.000416390045312962
"mcallister2004",0.225726551370523,0.0324399273476416,941,"northernireland","1998","N","N","N","N","N","N","s",15,"Individual","The Troubles",1,1,"1","1","1",0.225726551370523,0.000958182130662365
"mcallister2004",0.159126111388705,0.0332767604065484,942,"northernireland","1998","N","N","N","N","N","N","s",15,"Individual","The Troubles",1,1,"1","1","1",0.159126111388705,0.00100956314604944
"otoperalias2015",0.0288714005410457,0.0182054745864528,2919,"spain","2008","N","N","N","N","N","N","s",70.5,"Individual","Spanish Civil War",1,1,"0","1","",0.0288714005410457,0.000342129396600463
"otoperalias2015",0.136280752844429,0.019081013697876,2634,"spain","2008","N","N","N","N","N","N","s",70.5,"Individual","Spanish Civil War",1,1,"0","1","",0.136280752844429,0.000365818476441106
"otoperalias2015",0.064641982417108,0.0188835760632947,2899,"spain","2008","N","N","N","N","N","N","s",70.5,"Individual","Spanish Civil War",1,1,"0","1","",0.064641982417108,0.000342187815320366
"otoperalias2015",0.151241369554825,0.0194227211430459,2613,"spain","2008","N","N","N","N","N","N","s",70.5,"Individual","Spanish Civil War",1,1,"0","1","",0.151241369554825,0.000365534193699952
