"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"barcelo2021",0.214872523535342,0.0536403247961574,849,"vietnam","2001","N","N","Y","N","N","N","o",31,"Individual","Vietnam War",1,1,"1","1","1",0.214872523535342,0.00107286708107747
"barcelopeisakhin2023",0.0126472663027733,0.0337002679973676,902,"spain","2022","N","N","N","Y","N","N","o",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.0126472663027733,0.00110952288445639
"barcelopeisakhin2023",-0.0290801513503647,0.0327364236582278,903,"spain","2022","N","N","N","Y","N","N","o",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",-0.0290801513503647,0.00110677317597295
"delucaverpoorten2015a",0.101531559190892,0.0292143838563066,4171,"uganda","2005","Y","N","Y","N","N","N","o",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.101531559190892,0.000234889437265282
"delucaverpoorten2015a",0.0777836976997711,0.0414934953105217,4136,"uganda","2008","Y","N","Y","N","N","N","o",11.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0777836976997711,0.000238920435046745
"delucaverpoorten2015a",0.0556272170322919,0.0226813168742147,4130,"uganda","2012","Y","N","Y","N","N","N","o",15.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0556272170322919,0.00024069285557837
"delucaverpoorten2015b",0.094242394603174,0.0344824372999709,4296,"uganda","2005","Y","N","Y","N","N","N","o",2.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.094242394603174,0.000228711437823412
"delucaverpoorten2015b",0.0775425552245234,0.0354760032371789,4291,"uganda","2008","Y","N","Y","N","N","N","o",4,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0775425552245234,0.000230305468204667
"delucaverpoorten2015b",0.0494273870497076,0.028807024445686,4156,"uganda","2012","Y","N","Y","N","N","N","o",6,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0494273870497076,0.000239499358698735
"grossmanetal2015",-0.0380784060069589,0.0617932180569775,2334,"israel","2013","N","N","Y","N","N","N","o",10.5,"Individual","Israel-Palestine conflict",1,1,"0","0","1",-0.0380784060069589,0.000427390558247086
"hadzictavits2019",-0.000222280934982539,0.0289363829790684,1108,"bosnia","2016","N","N","N","N","Y","N","o",22.5,"Individual","Yugoslavian Wars",1,1,"0","0","1",-0.000222280934982539,0.000903342277490853
"hadzictavits2019",0.000930423200248718,0.0355718484081654,743,"bosnia","2016","N","N","N","N","Y","Y","s",22.5,"Individual","Yugoslavian Wars",1,1,"0","0","1",0.000930423200248718,0.00134770656149068
