"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"barceloratnasingham2023",0.0384404271572444,0.0433294504981771,620,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",0.0384404271572444,0.00161073804623271
"cassaretal2013",0.109427861517233,0.0570128954617594,390,"tajikistan","2010","N","N","N","N","N","N","s",15.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",0.109427861517233,0.00250949736212085
"dyrstadbinningsbo2019a",-0.0553351844586534,0.0600067537740494,678,"guatemala","2016","N","N","N","N","N","N","s",38,"Individual","Guatemalan Civil War",1,1,"1","0","2",-0.0553351844586534,0.00146807298443063
"dyrstadbinningsbo2019b",-0.0114899848063331,0.0365719230303874,622,"northernireland","2016","N","N","N","N","N","N","s",33,"Individual","The Troubles",1,1,"1","0","1",-0.0114899848063331,0.00160988080181564
"dyrstadbinningsbo2019c",0.030723921170086,0.0299138280925808,915,"nepal","2016","N","N","N","N","N","N","s",15,"Individual","Nepali Civil War",1,1,"1","0","2",0.030723921170086,0.00109202732209528
"dyrstadetal2011",-0.00193584420567106,0.0304991596114063,1838,"macedonia","2005","N","N","N","N","N","N","o",4,"Individual","Insurgency in Macedonia",1,1,"1","1","2",-0.00193584420567106,0.000544361733820613
"gursesetal2020",-0.0789266953991098,0.0100058460114646,9931,"turkey","2010","N","N","N","N","N","N","s",3.5,"Individual","Kurdish Worker's Party insurgency",1,1,"1","0","1",-0.0789266953991098,9.94541751481106e-05
"kijewskirapp2019",0.0460679248191212,0.0458514425624572,1472,"srilanka","2016","N","N","N","N","N","N","s",20,"Individual","Sri Lankan Civil War",1,1,"0","0","1",0.0460679248191212,0.000676927258032953
"rappetal2019",0.0590583270977401,0.0461959951435676,490,"srilanka","2016","N","N","N","N","N","N","s",20,"Individual","Sri Lankan Civil War",1,1,"1","0","1",0.0590583270977401,0.00203074927065353
"tellez2019",0.0438015890883511,0.0216816434891511,4717,"colombia","2015","N","N","N","N","N","N","o",26,"Individual (with clustering at the municipality level)","Colombian conflict",1,1,"1","0","2",0.0438015890883511,0.000211231238874649
"tellez2019",0.0164286708981188,0.0152937734131359,4717,"colombia","2015","N","N","N","N","N","N","s",26,"Individual (with clustering at the municipality level)","Colombian conflict",1,1,"1","0","2",0.0164286708981188,0.000211929658692052
"wernerlambsdorff2020",-0.0416372529848143,0.046560438376434,926,"indonesia","2013","N","N","N","N","N","N","s",12.5,"Individual","Maluku conflict",1,1,"1","1","1",-0.0416372529848143,0.00107733587449476
