"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"barceloratnasingham2023",0.0571361045596271,0.0376705208356971,628,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",0.0571361045596271,0.00158450014082399
"cassaretal2013",0.0813816496843346,0.0537090563620257,403,"tajikistan","2010","N","N","N","N","N","N","s",15.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",0.0813816496843346,0.00245472118895377
"dyrstadbinningsbo2019a",-0.116698894160072,0.0561960771822685,683,"guatemala","2016","N","N","N","N","N","N","s",38,"Individual","Guatemalan Civil War",1,1,"1","0","2",-0.116698894160072,0.00142661026882465
"dyrstadbinningsbo2019b",-0.015128503297426,0.0351469644574233,630,"northernireland","2016","N","N","N","N","N","N","s",33,"Individual","The Troubles",1,1,"1","0","1",-0.015128503297426,0.0015890974708397
"dyrstadbinningsbo2019c",0.0360503231454345,0.0298114977989614,915,"nepal","2016","N","N","N","N","N","N","s",15,"Individual","Nepali Civil War",1,1,"1","0","2",0.0360503231454345,0.00109124993154205
"dyrstadetal2011",0.428445279959193,0.0675039627657605,1844,"macedonia","2005","N","N","N","N","N","N","s",4,"Individual","Insurgency in Macedonia",1,1,"1","1","2",0.428445279959193,0.000361674185995346
"gursesetal2020",-0.081049439495618,0.00989178230881051,10100,"turkey","2010","N","N","N","N","N","N","s",3.5,"Individual","Kurdish Worker's Party insurgency",1,1,"1","0","1",-0.081049439495618,9.77230546221262e-05
"kijewskirapp2019",0.149987541853392,0.0250888948846228,1472,"srilanka","2016","N","N","N","N","N","N","s",20,"Individual","Sri Lankan Civil War",1,1,"0","0","1",0.149987541853392,0.000649567339506136
"rappetal2019",0.0331242436526308,0.0465946411030414,504,"srilanka","2016","N","N","N","N","N","N","s",20,"Individual","Sri Lankan Civil War",1,1,"1","0","1",0.0331242436526308,0.0019837112780254
"tellez2019",0.0574504648364804,0.0235269250403209,5462,"colombia","2015","N","N","N","N","N","N","s",26,"Individual (with clustering at the municipality level)","Colombian conflict",1,1,"1","0","2",0.0574504648364804,0.000181909866663516
"tellez2019",0.0160084464767683,0.0137386430706005,5462,"colombia","2015","N","N","N","N","N","N","s",26,"Individual (with clustering at the municipality level)","Colombian conflict",1,1,"1","0","2",0.0160084464767683,0.000183022802592437
"wernerlambsdorff2020",0.0113212248328434,0.0456620102105838,997,"indonesia","2013","N","N","N","N","N","N","s",12.5,"Individual","Maluku conflict",1,1,"1","1","1",0.0113212248328434,0.00100375871100818
