"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"balcells2012",0.247541741980262,0.0188778812392686,2299,"spain","2008","N","N","N","N","N","N","s",70.5,"Individual","Spanish Civil War",1,1,"0","0","N/A",0.247541741980262,0.000383464330786288
"barcelo2021",0.199443318991554,0.0573501095208387,862,"vietnam","2001","N","N","Y","N","N","N","o",31,"Individual","Vietnam War",1,1,"1","1","1",0.199443318991554,0.00107087919333749
"barcelopeisakhin2023",0.113293675598992,0.0339406718547472,866,"spain","2022","N","N","N","Y","N","N","o",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.113293675598992,0.00112658246831579
"barcelopeisakhin2023",0.083939478679388,0.0354190092657653,787,"spain","2022","N","N","N","N","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.083939478679388,0.001254399455018
"bellowsmiguel2006",0.0670231750079111,0.0189174285638044,5278,"sierraleone","2005","N","N","N","N","N","N","s",8.5,"Chiefdom","Sierra Leone Civil war",1,1,"1","0","2",0.0670231750079111,0.000187802912078819
"bellowsmiguel2009",0.0800432701915353,0.0203708723237388,5193,"sierraleone","2007","N","N","N","N","N","N","s",10.5,"Individual and Chiefdom","Sierra Leone Civil war",1,1,"1","0","2",0.0800432701915353,0.000190143913421295
"bermanetal2023",-0.000533450779746317,0.0205311305784717,520,"iraq","2010","N","N","N","N","N","N","o",3.5,"District","Iraq War",1,1,"1","0","2",-0.000533450779746317,0.0019267811769954
"bermanetal2023",0.0656599214231885,0.031932515889073,1248,"iraq","2011","N","N","N","N","N","N","o",4.5,"District","Iraq War",1,1,"1","0","2",0.0656599214231885,0.000795024968805796
"bermanetal2023",0.00148486377920137,0.00813951109655523,624,"iraq","2012","N","N","N","N","N","N","o",5.5,"District","Iraq War",1,1,"1","0","2",0.00148486377920137,0.00160512935852966
"childnikolova2020",-0.0281602077869412,0.0189138352790611,8886,"europe","2010","N","N","N","N","N","N","o",68,"Individual","World War II",1,1,"1","0","",-0.0281602077869412,0.000112370808580699
"childnikolova2020",0.042313207201324,0.0117692710764217,10437,"europe","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","0","",0.042313207201324,9.54793398382239e-05
"delucaverpoorten2015a",0.0246647537377796,0.0179125059830681,4193,"uganda","2005","Y","N","Y","N","N","N","o",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0246647537377796,0.000238259463248074
"delucaverpoorten2015a",0.0788697336238218,0.0360987606209503,4146,"uganda","2008","Y","N","Y","N","N","N","o",11.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0788697336238218,0.000238262442471975
"delucaverpoorten2015a",0.116546023490307,0.0268589992200036,4132,"uganda","2012","Y","N","Y","N","N","N","o",15.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.116546023490307,0.000235540679264854
"esparzaetal2020",0.0697877729115041,0.0309647787253771,1549,"colombia","2016","N","N","N","N","N","N","o",2,"individual","Colombian Conflict",1,1,"1","1","2",0.0697877729115041,0.000639717734916053
"esparzaetal2020",0.130179922941829,0.0280034181315326,1544,"colombia","2016","N","N","N","N","N","N","s",2,"individual","Colombian Conflict",1,1,"1","1","2",0.130179922941829,0.000626308211130336
"foukavoth2023",0.0189469017370266,0.0477760450584474,865,"greece","2017","N","N","Y","Y","N","N","s",74.5,"Individual","World War II",1,0,"0","0","",0.0189469017370266,0.00115657657256878
"freitagetal2019",0.157646665874554,0.033227081220271,972,"kosovo","2010","N","N","N","N","N","N","s",11.5,"Individual","Yugoslavian Wars",1,1,"1","0","1",0.157646665874554,0.000979312773228703
"getmanskyweiss2023a",0.0491635748480636,0.0261056206713937,2002,"israel","1973","Y","Y","N","N","N","N","o",0.0415,"Inividual and Locality","Israel-Palestine conflict",1,1,"0","0","1",0.0491635748480636,0.000497337195392955
"grosjean2014",0.0632883261101797,0.00717654571191193,31321,"europe","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","1","",0.0632883261101797,3.16732189937232e-05
"grossmanetal2015",-0.140244650831974,0.0625994524592347,2334,"israel","2013","N","N","Y","N","N","N","o",10.5,"Individual","Israel-Palestine conflict",1,1,"0","0","1",-0.140244650831974,0.000411937303112132
"kijewski2019",0.0339713393031841,0.0130764446985466,25194,"global","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","1","",0.0339713393031841,3.9602001669022e-05
"krakowski2020",0.0639823259139826,0.0192887740841771,5978,"colombia","2013","N","N","N","N","N","N","o",6,"Individual","Colombia conflict",1,1,"1","1","2",0.0639823259139826,0.000165940987557692
"lewistopal2022",0.0556208443889843,0.0923486812526654,2363,"uganda","2008","N","N","N","N","N","N","o",0.5,"Individual","Lord's Resistance Army (LRA) insurgency",1,1,"0","0","2",0.0556208443889843,0.000420754536064575
