"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"balcells2012",0.342998699124891,0.0201637697253849,2882,"spain","2008","N","N","N","N","N","N","s",70.5,"Individual","Spanish Civil War",1,1,"0","0","N/A",0.342998699124891,0.000270234245754755
"barcelo2021",0.106065099280116,0.0424322985024236,875,"vietnam","2001","N","N","Y","N","N","N","s",31,"Individual","Vietnam War",1,1,"1","1","1",0.106065099280116,0.00111856630154274
"barcelopeisakhin2023",0.143543618087986,0.029323331823048,1141,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.143543618087986,0.000841416680676562
"barcelopeisakhin2023",0.0658813549552302,0.0324758418687057,961,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.0658813549552302,0.00103264388833551
"bellowsmiguel2006",0.0769026255919299,0.0189610901472723,5303,"sierraleone","2005","N","N","N","N","N","N","s",8.5,"Chiefdom","Sierra Leone Civil war",1,1,"1","0","2",0.0769026255919299,0.000186383807603477
"bellowsmiguel2009",0.086857696931362,0.0210849786334779,5193,"sierraleone","2007","N","N","N","N","N","N","s",10.5,"Individual and Chiefdom","Sierra Leone Civil war",1,1,"1","0","2",0.086857696931362,0.00018970885917165
"bermanetal2023",0.0142479200305661,0.0199509793751647,520,"iraq","2010","N","N","N","N","N","N","s",3.5,"District","Iraq War",1,1,"1","0","2",0.0142479200305661,0.00192600006697479
"bermanetal2023",0.099090119277344,0.0290358064795688,1248,"iraq","2011","N","N","N","N","N","N","s",4.5,"District","Iraq War",1,1,"1","0","2",0.099090119277344,0.000786253974637261
"bermanetal2023",0.0103291677174184,0.00732988342066301,624,"iraq","2012","N","N","N","N","N","N","s",5.5,"District","Iraq War",1,1,"1","0","2",0.0103291677174184,0.00160479394537986
"childnikolova2020",-0.0471605168964676,0.0281640976304792,16584,"europe","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","0","",-0.0471605168964676,6.00347776624721e-05
"childnikolova2020",-0.0376364059542797,0.0191555197436931,16499,"europe","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","0","",-0.0376364059542797,6.04418116355472e-05
"delucaverpoorten2015a",0.0486624903849017,0.0229303422022419,2319,"uganda","2005","Y","N","Y","N","N","N","s",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0486624903849017,0.000429365630570711
"delucaverpoorten2015a",0.0302520088606484,0.0302590758456807,2236,"uganda","2008","Y","N","Y","N","N","N","s",11.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0302520088606484,0.000446608711177458
"delucaverpoorten2015a",0.107622531404717,0.0450456874218784,2226,"uganda","2012","Y","N","Y","N","N","N","s",15.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.107622531404717,0.000439087163283366
"esparzaetal2020",0.0686736140421765,0.0303175560593146,1563,"colombia","2016","N","N","N","N","N","N","s",2,"individual","Colombian Conflict",1,1,"1","1","2",0.0686736140421765,0.000634180608668606
"esparzaetal2020",0.1273104709237,0.0273831073773187,1558,"colombia","2016","N","N","N","N","N","N","s",2,"individual","Colombian Conflict",1,1,"1","1","2",0.1273104709237,0.000621610010163321
"foukavoth2023",-0.00769489429899729,0.0441977317504605,925,"greece","2017","N","N","Y","Y","N","N","s",74.5,"Individual","World War II",1,0,"0","0","",-0.00769489429899729,0.00108212292284572
