"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"barcelo2021",0.199443318991554,0.0573501095208387,862,"vietnam","2001","N","N","Y","N","N","N","o",31,"Individual","Vietnam War",1,1,"1","1","1",0.199443318991554,0.00107087919333749
"barcelopeisakhin2023",0.113293675598992,0.0339406718547472,866,"spain","2022","N","N","N","Y","N","N","o",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.113293675598992,0.00112658246831579
"delucaverpoorten2015a",0.0246647537377796,0.0179125059830681,4193,"uganda","2005","Y","N","Y","N","N","N","o",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0246647537377796,0.000238259463248074
"delucaverpoorten2015a",0.0788697336238218,0.0360987606209503,4146,"uganda","2008","Y","N","Y","N","N","N","o",11.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0788697336238218,0.000238262442471975
"delucaverpoorten2015a",0.116546023490307,0.0268589992200036,4132,"uganda","2012","Y","N","Y","N","N","N","o",15.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.116546023490307,0.000235540679264854
"foukavoth2023",0.0189469017370266,0.0477760450584474,865,"greece","2017","N","N","Y","Y","N","N","s",74.5,"Individual","World War II",1,0,"0","0","",0.0189469017370266,0.00115657657256878
"getmanskyweiss2023a",0.0491635748480636,0.0261056206713937,2002,"israel","1973","Y","Y","N","N","N","N","o",0.0415,"Inividual and Locality","Israel-Palestine conflict",1,1,"0","0","1",0.0491635748480636,0.000497337195392955
"grossmanetal2015",-0.140244650831974,0.0625994524592347,2334,"israel","2013","N","N","Y","N","N","N","o",10.5,"Individual","Israel-Palestine conflict",1,1,"0","0","1",-0.140244650831974,0.000411937303112132
"lupupeisakhin2017",0.125687171841691,0.0457796822883452,727,"ukraine","2014","N","N","N","N","Y","N","s",70,"Individual","Exile of Crimean Tartars",1,1,"1","1","1",0.125687171841691,0.00133423556922257
"nairsambanis2019",-0.077655427293081,0.0324567312510952,949,"india","2015","N","N","N","N","Y","N","s",8,"Individual","Kashmir Conflict",1,1,"1","0","1",-0.077655427293081,0.00104216839085503
"nairsambanis2019",0.0796480749957967,0.0328548918351826,949,"india","2015","N","N","N","N","Y","Y","s",8,"Individual","Kashmir Conflict",1,1,"1","0","1",0.0796480749957967,0.00104151119440767
"wang2019",-0.10235018202228,0.016101268749771,1461,"china","2008","N","N","Y","N","N","N","o",39.5,"Individual","Chinese Cultural Revolution",1,1,"1","1","",-0.10235018202228,0.000670656587556368
