"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"aloyoetal2023",-0.0680500250628492,0.0537772321148298,476,"kenya","2015","N","N","N","N","N","N","s",7.5,"Individual","Post-election violence",1,1,"1","1","",-0.0680500250628492,0.00208581017377111
"balcells2012",0.0824222469560349,0.0164568295577041,2847,"spain","2008","N","N","N","N","N","N","s",70.5,"Individual","Spanish Civil War",1,1,"0","0","N/A",0.0824222469560349,0.000346612542888627
"blattman2009",0.0123829318960371,0.0662986710537842,736,"uganda","2005","N","N","N","N","Y","N","s",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0123829318960371,0.00136012700613272
"dyrstadbinningsbo2019a",0.0637758472016171,0.0405884685923823,678,"guatemala","2016","N","N","N","N","N","N","s",38,"Individual","Guatemalan Civil War",1,1,"1","0","2",0.0637758472016171,0.00146511348010948
"dyrstadbinningsbo2019b",-0.0384494690754184,0.0459208579978154,622,"northernireland","2016","N","N","N","N","N","N","s",33,"Individual","The Troubles",1,1,"1","0","1",-0.0384494690754184,0.00160554824832346
"dyrstadbinningsbo2019c",-0.072211126984622,0.0303023056724781,915,"nepal","2016","N","N","N","N","N","N","s",15,"Individual","Nepali Civil War",1,1,"1","0","2",-0.072211126984622,0.00108271148439309
"fabbeetal2023",-0.0774032995818612,0.0396671459353652,961,"turkey","2016","N","N","N","N","N","N","o",2.5,"Individual","Syrian Civil War",1,1,"1","0","2",-0.0774032995818612,0.00102922224349304
"fabbeetal2023",0.0587663711630718,0.0286740923514157,964,"turkey","2016","N","N","N","N","N","N","s",2.5,"Individual","Syrian Civil War",1,1,"1","0","2",0.0587663711630718,0.00103126163427707
"godefroidtdyrstad2024a",0.00968011423975455,0.0314486758867744,954,"nepal","2017","N","N","N","N","N","N","s",16,"Individual","Nepali Civil War",1,1,"1","0","2",0.00968011423975455,0.00104912130068957
"godefroidtdyrstad2024b",-0.0687085674653137,0.0319820962866816,1009,"guatemala","2017","N","N","N","N","N","N","s",39,"Individual","Guatemalan Civil War",1,1,"1","0","2",-0.0687085674653137,0.000982718801687754
"godefroidtdyrstad2024c",-0.0621707881275553,0.0403004605171494,702,"northernireland","2017","N","N","N","N","N","N","s",34,"Individual","The Troubles",1,1,"1","0","1",-0.0621707881275553,0.00141552714127182
"halletal2018",0.101256961985104,0.0365239113347353,729,"bosnia","2013","N","N","N","N","N","N","s",19.5,"Individual","Yugoslavian Wars",1,1,"1","1","1",0.101256961985104,0.00134560326750153
"hayesmcallister2001",-0.0796778863747652,0.0389316482292494,425,"northernireland","1998","N","N","N","N","N","N","s",12.5,"Individual","The Troubles",1,1,"0","0","1",-0.0796778863747652,0.00232863955927025
"hazlett2020",-0.0896331917413118,0.0424092345741467,1276,"chad","2009","N","N","N","N","N","N","s",5.5,"Individual","War in Darfur",1,1,"1","1","2",-0.0896331917413118,0.000771761826497997
"kijewskirapp2019",0.186280612845247,0.0397162197396854,1472,"srilanka","2016","N","N","N","N","N","N","s",20,"Individual","Sri Lankan Civil War",1,1,"0","0","1",0.186280612845247,0.000633448802818982
"mcallister2004",-0.0633171210600467,0.03828030036998,431,"northernireland","1998","N","N","N","N","N","N","o",15,"Individual","The Troubles",1,1,"1","1","1",-0.0633171210600467,0.0023069719928045
"mcallister2004",-0.0298512242675695,0.0383863295708737,431,"northernireland","1998","N","N","N","N","N","N","s",15,"Individual","The Troubles",1,1,"1","1","1",-0.0298512242675695,0.00232143861132745
"nussioetal2015",0.0331559566288542,0.0232876981108438,1394,"colombia","2013","N","N","N","N","N","N","s",8.5,"Individual","Colombia conflict",1,1,"0","0","2",0.0331559566288542,0.000716297612045175
"tellez2019",-0.0434093091243731,0.0256705414709359,4430,"colombia","2015","N","N","N","N","N","N","o",26,"Individual (with clustering at the municipality level)","Colombian conflict",1,1,"1","0","2",-0.0434093091243731,0.000224934480606434
"tellez2019",0.0214186808073618,0.0161660825072907,4430,"colombia","2015","N","N","N","N","N","N","s",26,"Individual (with clustering at the municipality level)","Colombian conflict",1,1,"1","0","2",0.0214186808073618,0.000225577487172179
