"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"aloyoetal2023",-0.118080616283249,0.0597245781034389,476,"kenya","2015","N","N","N","N","N","N","s",7.5,"Individual","Post-election violence",1,1,"1","1","",-0.118080616283249,0.00204696493527593
"balcells2012",-0.0335652865130982,0.0189467971035518,2936,"spain","2008","N","N","N","N","N","N","s",70.5,"Individual","Spanish Civil War",1,1,"0","0","N/A",-0.0335652865130982,0.000339948215459718
"blattman2009",0.0580572325031643,0.0493455007572372,736,"uganda","2005","N","N","N","N","Y","N","s",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0580572325031643,0.00135138785950653
"dyrstadbinningsbo2019a",0.154374874371194,0.056026990765703,683,"guatemala","2016","N","N","N","N","N","N","s",38,"Individual","Guatemalan Civil War",1,1,"1","0","2",0.154374874371194,0.00139722102869777
"dyrstadbinningsbo2019b",0.0148453379974197,0.0425446262064123,630,"northernireland","2016","N","N","N","N","N","N","s",33,"Individual","The Troubles",1,1,"1","0","1",0.0148453379974197,0.00158912445222356
"dyrstadbinningsbo2019c",-0.0393969396909766,0.0255414908018055,915,"nepal","2016","N","N","N","N","N","N","s",15,"Individual","Nepali Civil War",1,1,"1","0","2",-0.0393969396909766,0.00109069821811698
"fabbeetal2023",-0.18691047344274,0.0350724540584293,1218,"turkey","2016","N","N","N","N","N","N","s",2.5,"Individual","Syrian Civil War",1,1,"1","0","2",-0.18691047344274,0.0007652830244434
"fabbeetal2023",-0.00702248008302467,0.029785698444267,1225,"turkey","2016","N","N","N","N","N","N","s",2.5,"Individual","Syrian Civil War",1,1,"1","0","2",-0.00702248008302467,0.000816912885603724
"godefroidtdyrstad2024a",0.0151920970501696,0.0314424076372783,954,"nepal","2017","N","N","N","N","N","N","s",16,"Individual","Nepali Civil War",1,1,"1","0","2",0.0151920970501696,0.00104883363446274
"godefroidtdyrstad2024b",-0.0711673988337058,0.0314921522312026,1009,"guatemala","2017","N","N","N","N","N","N","s",39,"Individual","Guatemalan Civil War",1,1,"1","0","2",-0.0711673988337058,0.000982039736976113
"godefroidtdyrstad2024c",-0.00945786062505781,0.0391309445964753,702,"northernireland","2017","N","N","N","N","N","N","s",34,"Individual","The Troubles",1,1,"1","0","1",-0.00945786062505781,0.00142627832488773
"halletal2018",0.110792590213145,0.0361586360170467,729,"bosnia","2013","N","N","N","N","N","N","s",19.5,"Individual","Yugoslavian Wars",1,1,"1","1","1",0.110792590213145,0.00134011082346807
"hayesmcallister2001",-0.0123240271177937,0.0314584432873514,946,"northernireland","1998","N","N","N","N","N","N","s",12.5,"Individual","The Troubles",1,1,"0","0","1",-0.0123240271177937,0.00105787963997803
"hazlett2020",0.0758754116884776,0.0285314504138732,1276,"chad","2009","N","N","N","N","N","N","s",5.5,"Individual","War in Darfur",1,1,"1","1","2",0.0758754116884776,0.000775309010000349
"kijewskirapp2019",0.292712388184867,0.0274921826593478,1472,"srilanka","2016","N","N","N","N","N","N","s",20,"Individual","Sri Lankan Civil War",1,1,"0","0","1",0.292712388184867,0.000568307322173607
"mcallister2004",-0.00670453002883759,0.0297984823004068,944,"northernireland","1998","N","N","N","N","N","N","s",15,"Individual","The Troubles",1,1,"1","1","1",-0.00670453002883759,0.00106035005363176
"mcallister2004",0.0159991880371726,0.033011231867292,945,"northernireland","1998","N","N","N","N","N","N","s",15,"Individual","The Troubles",1,1,"1","1","1",0.0159991880371726,0.00105877978547352
"nussioetal2015",-0.0266148293695305,0.0397395521640231,1843,"colombia","2013","N","N","N","N","N","N","s",8.5,"Individual","Colombia conflict",1,1,"0","0","2",-0.0266148293695305,0.000542119328704543
"tellez2019",-0.0430538067634174,0.0250350393122349,5034,"colombia","2015","N","N","N","N","N","N","s",26,"Individual (with clustering at the municipality level)","Colombian conflict",1,1,"1","0","2",-0.0430538067634174,0.000197952746948452
"tellez2019",0.00832643799668881,0.0161076161070691,5034,"colombia","2015","N","N","N","N","N","N","s",26,"Individual (with clustering at the municipality level)","Colombian conflict",1,1,"1","0","2",0.00832643799668881,0.000198661105834922
