"authoryear","coef","se","n","outcome","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","yi","vi"
"aaskoven2022",0.0600046047275291,0.0426431833444172,1047,"rightwing_ideology","denmark","1972","N","N","N","N","N","N","s",29.5,"Municipality, Individual",0.0600046047275291,0.000949150916636643
"acemogluetal2022",-0.095409204068553,0.0626804599019112,5775,"rightwing_ideology","italy","1919","N","N","Y","N","N","N","s",2.5,"Municipality",-0.095409204068553,0.000170051442785199
"acemogluetal2022",0.0295918004539858,0.0236559467722118,5358,"rightwing_ideology","italy","1921","N","N","Y","N","N","N","s",4.5,"Municipality",0.0295918004539858,0.00018634486046255
"acemogluetal2022",0.0503783691682595,0.0346235674053431,5775,"rightwing_ideology","italy","1924","N","N","Y","N","N","N","s",7.5,"Municipality",0.0503783691682595,0.000172312172009487
"balcells2012",-0.156301503323076,0.0218786202887038,2435,"rightwing_ideology","spain","2008","N","N","N","N","N","N","s",70.5,"Individual",-0.156301503323076,0.00039101746624184
"barcelopeisakhin2023",-0.0341297129523925,0.0302727098713866,1096,"rightwing_ideology","spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community",-0.0341297129523925,0.000911115691537465
"barcelopeisakhin2023",-0.0871215601407093,0.0338803076588932,930,"rightwing_ideology","spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community",-0.0871215601407093,0.00106014776979641
"canavanturkoglu2022",-0.127826197267225,0.050832864688773,2592,"rightwing_ideology","turkey","2010","N","N","N","N","N","N","s",3.5,"Individual",-0.127826197267225,0.000373441878442388
"canavanturkoglu2022",-0.0482600570185226,0.0664575213150572,2234,"rightwing_ideology","turkey","2011","N","N","N","N","N","N","s",0.5,"Individual",-0.0482600570185226,0.000445744450599344
"canavanturkoglu2022",-0.150564340883997,0.0667811406073583,2516,"rightwing_ideology","turkey","2012","N","N","N","N","N","N","s",1,"Individual",-0.150564340883997,0.000379791121357095
"canavanturkoglu2022",-0.201265593439497,0.0495281654920967,1659,"rightwing_ideology","turkey","2013","N","N","N","N","N","N","s",1.5,"Individual",-0.201265593439497,0.000555262489037185
"canavanturkoglu2022",-0.197263304812372,0.0391669307448909,3189,"rightwing_ideology","turkey","2014","N","N","N","N","N","N","s",2,"Individual",-0.197263304812372,0.000289739204530125
"canavanturkoglu2022",-0.2017516806956,0.0548942394261955,4990,"rightwing_ideology","turkey","2015","N","N","N","N","N","N","s",2.5,"Individual",-0.2017516806956,0.000184455665098618
"canavanturkoglu2022",-0.169458121905361,0.0567410275591249,1587,"rightwing_ideology","turkey","2016","N","N","N","N","N","N","s",3,"Individual",-0.169458121905361,0.000594825032572481
"canavanturkoglu2022",-0.107676727572111,0.0423089267726414,2552,"rightwing_ideology","turkey","2017","N","N","N","N","N","N","s",3.5,"Individual",-0.107676727572111,0.000382965845532417
"canettietal2017",0.344305768385788,0.0197923905493423,2049,"rightwing_ideology","israel","2008","N","N","N","N","N","N","s",0.5,"Individual",0.344305768385788,0.000379375165722333
"costalliruggeri2015",-0.23335091546392,0.0408377599381557,556,"rightwing_ideology","italy","1946","N","N","N","N","N","N","s",2,"Grid of squared cells with sides 25 km",-0.23335091546392,0.00161091854336732
"costalliruggeri2019",-0.191422861732928,0.0489669423873451,540,"rightwing_ideology","italy","1946","N","N","N","N","N","N","s",2,"Province",-0.191422861732928,0.00172181310640859
"costalliruggeri2019",-0.191422861732926,0.0379014614188372,900,"rightwing_ideology","italy","1955","N","N","N","N","N","N","s",11,"Province",-0.191422861732926,0.00103232176235176
"costalliruggeri2019",-0.191422861732928,0.0423869241012256,720,"rightwing_ideology","italy","1965","N","N","N","N","N","N","s",21,"Province",-0.191422861732928,0.00129076114652883
"davalosetal2018",-0.0837543153096607,0.0390843649382678,666,"rightwing_ideology","colombia","2016","N","N","N","N","N","N","s",10.5,"Municipality",-0.0837543153096607,0.00148273629555983
"dejuanetal2024",0.148379924468596,0.0274236553682146,4047,"rightwing_ideology","germany","1925","N","N","N","N","N","N","s",9,"County",0.148379924468596,0.000236394346710916
"dejuanetal2024",0.165983099302114,0.0255577944104651,3818,"rightwing_ideology","germany","1933","N","N","N","N","N","N","s",17,"County",0.165983099302114,0.000247749081854905
"dellavignaetal2014",0.098132272430728,0.0359898297941984,953,"rightwing_ideology","croatia","2010","N","N","N","N","N","N","s",17,"Village",0.098132272430728,0.0010302866071589
