"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"aaskoven2022",-0.0499424985058179,0.0364381959782957,1251,"denmark","1972","N","N","N","N","N","N","o",29.5,"Municipality, Individual","World War II",1,1,"0","0","",-0.0499424985058179,0.000796014171987843
"aaskoven2022",-0.0535141763343688,0.106984641436358,381,"denmark","1972","N","N","N","N","N","N","o",29.5,"Municipality, Individual","World War II",1,1,"0","0","",-0.0535141763343688,0.00261652807111666
"barcelo2021",0.151829865634205,0.0485574055420056,862,"vietnam","2001","N","N","Y","N","N","N","o",31,"Individual","Vietnam War",1,1,"1","1","1",0.151829865634205,0.00110850963148858
"barcelo2021",0.0647100335383866,0.0493569186048441,862,"vietnam","2001","N","N","Y","N","N","N","o",31,"Individual","Vietnam War",1,1,"1","1","1",0.0647100335383866,0.00115173374836338
"barcelopeisakhin2023",-0.04607872157599,0.0343109268865443,862,"spain","2022","N","N","N","Y","N","N","o",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",-0.04607872157599,0.00115651336936166
"barcelopeisakhin2023",0.0157258571115306,0.0345695833466134,784,"spain","2022","N","N","N","N","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.0157258571115306,0.00127650760663446
"barcelopeisakhin2023",-0.132215342905431,0.0351166381869366,901,"spain","2022","N","N","N","Y","N","N","o",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",-0.132215342905431,0.00107260420884135
"barcelopeisakhin2023",-0.0115479322675746,0.0465305649857267,820,"spain","2022","N","N","N","N","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",-0.0115479322675746,0.00122067559011499
"barcelopeisakhin2023",-0.131150698797477,0.0334729592294057,903,"spain","2022","N","N","N","Y","N","N","o",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",-0.131150698797477,0.0010708368578819
"barcelopeisakhin2023",-0.0192459414543311,0.039922973365686,820,"spain","2022","N","N","N","N","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",-0.0192459414543311,0.0012200968555261
"barceloratnasingham2023",0.309490519557797,0.0439918234797339,620,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",0.309490519557797,0.00132084957089597
"blairmorse2021",-0.16879306113879,0.0347643509251908,1062,"liberia","2015","N","N","N","N","N","N","s",19,"Individual,  Community","Liberian Civil wars",1,1,"1","0","2",-0.16879306113879,0.000889566020413665
"braithwaiteetal2019",-0.00884337969166178,0.0645714815255075,596,"lebanon","2017","N","Y","N","N","N","N","o",6.5,"Inidividual","Syrian Civil War",1,1,"1","0","2",-0.00884337969166178,0.00168040940401233
"braithwaiteetal2019",-0.0270242251679315,0.0214432469759716,2306,"lebanon","2017","N","Y","N","N","N","N","s",6.5,"Inidividual","Syrian Civil War",1,1,"1","0","2",-0.0270242251679315,0.000433206037249028
"cassaretal2013",0.0635697560494546,0.0554260793943182,397,"tajikistan","2010","N","N","N","N","N","N","s",15.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",0.0635697560494546,0.00250488409806326
"cassaretal2013",0.109740456917292,0.040413294937455,403,"tajikistan","2010","N","N","N","N","N","N","s",15.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",0.109740456917292,0.00242800770474287
"childnikolova2020",-0.0344515768868111,0.0256214631702496,5044,"europe","2010","N","N","N","N","N","N","o",68,"Individual","World War II",1,1,"1","0","",-0.0344515768868111,0.000197824228922884
"childnikolova2020",-0.0139447100175183,0.0146949445785267,5787,"europe","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","0","",-0.0139447100175183,0.000172763762173829
"childnikolova2020",-0.0250637541687771,0.0187018739440103,8887,"europe","2010","N","N","N","N","N","N","o",68,"Individual","World War II",1,1,"1","0","",-0.0250637541687771,0.00011239522969602
"childnikolova2020",-0.00430223838233234,0.0133245453566061,10438,"europe","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","0","",-0.00430223838233234,9.58094262558585e-05
"dellavignaetal2014",0.255915530041876,0.105852284439965,139,"croatia","2010","N","N","N","N","N","N","o",17,"Village","Yugoslavian Wars",1,1,"1","1","1",0.255915530041876,0.00632828829264411
"delucaverpoorten2015a",-0.00119061614417637,0.00595827519985707,4208,"uganda","2005","Y","N","Y","N","N","N","o",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.00119061614417637,0.000237698399065463
"delucaverpoorten2015a",0.0117960777214564,0.0186006934587003,4140,"uganda","2008","Y","N","Y","N","N","N","o",11.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0117960777214564,0.000241537019681757
"delucaverpoorten2015a",0.00457142729330488,0.0055429647085384,4177,"uganda","2012","Y","N","Y","N","N","N","o",15.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.00457142729330488,0.000239453593041602
"delucaverpoorten2015b",-0.00660375519070154,0.0225258373292013,4318,"uganda","2005","Y","N","Y","N","N","N","o",2.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.00660375519070154,0.000231622141009163
