"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"aaskoven2022",-0.00399349673703059,0.0271066083213031,1289,"denmark","1972","N","N","N","N","N","N","s",29.5,"Municipality, Individual","World War II",1,1,"0","0","",-0.00399349673703059,0.000776372751725126
"aaskoven2022",-0.00757740258875756,0.104278650932913,388,"denmark","1972","N","N","N","N","N","N","s",29.5,"Municipality, Individual","World War II",1,1,"0","0","",-0.00757740258875756,0.00258368260784685
"barcelo2021",0.240714710962193,0.0287353707892252,875,"vietnam","2001","N","N","Y","N","N","N","s",31,"Individual","Vietnam War",1,1,"1","1","1",0.240714710962193,0.00101541225789179
"barcelo2021",-0.00759594965897961,0.0300297756619966,875,"vietnam","2001","N","N","Y","N","N","N","s",31,"Individual","Vietnam War",1,1,"1","1","1",-0.00759594965897961,0.0011440327304653
"barcelopeisakhin2023",-0.0322358023047852,0.0296231422072158,1141,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",-0.0322358023047852,0.000875370864847296
"barcelopeisakhin2023",-0.0109855722117824,0.0309487356010829,968,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",-0.0109855722117824,0.00103387657597797
"barcelopeisakhin2023",0.0128079056773086,0.0288944945776763,1204,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.0128079056773086,0.000830982495439939
"barcelopeisakhin2023",-0.0173001429527308,0.0352770577776877,1015,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",-0.0173001429527308,0.000985603056888654
"barcelopeisakhin2023",-0.0374718825272511,0.0288539200808297,1204,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",-0.0374718825272511,0.000828922433627954
"barcelopeisakhin2023",-0.0249411167362648,0.0318756554371982,1015,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",-0.0249411167362648,0.000984966734072656
"barceloratnasingham2023",0.259692176995887,0.0367613282671098,628,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",0.259692176995887,0.00138703046830637
"blairmorse2021",-0.164967694406321,0.0321713724343006,1062,"liberia","2015","N","N","N","N","N","N","s",19,"Individual,  Community","Liberian Civil wars",1,1,"1","0","2",-0.164967694406321,0.000891905692664395
"braithwaiteetal2019",0.0530416823770414,0.0435441976102323,596,"lebanon","2017","N","Y","N","N","N","N","s",6.5,"Inidividual","Syrian Civil War",1,1,"1","0","2",0.0530416823770414,0.00167122869780456
"braithwaiteetal2019",-0.00795710411040465,0.0210813285600775,2306,"lebanon","2017","N","Y","N","N","N","N","s",6.5,"Inidividual","Syrian Civil War",1,1,"1","0","2",-0.00795710411040465,0.000433784543599655
"cassaretal2013",0.0472053551903482,0.0480530268850221,410,"tajikistan","2010","N","N","N","N","N","N","s",15.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",0.0472053551903482,0.00243410336040742
"cassaretal2013",-0.0310294694834657,0.0462595455622035,417,"tajikistan","2010","N","N","N","N","N","N","s",15.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",-0.0310294694834657,0.0023992194016463
"childnikolova2020",0.0320089991471024,0.0371683530337139,8682,"europe","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","0","",0.0320089991471024,0.000114958172756968
"childnikolova2020",-0.0325661543322487,0.0207706640372891,8721,"europe","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","0","",-0.0325661543322487,0.000114435781646751
"childnikolova2020",-0.0196789350999911,0.0264923079999257,16586,"europe","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","0","",-0.0196789350999911,6.0248756647413e-05
"childnikolova2020",-0.062532166829747,0.0176886519287831,16500,"europe","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","0","",-0.062532166829747,6.01366595823622e-05
