"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"barcelo2021",0.151829865634205,0.0485574055420056,862,"vietnam",2001,"N","N","Y","N","N","N","o",31,"Individual","Vietnam War",1,1,1,1,1,0.151829865634205,0.00110850963148858
"barcelo2021",0.0647100335383866,0.0493569186048441,862,"vietnam",2001,"N","N","Y","N","N","N","o",31,"Individual","Vietnam War",1,1,1,1,1,0.0647100335383866,0.00115173374836338
"barcelopeisakhin2023",-0.04607872157599,0.0343109268865443,862,"spain",2022,"N","N","N","Y","N","N","o",83.5,"Individual and Community","Spanish Civil War",1,1,0,0,NA,-0.04607872157599,0.00115651336936166
"barcelopeisakhin2023",-0.132215342905431,0.0351166381869366,901,"spain",2022,"N","N","N","Y","N","N","o",83.5,"Individual and Community","Spanish Civil War",1,1,0,0,NA,-0.132215342905431,0.00107260420884135
"barcelopeisakhin2023",-0.131150698797477,0.0334729592294057,903,"spain",2022,"N","N","N","Y","N","N","o",83.5,"Individual and Community","Spanish Civil War",1,1,0,0,NA,-0.131150698797477,0.0010708368578819
"braithwaiteetal2019",-0.00884337969166178,0.0645714815255075,596,"lebanon",2017,"N","Y","N","N","N","N","o",6.5,"Inidividual","Syrian Civil War",1,1,1,0,2,-0.00884337969166178,0.00168040940401233
"braithwaiteetal2019",-0.0270242251679315,0.0214432469759716,2306,"lebanon",2017,"N","Y","N","N","N","N","s",6.5,"Inidividual","Syrian Civil War",1,1,1,0,2,-0.0270242251679315,0.000433206037249028
"delucaverpoorten2015a",-0.00119061614417637,0.00595827519985707,4208,"uganda",2005,"Y","N","Y","N","N","N","o",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,1,1,2,-0.00119061614417637,0.000237698399065463
"delucaverpoorten2015a",0.0117960777214564,0.0186006934587003,4140,"uganda",2008,"Y","N","Y","N","N","N","o",11.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,1,1,2,0.0117960777214564,0.000241537019681757
"delucaverpoorten2015a",0.00457142729330488,0.0055429647085384,4177,"uganda",2012,"Y","N","Y","N","N","N","o",15.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,1,1,2,0.00457142729330488,0.000239453593041602
"delucaverpoorten2015b",-0.00660375519070154,0.0225258373292013,4318,"uganda",2005,"Y","N","Y","N","N","N","o",2.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,1,1,2,-0.00660375519070154,0.000231622141009163
"delucaverpoorten2015b",0.0187173649010934,0.0177898965562645,4283,"uganda",2008,"Y","N","Y","N","N","N","o",4,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,1,1,2,0.0187173649010934,0.000233372125931868
"delucaverpoorten2015b",0.00713502654372813,0.00628105620480005,4191,"uganda",2012,"Y","N","Y","N","N","N","o",6,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,1,1,2,0.00713502654372813,0.000238639185055877
"hadzictavits2021",0.143713688883079,0.0621583843618247,174,"bosnia",2000,"Y","N","N","N","N","N","o",6.5,"Municipalities","Yugoslavian Wars",1,1,1,1,1,0.143713688883079,0.00554404233210954
"ochsnerroesel2017",0.0655282531364818,0.0254037377206252,151,"austria",2006,"N","N","N","Y","N","N","o",400,"Municipality","Turkish sieges of Vienna",1,1,1,1,NA,0.0655282531364818,0.0066095368940346
"ochsnerroesel2017",0.073132553157013,0.0349951509293825,151,"austria",2008,"N","N","N","Y","N","N","o",402,"Municipality","Turkish sieges of Vienna",1,1,1,1,NA,0.073132553157013,0.00659554576268449
"ochsnerroesel2017",0.0685572015427794,0.0344341744334052,151,"austria",2013,"N","N","N","Y","N","N","o",407,"Municipality","Turkish sieges of Vienna",1,1,1,1,NA,0.0685572015427794,0.00660414607385438
"shai2022",-0.0138189632882613,0.0206975387052966,2097,"israel",2008,"Y","N","N","N","N","N","o",2,"Individual","Lebanese Civil war",1,1,0,0,2,-0.0138189632882613,0.000476917036724441
