"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"balcells2012",0.061637467643245,0.0180475447254074,2302,"spain","2008","N","N","N","N","N","N","s",70.5,"Individual","Spanish Civil War",1,1,"0","0","N/A",0.061637467643245,0.000431297730949198
"braithwaiteetal2019",0.237750037361314,0.0593873397646818,596,"lebanon","2017","N","Y","N","N","N","N","o",6.5,"Inidividual","Syrian Civil War",1,1,"1","0","2",0.237750037361314,0.00149604188935863
"braithwaiteetal2019",0.0582088558346091,0.0219533223504601,2306,"lebanon","2017","N","Y","N","N","N","N","s",6.5,"Inidividual","Syrian Civil War",1,1,"1","0","2",0.0582088558346091,0.000430904528670077
"canettietal2017",0.0854725180296056,0.0246148962470372,1853,"israel","2008","N","N","N","N","N","N","s",0.5,"Individual","Israel-Palestine conflict",1,1,"0","0","1",0.0854725180296056,0.000532096257237427
"dimanmiodownik2023",0.125616872207336,0.0277873423456839,1288,"palestine","2001","N","N","Y","N","N","N","o",52.5,"Village","Israel-Palestine conflict",1,1,"0","0","1",0.125616872207336,0.000752672726157838
"dinasetal2021b",0.0566016398033104,0.0277151143412998,1517,"germany","2018","N","N","N","N","N","N","s",71.5,"Individual","World War II",1,1,"0","0","",0.0566016398033104,0.000655410799953301
"dinasetal2021c",0.040170952277758,0.0253789500121294,1750,"greece","2017","N","N","N","N","N","N","s",96.5,"Individual","Greco-Turkish War",1,1,"0","0","",0.040170952277758,0.000569911488411284
"eladstrengeretal2021",0.0148166129512621,0.0328569862903506,925,"israel","2007","N","N","N","N","N","N","s",0.5,"Individual","Israel-Palestine conflict",1,1,"1","1","1",0.0148166129512621,0.00108177595687837
"esparzaetal2020",0.0303780437733212,0.0459215150188908,775,"colombia","2016","N","N","N","N","N","N","o",2,"individual","Colombian Conflict",1,1,"1","1","2",0.0303780437733212,0.00128960620222222
"esparzaetal2020",0.0148375875419529,0.0320194599420938,775,"colombia","2016","N","N","N","N","N","N","s",2,"individual","Colombian Conflict",1,1,"1","1","2",0.0148375875419529,0.00129142085330705
"fabbeetal2023",0.0951437951537036,0.0414075550291965,998,"turkey","2016","N","N","N","N","N","N","o",2.5,"Individual","Syrian Civil War",1,1,"1","0","2",0.0951437951537036,0.000984932057551427
"fabbeetal2023",0.101667593954449,0.0352690686280334,1001,"turkey","2016","N","N","N","N","N","N","s",2.5,"Individual","Syrian Civil War",1,1,"1","0","2",0.101667593954449,0.000979434239769698
"grossmanetal2015",0.0690905233050677,0.0616148583063427,2334,"israel","2013","N","N","Y","N","N","N","o",10.5,"Individual","Israel-Palestine conflict",1,1,"0","0","1",0.0690905233050677,0.000424550272389641
"halletal2021",0.0542929219232835,0.0248536996051455,1493,"turkey","2017","N","N","N","N","N","N","s",3,"Individual","Syrian Civil War",1,1,"1","0","2",0.0542929219232835,0.000666295741500902
"hirschhoefleretal2016",0.123516712152766,0.0219981327239829,1627,"israel","2014","N","N","N","N","N","N","s",11.5,"Individual","Israel-Palestine conflict",1,1,"1","1","1",0.123516712152766,0.000596383764276226
"kim2023",0.0562224102600421,0.030176220107596,2592,"southkorea","2015","N","N","N","N","N","N","o",63.5,"Individual","Korean War",1,1,"1","0","1",0.0562224102600421,0.00038351527318932
"kupatadzezeitzoff2021",0.0865315843192207,0.0667238079097544,818,"georgia","2015","N","N","N","N","N","N","o",7,"Individual","Russo-Georgian War",1,1,"1","0","1",0.0865315843192207,0.00120572905227369
"kupatadzezeitzoff2021",0.193886965388778,0.0672051009596532,818,"georgia","2015","N","N","N","N","N","N","s",7,"Individual","Russo-Georgian War",1,1,"1","0","1",0.193886965388778,0.00113369505440434
"kupatadzezeitzoff2021",0.0870142909320192,0.0367656741041409,818,"georgia","2015","N","N","N","N","N","Y","s",7,"Individual","Russo-Georgian War",1,1,"1","0","1",0.0870142909320192,0.00120552552479799
"lupupeisakhin2017",0.0853237458584191,0.0412303935279295,951,"ukraine","2014","N","N","N","N","Y","N","s",70,"Individual","Exile of Crimean Tartars",1,1,"1","1","1",0.0853237458584191,0.00103736075499705
"meernik2020",0.0564209565014067,0.0445398949137926,741,"colombia","2016","N","N","N","N","N","N","o",26,"Individual","Colombia conflict",1,1,"0","0","2",0.0564209565014067,0.00134276146606586
"meernik2020",0.0287362700052876,0.0376465799240031,738,"colombia","2016","N","N","N","N","N","N","s",26,"Individual","Colombia conflict",1,1,"0","0","2",0.0287362700052876,0.00135461212411637
"mironovaetal2019",0.0349541886074294,0.0583588477643318,220,"syria","2014","N","N","N","N","N","N","s",1.5,"Individual","Syrian Civil War",1,1,"0","0","2",0.0349541886074294,0.00455505891407009
"mironovawhitt2016",0.106290346774629,0.0531675637594218,1123,"bosnia","2013","N","N","N","N","N","N","s",19.5,"Individual","Yugoslavian Wars",1,1,"1","0","1",0.106290346774629,0.00087124096344502
"nussio2019",0.0766158548421576,0.0137676989722728,5490,"colombia","2015","N","N","N","N","N","N","s",1.5,"Individual","Colombia conflict",1,1,"1","1","2",0.0766158548421576,0.000180050005164324
"pechenkinaargo2020",0.126784176703326,0.0434596066160874,287,"palestine","2018","N","N","N","N","N","N","s",9,"Individual","Israel-Palestine conflict",1,1,"0","0","1",0.126784176703326,0.00338499974078263
"rozenaszhukov2019",0.00637337838952397,0.0380364156050796,828,"ukraine","2017","N","N","Y","N","N","N","s",1.5,"District","Holodomor",1,1,"0","0","",0.00637337838952397,0.00120909161033348
