"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"balcells2012",0.0988091222230318,0.0176188747926262,2876,"spain","2008","N","N","N","N","N","N","s",70.5,"Individual","Spanish Civil War",1,1,"0","0","N/A",0.0988091222230318,0.000341067421091398
"braithwaiteetal2019",0.178618187207651,0.04166126179075,596,"lebanon","2017","N","Y","N","N","N","N","s",6.5,"Inidividual","Syrian Civil War",1,1,"1","0","2",0.178618187207651,0.00157514114413629
"braithwaiteetal2019",0.0818902270863035,0.0217397825749169,2306,"lebanon","2017","N","Y","N","N","N","N","s",6.5,"Inidividual","Syrian Civil War",1,1,"1","0","2",0.0818902270863035,0.000428040326236935
"canettietal2017",0.0916855336617465,0.0209418073291821,2194,"israel","2008","N","N","N","N","N","N","s",0.5,"Individual","Israel-Palestine conflict",1,1,"0","0","1",0.0916855336617465,0.000448362148042049
"dimanmiodownik2023",0.104473864531231,0.0228952008537692,1692,"palestine","2001","N","N","Y","N","N","N","s",52.5,"Village","Israel-Palestine conflict",1,1,"0","0","1",0.104473864531231,0.000578527235875212
"dinasetal2021b",0.0725585106992658,0.0284348135348881,1517,"germany","2018","N","N","N","N","N","N","s",71.5,"Individual","World War II",1,1,"0","0","",0.0725585106992658,0.000652703326194518
"dinasetal2021c",0.0406148807608148,0.0242640111719847,1847,"greece","2017","N","N","N","N","N","N","s",96.5,"Individual","Greco-Turkish War",1,1,"0","0","",0.0406148807608148,0.000539926101840702
"eladstrengeretal2021",-0.00851771223268125,0.0311879994539338,1077,"israel","2007","N","N","N","N","N","N","s",0.5,"Individual","Israel-Palestine conflict",1,1,"1","1","1",-0.00851771223268125,0.000929233180688059
"esparzaetal2020",0.0459610765773513,0.0430055508897324,780,"colombia","2016","N","N","N","N","N","N","s",2,"individual","Colombian Conflict",1,1,"1","1","2",0.0459610765773513,0.00127827935969233
"esparzaetal2020",0.0294191668094065,0.035556048194452,777,"colombia","2016","N","N","N","N","N","N","s",2,"individual","Colombian Conflict",1,1,"1","1","2",0.0294191668094065,0.00128643012154237
"fabbeetal2023",0.052435296334209,0.0288340548676729,1252,"turkey","2016","N","N","N","N","N","N","s",2.5,"Individual","Syrian Civil War",1,1,"1","0","2",0.052435296334209,0.000794970934395394
