"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"aaskoven2022",-0.0397815244787825,0.0252793443776684,1262,"denmark","1972","N","N","N","N","N","N","o",29.5,"Municipality, Individual","World War II",1,1,"0","0","",-0.0397815244787825,0.000790513374422769
"aloyoetal2023",-0.0158748823088963,0.044411843054576,505,"kenya","2015","N","N","N","N","N","N","s",7.5,"Individual","Post-election violence",1,1,"1","1","",-0.0158748823088963,0.00198312706296299
"annanetal2011",0.121702654258857,0.0347405407965873,1034,"uganda","2007","N","N","N","N","Y","N","s",11,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","0","2",0.121702654258857,0.00093958984462049
"balcells2012",-0.00587988505750014,0.0194565449494033,2794,"spain","2008","N","N","N","N","N","N","s",70.5,"Individual","Spanish Civil War",1,1,"0","0","N/A",-0.00587988505750014,0.000358013195524066
"barcelopeisakhin2023",0.0458556320679401,0.0322054850128538,900,"spain","2022","N","N","N","Y","N","N","o",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.0458556320679401,0.00110767401949563
"barcelopeisakhin2023",-0.00728718964624376,0.0272383915666322,820,"spain","2022","N","N","N","N","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",-0.00728718964624376,0.00122087154646406
"barceloratnasingham2023",0.0440571287906955,0.0381620081402186,620,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",0.0440571287906955,0.0016092434675367
"bellowsmiguel2006",0.0454883709010859,0.0103698306033068,5278,"sierraleone","2005","N","N","N","N","N","N","s",8.5,"Chiefdom","Sierra Leone Civil war",1,1,"1","0","2",0.0454883709010859,0.000188718191734053
"bellowsmiguel2009",-0.00551999429360454,0.0188830067747281,5191,"sierraleone","2007","N","N","N","N","N","N","s",10.5,"Individual and Chiefdom","Sierra Leone Civil war",1,1,"1","0","2",-0.00551999429360454,0.000192666485598158
"blairmorse2021",0.181088171886521,0.0383050501060166,1062,"liberia","2015","N","N","N","N","N","N","s",19,"Individual,  Community","Liberian Civil wars",1,1,"1","0","2",0.181088171886521,0.000881705489162162
"blattman2009",0.118686172970416,0.0429811328310897,604,"uganda","2005","N","N","N","N","Y","N","s",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.118686172970416,0.00161198277209267
"cassaretal2013",-0.109108009305889,0.0529874956201048,398,"tajikistan","2010","N","N","N","N","N","N","s",15.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",-0.109108009305889,0.00245927607834891
"childnikolova2020",0.0275772639537031,0.0192488691000892,8858,"europe","2010","N","N","N","N","N","N","o",68,"Individual","World War II",1,1,"1","0","",0.0275772639537031,0.000112733382341002
"childnikolova2020",-0.0106872875183555,0.0180068271833884,10393,"europe","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","0","",-0.0106872875183555,9.62058869146245e-05
"condraetal2018",-0.0669986914943871,0.0406051441781764,410,"afghanistan","2014","N","N","N","N","N","N","o",5.5,"District","Afghanistan War",1,1,"1","1","2",-0.0669986914943871,0.00242308679761106
"cordoba2020",-0.193973156362672,0.0560892056432953,11336,"guatemala","2001","N","N","N","N","N","N","o",22,"Individual","Guatemalan Civil War",1,1,"1","0","2",-0.193973156362672,8.17083823464749e-05
"coupeobrizan2016a",-0.0886348691827458,0.0326630899388716,861,"ukraine","2014","N","N","N","N","N","N","s",0.5,"Individual","Russo-Ukrainian War",1,1,"1","0","1",-0.0886348691827458,0.00114459237077461
"coupeobrizan2016b",-0.0792127033644154,0.0275434635564536,1770,"ukraine","2015","Y","N","N","N","N","N","o",0.5,"Individual (settlement-level clustering)","Russo-Ukrainian War",1,1,"0","0","1",-0.0792127033644154,0.000558219370556145
"davalosetal2018",-0.0966550040000057,0.0436062134250708,666,"colombia","2016","N","N","N","N","N","N","o",10.5,"Municipality","Colombian conflict",1,1,"1","0","2",-0.0966550040000057,0.00147579382994548
"dejuanetal2024",-0.0233259286936384,0.0270089634588755,4039,"germany","1925","N","N","N","N","N","N","o",9,"County","World War 1",1,1,"1","1","",-0.0233259286936384,0.00024737793416167
"dejuanetal2024",0.00421054698657338,0.0244239270203403,3808,"germany","1933","N","N","N","N","N","N","o",17,"County","World War 1",1,1,"1","1","",0.00421054698657338,0.000262664707880865
"dejuanpierskalla2016",-0.017781743785225,0.0139890362197846,8353,"nepal","2003","N","N","Y","N","N","N","o",4,"Individual","Nepali Civil War",1,1,"1","0","2",-0.017781743785225,0.000119656096641797
