"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"aaskoven2022",-0.0137392887705598,0.0286154462649732,1301,"denmark","1972","N","N","N","N","N","N","s",29.5,"Municipality, Individual","World War II",1,1,"0","0","",-0.0137392887705598,0.000768940384247336
"aloyoetal2023",-0.0133409736929916,0.0475298512924297,505,"kenya","2015","N","N","N","N","N","N","s",7.5,"Individual","Post-election violence",1,1,"1","1","",-0.0133409736929916,0.0019834207708716
"annanetal2011",0.0766370532077925,0.0308696675731079,1033,"uganda","2007","N","N","N","N","Y","N","s",11,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","0","2",0.0766370532077925,0.00095764342933621
"balcells2012",0.052559529689066,0.0199061912504778,2881,"spain","2008","N","N","N","N","N","N","s",70.5,"Individual","Spanish Civil War",1,1,"0","0","N/A",0.052559529689066,0.000345306466356586
"barcelopeisakhin2023",0.0120831801200547,0.0288706288254339,1204,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.0120831801200547,0.000831012481158204
"barcelopeisakhin2023",0.00739134076394753,0.0237186492507691,1015,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.00739134076394753,0.000986085541566143
"barceloratnasingham2023",0.0901869268996246,0.0382912363049716,628,"srilanka","2022","N","N","N","N","N","N","s",26,"Individual","Sri Lankan Civil war",1,1,"1","0","1",0.0901869268996246,0.00156905708646278
"bellowsmiguel2006",0.0455452669372029,0.0104292844503409,5303,"sierraleone","2005","N","N","N","N","N","N","s",8.5,"Chiefdom","Sierra Leone Civil war",1,1,"1","0","2",0.0455452669372029,0.000187826397649132
"bellowsmiguel2009",-0.00620735263000809,0.0183951326022719,5191,"sierraleone","2007","N","N","N","N","N","N","s",10.5,"Individual and Chiefdom","Sierra Leone Civil war",1,1,"1","0","2",-0.00620735263000809,0.000192663379389462
"blairmorse2021",0.278036192250367,0.0353901679781086,1062,"liberia","2015","N","N","N","N","N","N","s",19,"Individual,  Community","Liberian Civil wars",1,1,"1","0","2",0.278036192250367,0.00080242005581181
"blattman2009",0.123663681056275,0.0486991724807792,604,"uganda","2005","N","N","N","N","Y","N","s",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.123663681056275,0.00160804055527762
"cassaretal2013",-0.0121132744727101,0.049292730751189,412,"tajikistan","2010","N","N","N","N","N","N","s",15.5,"Individual","Tajikistan Civil War",1,1,"1","0","2",-0.0121132744727101,0.00243237605521461
"childnikolova2020",0.00286763112629959,0.0175144194797337,16418,"europe","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","0","",0.00286763112629959,6.09114669824615e-05
"childnikolova2020",0.0361536823814611,0.0217276507402344,16352,"europe","2010","N","N","N","N","N","N","s",68,"Individual","World War II",1,1,"1","0","",0.0361536823814611,6.09985646738132e-05
"condraetal2018",-0.064681853659444,0.0411107374791811,410,"afghanistan","2014","N","N","N","N","N","N","s",5.5,"District","Afghanistan War",1,1,"1","1","2",-0.064681853659444,0.00242457217435964
"cordoba2020",0.00387852717713941,0.0179870811078626,11419,"guatemala","2001","N","N","N","N","N","N","s",22,"Individual","Guatemalan Civil War",1,1,"1","0","2",0.00387852717713941,8.75783774987006e-05
"coupeobrizan2016a",-0.0482853340680507,0.0346667469143773,861,"ukraine","2014","N","N","N","N","N","N","s",0.5,"Individual","Russo-Ukrainian War",1,1,"1","0","1",-0.0482853340680507,0.00115737498697266
"coupeobrizan2016b",-0.151885633560772,0.0192000868627377,1770,"ukraine","2015","Y","N","N","N","N","N","s",0.5,"Individual (settlement-level clustering)","Russo-Ukrainian War",1,1,"0","0","1",-0.151885633560772,0.000539510287581701
"davalosetal2018",-0.187008471902195,0.0381445723257747,666,"colombia","2016","N","N","N","N","N","N","s",10.5,"Municipality","Colombian conflict",1,1,"1","0","2",-0.187008471902195,0.00140041912097387
"dejuanetal2024",0.0711638126680038,0.0262478856698546,4047,"germany","1925","N","N","N","N","N","N","s",9,"County","World War 1",1,1,"1","1","",0.0711638126680038,0.000244660669932876
"dejuanetal2024",0.0511137300631243,0.0250794033456776,3818,"germany","1933","N","N","N","N","N","N","s",17,"County","World War 1",1,1,"1","1","",0.0511137300631243,0.000260618705513977
"dejuanpierskalla2016",-0.0666200715710213,0.0117462439611576,8474,"nepal","2003","N","N","Y","N","N","N","s",4,"Individual","Nepali Civil War",1,1,"1","0","2",-0.0666200715710213,0.000116976658804227
"dellavignaetal2014",-0.0694444045196606,0.0441204528350088,953,"croatia","2010","N","N","N","N","N","N","s",17,"Village","Yugoslavian Wars",1,1,"1","1","1",-0.0694444045196606,0.00104031324171457
"delucaverpoorten2015a",0.0183571111592315,0.0125263559865956,2314,"uganda","2005","Y","N","Y","N","N","N","s",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0183571111592315,0.000432047620621563
"delucaverpoorten2015a",-0.0311363943128363,0.0291669443497154,2255,"uganda","2008","Y","N","Y","N","N","N","s",11.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.0311363943128363,0.000442795913833303
"delucaverpoorten2015a",0.0300932006441434,0.0321328659857656,2256,"uganda","2012","Y","N","Y","N","N","N","s",15.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0300932006441434,0.000442656150182996
"delucaverpoorten2015b",0.00765455300697692,0.0497186955335844,2296,"uganda","2005","Y","N","Y","N","N","N","s",2.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.00765455300697692,0.000435678788265608
"delucaverpoorten2015b",0.00951001662804496,0.0253249510156845,2291,"uganda","2008","Y","N","Y","N","N","N","s",4,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.00951001662804496,0.00043660223901613
"delucaverpoorten2015b",-0.00523061053868914,0.0258540301546672,2175,"uganda","2012","Y","N","Y","N","N","N","s",6,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.00523061053868914,0.000459956431543383
"dimanmiodownik2023",-0.0225435381299511,0.024122599633339,1870,"palestine","2001","N","N","Y","N","N","N","s",52.5,"Village","Israel-Palestine conflict",1,1,"0","0","1",-0.0225435381299511,0.00053450178494152
"esparzaetal2020",0.0734327369524611,0.0273238314684831,1556,"colombia","2016","N","N","N","N","N","N","s",2,"individual","Colombian Conflict",1,1,"1","1","2",0.0734327369524611,0.000636169996082093
"esparzaetal2020",0.137335433827073,0.0240969136991548,1551,"colombia","2016","N","N","N","N","N","N","s",2,"individual","Colombian Conflict",1,1,"1","1","2",0.137335433827073,0.000621053997005629
"freitagetal2019",0.0444855459149094,0.0313876528732439,939,"kosovo","2010","N","N","N","N","N","N","s",11.5,"Individual","Yugoslavian Wars",1,1,"1","0","1",0.0444855459149094,0.00106188271717165
"getmanskyweiss2023a",-0.0158635737399014,0.0171632166489883,3488,"israel","1973","Y","Y","N","N","N","N","s",0.0415,"Inividual and Locality","Israel-Palestine conflict",1,1,"0","0","1",-0.0158635737399014,0.000286635146941674
"getmanskyweiss2023a",0.0969499840645716,0.0819618789021263,154,"israel","1977","Y","Y","N","N","N","N","s",4,"Inividual and Locality","Israel-Palestine conflict",1,1,"0","0","1",0.0969499840645716,0.00641365848372
