"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"annanetal2011",0.121702654258857,0.0347405407965873,1034,"uganda","2007","N","N","N","N","Y","N","s",11,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","0","2",0.121702654258857,0.00093958984462049
"barcelopeisakhin2023",0.0458556320679401,0.0322054850128538,900,"spain","2022","N","N","N","Y","N","N","o",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.0458556320679401,0.00110767401949563
"blattman2009",0.118686172970416,0.0429811328310897,604,"uganda","2005","N","N","N","N","Y","N","s",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.118686172970416,0.00161198277209267
"coupeobrizan2016b",-0.0792127033644154,0.0275434635564536,1770,"ukraine","2015","Y","N","N","N","N","N","o",0.5,"Individual (settlement-level clustering)","Russo-Ukrainian War",1,1,"0","0","1",-0.0792127033644154,0.000558219370556145
"dejuanpierskalla2016",-0.017781743785225,0.0139890362197846,8353,"nepal","2003","N","N","Y","N","N","N","o",4,"Individual","Nepali Civil War",1,1,"1","0","2",-0.017781743785225,0.000119656096641797
"delucaverpoorten2015a",-0.00922263096484725,0.0051954915918226,4181,"uganda","2005","Y","N","Y","N","N","N","o",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.00922263096484725,0.000239193754399725
"delucaverpoorten2015a",-0.019827605775542,0.0364185892497166,4159,"uganda","2008","Y","N","Y","N","N","N","o",11.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.019827605775542,0.00024031118005116
"delucaverpoorten2015a",0.016049225767824,0.026536103966816,4156,"uganda","2012","Y","N","Y","N","N","N","o",15.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.016049225767824,0.000240549918423767
"delucaverpoorten2015b",-0.0333978638522428,0.0167802065551774,4318,"uganda","2005","Y","N","Y","N","N","N","o",2.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.0333978638522428,0.000231125876658788
"delucaverpoorten2015b",0.0316089636004529,0.0230668636538596,4309,"uganda","2008","Y","N","Y","N","N","N","o",4,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.0316089636004529,0.000231662661349613
"delucaverpoorten2015b",-0.0359421952484323,0.0227447515463408,4187,"uganda","2012","Y","N","Y","N","N","N","o",6,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.0359421952484323,0.000238274721943538
"dimanmiodownik2023",-0.0172528299043843,0.0282913918943009,1404,"palestine","2001","N","N","Y","N","N","N","o",52.5,"Village","Israel-Palestine conflict",1,1,"0","0","1",-0.0172528299043843,0.000712334118547498
"getmanskyweiss2023a",-0.222754586020452,0.0697275048939432,424,"israel","1973","Y","Y","N","N","N","N","o",0.0415,"Inividual and Locality","Israel-Palestine conflict",1,1,"0","0","1",-0.222754586020452,0.00213527870939228
"getmanskyweiss2023a",0.302994015487371,0.0743043434183539,421,"israel","1977","Y","Y","N","N","N","N","o",4,"Inividual and Locality","Israel-Palestine conflict",1,1,"0","0","1",0.302994015487371,0.00196385114225399
"getmanskyweiss2023b",-0.0297864867328291,0.0168076588870524,5568,"israel","1986","N","N","N","Y","N","N","o",13,"Individual","Israel-Palestine conflict",1,1,"1","0","1",-0.0297864867328291,0.000179311355775428
"getmanskyweiss2023b",0.0138079229893728,0.0131091120808146,2844,"israel","1996","N","N","N","Y","N","N","o",23,"Individual","Israel-Palestine conflict",1,1,"1","0","1",0.0138079229893728,0.000351607006287792
"getmanskyweiss2023b",0.0319606947627824,0.0184832521156811,3355,"israel","2006","N","N","N","Y","N","N","o",33,"Individual","Israel-Palestine conflict",1,1,"1","0","1",0.0319606947627824,0.000297542656951171
"getmanskyweiss2023b",0.076012133671681,0.0152282102374385,2829,"israel","2015","N","N","N","Y","N","N","o",42,"Individual","Israel-Palestine conflict",1,1,"1","0","1",0.076012133671681,0.000349532423817547
"grossmanetal2015",-0.0777199541388479,0.0619583225013164,2334,"israel","2013","N","N","Y","N","N","N","o",10.5,"Individual","Israel-Palestine conflict",1,1,"0","0","1",-0.0777199541388479,0.000423470083062161
"hadzictavits2019",-0.0101312534838699,0.0289918219573817,1094,"bosnia","2016","N","N","N","N","Y","N","o",22.5,"Individual","Yugoslavian Wars",1,1,"0","0","1",-0.0101312534838699,0.000914725275334979
"hadzictavits2019",0.00103721932680842,0.0372003240162064,735,"bosnia","2016","N","N","N","N","Y","Y","s",22.5,"Individual","Yugoslavian Wars",1,1,"0","0","1",0.00103721932680842,0.00136239488876471
"kreimanmasullo2020",0.00821202196182342,0.0359617796903252,954,"colombia","2016","N","N","Y","N","N","N","o",17,"Municipality","Colombia conflict",1,1,"1","1","2",0.00821202196182342,0.00104917642176116
"lupupeisakhin2017",-0.0980247418144566,0.0441217761069048,974,"ukraine","2014","N","N","N","N","Y","N","s",70,"Individual","Exile of Crimean Tartars",1,1,"1","1","1",-0.0980247418144566,0.00100809314489506
"merilainenmitrunen2023",-0.0639511439972723,0.0406467610389516,1612,"finland","1919","Y","N","N","N","N","N","o",1,"Municipality","Finnish Civil War",1,1,"1","1","",-0.0639511439972723,0.000615665566982172
"merilainenmitrunen2023",0.0628362701593755,0.0496451070571023,1611,"finland","1922","Y","N","N","N","N","N","o",4,"Municipality","Finnish Civil War",1,1,"1","1","",0.0628362701593755,0.000616222854746945
"merilainenmitrunen2023",0.0482307741824364,0.0398362168907959,1609,"finland","1924","Y","N","N","N","N","N","o",6,"Municipality","Finnish Civil War",1,1,"1","1","",0.0482307741824364,0.000619000619455984
"merilainenmitrunen2023",0.026257410370878,0.0351341401296978,1608,"finland","1927","Y","N","N","N","N","N","o",9,"Municipality","Finnish Civil War",1,1,"1","1","",0.026257410370878,0.000621419771091934
"merilainenmitrunen2023",0.0351470913820716,0.0354372855522121,1608,"finland","1929","Y","N","N","N","N","N","o",11,"Municipality","Finnish Civil War",1,1,"1","1","",0.0351470913820716,0.000620741064060611
"merilainenmitrunen2023",0.0481210253908454,0.0340492641520613,1609,"finland","1930","Y","N","N","N","N","N","o",12,"Municipality","Finnish Civil War",1,1,"1","1","",0.0481210253908454,0.000619013741285603
"merilainenmitrunen2023",0.0259455981491285,0.0452355619381732,1608,"finland","1933","Y","N","N","N","N","N","o",15,"Municipality","Finnish Civil War",1,1,"1","1","",0.0259455981491285,0.000621440015579768
"merilainenmitrunen2023",0.00897234962344423,0.0373995896542875,1604,"finland","1936","Y","N","N","N","N","N","o",18,"Municipality","Finnish Civil War",1,1,"1","1","",0.00897234962344423,0.00062372988170007
"ochsnerroesel2017",0.0335564857705023,0.0292385352495412,151,"austria","2006","N","N","N","Y","N","N","o",400,"Municipality","Turkish sieges of Vienna",1,1,"1","1","",0.0335564857705023,0.00665166128324303
"ochsnerroesel2017",0.00398353592011843,0.0369826769566112,151,"austria","2008","N","N","N","Y","N","N","o",402,"Municipality","Turkish sieges of Vienna",1,1,"1","1","",0.00398353592011843,0.00666645508756638
"ochsnerroesel2017",0.03936240995055,0.0371003255249833,151,"austria","2013","N","N","N","Y","N","N","o",407,"Municipality","Turkish sieges of Vienna",1,1,"1","1","",0.03936240995055,0.00664602401336009
"popovic2022",0.00646154012760862,0.0036212454441249,477,"serbia","2000","Y","N","N","N","N","N","o",1,"Municipailty","Yugoslavian Wars",1,1,"1","0","1",0.00646154012760862,0.00210066491332258
"rozenasetal2017",0.10420383376549,0.0409424383350258,218,"ukraine","2004","N","N","Y","Y","N","N","o",60,"District/Precinct","World War II",1,1,"0","0","",0.10420383376549,0.00450876049656242
"rozenasetal2017",0.025703981906845,0.0765820008855741,216,"ukraine","2006","N","N","Y","Y","N","N","o",62,"District/Precinct","World War II",1,1,"0","0","",0.025703981906845,0.00464501882393364
"rozenasetal2017",0.0978651010238695,0.0635121810904838,215,"ukraine","2007","N","N","Y","Y","N","N","o",63,"District/Precinct","World War II",1,1,"0","0","",0.0978651010238695,0.00458381576637145
"rozenasetal2017",0.0808825785189945,0.0641927728722755,218,"ukraine","2010","N","N","Y","Y","N","N","o",66,"District/Precinct","World War II",1,1,"0","0","",0.0808825785189945,0.00454819730247524
"rozenasetal2017",0.0172007556723058,0.0661364012475854,207,"ukraine","2012","N","N","Y","Y","N","N","o",68,"District/Precinct","World War II",1,1,"0","0","",0.0172007556723058,0.00485149687157908
"rozenasetal2017",0.0828682046976724,0.0488076095375537,218,"ukraine","2014","N","N","Y","Y","N","N","o",70,"District/Precinct","World War II",1,1,"0","0","",0.0828682046976724,0.004545220640107
"zhukovtalibova2018",-0.0601280894961018,0.0292520919893632,5083,"russia","2003","N","N","Y","N","N","N","o",66,"District","World War II",1,1,"1","1","",-0.0601280894961018,0.000195352675468579
"zhukovtalibova2018",-0.0967234263548611,0.0240588606082819,5086,"russia","2004","N","N","Y","N","N","N","o",67,"District","World War II",1,1,"1","1","",-0.0967234263548611,0.000192994430972328
"zhukovtalibova2018",-0.060856459035697,0.0230117203900246,5464,"russia","2007","N","N","Y","N","N","N","o",70,"District","World War II",1,1,"1","1","",-0.060856459035697,0.000181696265561646
"zhukovtalibova2018",-0.09574949368181,0.0243197832226641,5104,"russia","2008","N","N","Y","N","N","N","o",71,"District","World War II",1,1,"1","1","",-0.09574949368181,0.000192386462965217
"zhukovtalibova2018",-0.0103357395079649,0.0218596234765677,5486,"russia","2011","N","N","Y","N","N","N","o",74,"District","World War II",1,1,"1","1","",-0.0103357395079649,0.000182276455130312
