"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"aaskoven2022",0.332190171569888,0.103682295668399,278,"denmark","1972","N","N","N","N","N","N","o",29.5,"Municipality, Individual","World War II",1,1,"0","0","",0.332190171569888,0.00285731613993203
"aaskoven2022",0.278777185358854,0.0779040810666775,276,"denmark","1986","N","N","N","N","N","N","o",43.5,"Municipality, Individual","World War II",1,1,"0","0","",0.278777185358854,0.00309311436462117
"aaskoven2022",0.151265726159623,0.0533121867428798,276,"denmark","1992","N","N","N","N","N","N","o",49.5,"Municipality, Individual","World War II",1,1,"0","0","",0.151265726159623,0.00347185787265329
"aaskoven2022",0.101552747190998,0.0531792116002884,276,"denmark","1993","N","N","N","N","N","N","o",50.5,"Municipality, Individual","World War II",1,1,"0","0","",0.101552747190998,0.00356174704083423
"aaskoven2022",-0.021521934570498,0.0401566853029363,276,"denmark","1998","N","N","N","N","N","N","o",55.5,"Municipality, Individual","World War II",1,1,"0","0","",-0.021521934570498,0.00363299573532022
"aaskoven2022",-0.155059342303015,0.0452338553988754,276,"denmark","2000","N","N","N","N","N","N","o",57.5,"Municipality, Individual","World War II",1,1,"0","0","",-0.155059342303015,0.0034636046756187
"balcells2012",0.24679590259637,0.0356836172158556,2040,"spain","2008","N","N","N","N","N","N","s",70.5,"Individual","Spanish Civil War",1,1,"0","0","N/A",0.24679590259637,0.00043251269047915
"blattman2009",0.00450259218098014,0.00745661902538041,350,"uganda","2005","N","N","N","N","Y","N","s",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.00450259218098014,0.00286521333449373
"braithwaiteetal2019",0.254921355183056,0.0680956465329407,596,"lebanon","2017","N","Y","N","N","N","N","o",6.5,"Inidividual","Syrian Civil War",1,1,"1","0","2",0.254921355183056,0.00146933318020848
"braithwaiteetal2019",0.0619382150018699,0.022948088381482,2306,"lebanon","2017","N","Y","N","N","N","N","s",6.5,"Inidividual","Syrian Civil War",1,1,"1","0","2",0.0619382150018699,0.000430517150788881
"canavanturkoglu2022",-0.0231306420205706,0.108308928840979,267,"turkey","2010","N","N","N","N","N","N","o",3.5,"Individual","Kurdish Worker's Party insurgency",1,1,"1","o","1",-0.0231306420205706,0.00375537681598833
"canavanturkoglu2022",0.0376298192707254,0.080184556925871,280,"turkey","2011","N","N","N","N","N","N","o",0.5,"Individual","Kurdish Worker's Party insurgency",1,1,"1","o","1",0.0376298192707254,0.00357408601601665
"canavanturkoglu2022",0.0933056192304265,0.0257044825622979,2454,"turkey","2012","N","N","N","N","N","N","o",1,"Individual","Kurdish Worker's Party insurgency",1,1,"1","o","1",0.0933056192304265,0.000400596786060584
"canavanturkoglu2022",0.0562127264935867,0.0228489607711026,1623,"turkey","2013","N","N","N","N","N","N","o",1.5,"Individual","Kurdish Worker's Party insurgency",1,1,"1","o","1",0.0562127264935867,0.000612632702554037
"canavanturkoglu2022",0.0921800567259197,0.0226548206034914,2822,"turkey","2014","N","N","N","N","N","N","o",2,"Individual","Kurdish Worker's Party insurgency",1,1,"1","o","1",0.0921800567259197,0.000348485599454324
"canavanturkoglu2022",0.10297983425582,0.0163569896081125,4717,"turkey","2015","N","N","N","N","N","N","o",2.5,"Individual","Kurdish Worker's Party insurgency",1,1,"1","o","1",0.10297983425582,0.000207570561967251
"canavanturkoglu2022",0.157365349524924,0.0201609881096855,1544,"turkey","2016","N","N","N","N","N","N","o",3,"Individual","Kurdish Worker's Party insurgency",1,1,"1","o","1",0.157365349524924,0.000616387259860433
"canavanturkoglu2022",0.0641597837797389,0.0193851817114805,2155,"turkey","2017","N","N","N","N","N","N","o",3.5,"Individual","Kurdish Worker's Party insurgency",1,1,"1","o","1",0.0641597837797389,0.000460438249619592
"canettietal2017",0.0431689993127867,0.021949147483866,1857,"israel","2008","N","N","N","N","N","N","s",0.5,"Individual","Israel-Palestine conflict",1,1,"0","0","1",0.0431689993127867,0.000536786825356607
"coupeobrizan2016a",0.0377559435960379,0.0364312543365333,861,"ukraine","2014","N","N","N","N","N","N","s",0.5,"Individual","Russo-Ukrainian War",1,1,"1","0","1",0.0377559435960379,0.00115947791805668
"coupeobrizan2016b",0.0149524274112845,0.0245139433819839,1293,"ukraine","2015","Y","N","N","N","N","N","o",0.5,"Individual (settlement-level clustering)","Russo-Ukrainian War",1,1,"0","0","1",0.0149524274112845,0.000773647755274643
"dellavignaetal2014",0.255915530041876,0.105852284439965,139,"croatia","2010","N","N","N","N","N","N","o",17,"Village","Yugoslavian Wars",1,1,"1","1","1",0.255915530041876,0.00632828829264411
"dimanmiodownik2023",0.157059068409796,0.0240385180784901,1554,"palestine","2001","N","N","Y","N","N","N","s",52.5,"Village","Israel-Palestine conflict",1,1,"0","0","1",0.157059068409796,0.000612539205493458
"esparzaetal2020",-0.0172399015955328,0.027318844465978,1530,"colombia","2016","N","N","N","N","N","N","o",2,"individual","Colombian Conflict",1,1,"1","1","2",-0.0172399015955328,0.000653633525128998
"esparzaetal2020",-0.0688699239336581,0.0205277584944325,1530,"colombia","2016","N","N","N","N","N","N","s",2,"individual","Colombian Conflict",1,1,"1","1","2",-0.0688699239336581,0.000647832808262808
"fontanaetal2023",0.082568903852375,0.0133134670252302,5357,"italy","1948","N","N","N","Y","N","N","o",4,"Municipality","World War II",1,1,"1","0","",0.082568903852375,0.000184169386151727
"fontanaetal2023",0.0711784713355683,0.0128202837524761,5490,"italy","1958","N","N","N","Y","N","N","o",14,"Municipality","World War II",1,1,"1","0","",0.0711784713355683,0.000180341213078902
"fontanaetal2023",0.076621280691819,0.012778184517806,5490,"italy","1968","N","N","N","Y","N","N","o",24,"Municipality","World War II",1,1,"1","0","",0.076621280691819,0.000180049703994435
"fontanaetal2023",0.0680148737029336,0.0128520796858554,5490,"italy","1976","N","N","N","Y","N","N","o",32,"Municipality","World War II",1,1,"1","0","",0.0680148737029336,0.000180500884314002
"fontanaetal2023",0.0687503253818864,0.0130134366563033,5490,"italy","1987","N","N","N","Y","N","N","o",43,"Municipality","World War II",1,1,"1","0","",0.0687503253818864,0.000180464406328251
"foukavoth2023",0.111287194100175,0.027534296604954,560,"greece","2017","N","N","Y","Y","N","N","s",74.5,"Individual","World War II",1,0,"0","0","",0.111287194100175,0.001744872459946
"grossmanetal2015",0.0845117480459792,0.0627919568932048,2223,"israel","2013","N","N","Y","N","N","N","o",10.5,"Individual","Israel-Palestine conflict",1,1,"0","0","1",0.0845117480459792,0.000443639307116647
"halletal2018",0.0867409606070463,0.0413809405249654,710,"bosnia","2013","N","N","N","N","N","N","s",19.5,"Individual","Yugoslavian Wars",1,1,"1","1","1",0.0867409606070463,0.00138929283779318
"hallkahn2020",0.167549869058869,0.0335275586804107,793,"turkey","2016","N","N","N","N","N","N","s",2.5,"Individual","Syrian Civil War",1,1,"1","0","2",0.167549869058869,0.00119273001737687
"hayesmcallister2001",0.106476862520937,0.080062436484239,163,"northernireland","1998","N","N","N","N","N","N","s",12.5,"Individual","The Troubles",1,1,"0","0","1",0.106476862520937,0.00603366598994597
"lupupeisakhin2017",0.0928085637117964,0.0465869991760096,964,"ukraine","2014","N","N","N","N","Y","N","s",70,"Individual","Exile of Crimean Tartars",1,1,"1","1","1",0.0928085637117964,0.00102060989841249
"martinez2024",0.0899379728486292,0.046388090517304,96,"spain","1983","N","N","N","N","N","N","o",45.5,"Municipality","Spanish Civil War",1,1,"1","1","",0.0899379728486292,0.010356713172584
"martinez2024",0.227919294724613,0.0606778247566288,102,"spain","1987","N","N","N","N","N","N","o",49.5,"Municipality","Spanish Civil War",1,1,"1","1","",0.227919294724613,0.00889905051764554
"martinez2024",0.0534189409473815,0.0462632928275854,103,"spain","1991","N","N","N","N","N","N","o",53.5,"Municipality","Spanish Civil War",1,1,"1","1","",0.0534189409473815,0.00974804878856369
"martinez2024",0.0873313318053101,0.0245944319225815,104,"spain","1995","N","N","N","N","N","N","o",57.5,"Municipality","Spanish Civil War",1,1,"1","1","",0.0873313318053101,0.0095612101404022
"martinez2024",0.290844346639109,0.0494211176182502,104,"spain","1999","N","N","N","N","N","N","o",61.5,"Municipality","Spanish Civil War",1,1,"1","1","",0.290844346639109,0.00813567644248251
"martinez2024",0.125189156277521,0.0443571702029432,105,"spain","2011","N","N","N","N","N","N","o",73.5,"Municipality","Spanish Civil War",1,1,"1","1","",0.125189156277521,0.00931635550064647
"martinez2024",0.218694512202142,0.0912591508739236,105,"spain","2015","N","N","N","N","N","N","o",77.5,"Municipality","Spanish Civil War",1,1,"1","1","",0.218694512202142,0.00871762375290632
"mcallister2004",0.0908622789342025,0.065447780973991,165,"northernireland","1998","N","N","N","N","N","N","o",15,"Individual","The Troubles",1,1,"1","1","1",0.0908622789342025,0.00599729422747445
"mcallister2004",0.092883068588342,0.0765591007229681,164,"northernireland","1998","N","N","N","N","N","N","s",15,"Individual","The Troubles",1,1,"1","1","1",0.092883068588342,0.00602956994374711
"meernik2020",-0.0961984795798667,0.0588541584489598,1465,"colombia","2016","N","N","N","N","N","N","o",26,"Individual","Colombia conflict",1,1,"0","0","2",-0.0961984795798667,0.000670476328072749
"meernik2020",0.0170681841753662,0.0336744632038329,1460,"colombia","2016","N","N","N","N","N","N","s",26,"Individual","Colombia conflict",1,1,"0","0","2",0.0170681841753662,0.00068500167172512
"merilainenmitrunen2023",0.114468997829619,0.0363021528004923,1625,"finland","1919","Y","N","N","N","N","N","o",1,"Municipality","Finnish Civil War",1,1,"1","1","",0.114468997829619,0.000599732382789444
"merilainenmitrunen2023",0.0974705663294681,0.0344510005466499,1624,"finland","1922","Y","N","N","N","N","N","o",4,"Municipality","Finnish Civil War",1,1,"1","1","",0.0974705663294681,0.000604491212023289
"merilainenmitrunen2023",0.111828545628209,0.0379937038824131,1622,"finland","1924","Y","N","N","N","N","N","o",6,"Municipality","Finnish Civil War",1,1,"1","1","",0.111828545628209,0.000601570106963243
"merilainenmitrunen2023",0.0980644468454595,0.0384324284879454,1620,"finland","1927","Y","N","N","N","N","N","o",9,"Municipality","Finnish Civil War",1,1,"1","1","",0.0980644468454595,0.000605842623973224
"merilainenmitrunen2023",0.0985912497168787,0.0388935268939505,1620,"finland","1929","Y","N","N","N","N","N","o",11,"Municipality","Finnish Civil War",1,1,"1","1","",0.0985912497168787,0.000605715882592753
"merilainenmitrunen2023",0.0866782144260484,0.0378731697779318,1621,"finland","1930","Y","N","N","N","N","N","o",12,"Municipality","Finnish Civil War",1,1,"1","1","",0.0866782144260484,0.000608043346390501
"merilainenmitrunen2023",0.0692056849770649,0.041000734245145,1620,"finland","1933","Y","N","N","N","N","N","o",15,"Municipality","Finnish Civil War",1,1,"1","1","",0.0692056849770649,0.000611762869019827
