"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"aaskoven2022",0.27460873007734,0.0372721038187141,278,"denmark","1972","N","N","N","N","N","N","s",29.5,"Municipality, Individual","World War II",1,1,"0","0","",0.27460873007734,0.00308616155952573
"aaskoven2022",0.247148897307482,0.0246367720518197,276,"denmark","1986","N","N","N","N","N","N","s",43.5,"Municipality, Individual","World War II",1,1,"0","0","",0.247148897307482,0.00320569427776779
"aaskoven2022",0.186116170561145,0.0224071359352758,276,"denmark","1992","N","N","N","N","N","N","s",49.5,"Municipality, Individual","World War II",1,1,"0","0","",0.186116170561145,0.0033888051574297
"aaskoven2022",0.164274810906965,0.0311899390856096,276,"denmark","1993","N","N","N","N","N","N","s",50.5,"Municipality, Individual","World War II",1,1,"0","0","",0.164274810906965,0.00344274846807982
"aaskoven2022",0.0666894822022154,0.0417508768677873,276,"denmark","1998","N","N","N","N","N","N","s",55.5,"Municipality, Individual","World War II",1,1,"0","0","",0.0666894822022154,0.00360409020388414
"aaskoven2022",-0.0360682200194489,0.0461708914338596,276,"denmark","2000","N","N","N","N","N","N","s",57.5,"Municipality, Individual","World War II",1,1,"0","0","",-0.0360682200194489,0.00362690857961086
"balcells2012",0.272741939107416,0.0381776067131124,2435,"spain","2008","N","N","N","N","N","N","s",70.5,"Individual","Spanish Civil War",1,1,"0","0","N/A",0.272741939107416,0.00035199559098098
"blattman2009",-0.011896865032338,0.0123893669320801,350,"uganda","2005","N","N","N","N","Y","N","s",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",-0.011896865032338,0.00286451847918932
"braithwaiteetal2019",0.224106538587926,0.0477822600810959,596,"lebanon","2017","N","Y","N","N","N","N","s",6.5,"Inidividual","Syrian Civil War",1,1,"1","0","2",0.224106538587926,0.0015160923409209
"braithwaiteetal2019",0.0954456569720256,0.022298411640233,2306,"lebanon","2017","N","Y","N","N","N","N","s",6.5,"Inidividual","Syrian Civil War",1,1,"1","0","2",0.0954456569720256,0.000425971038145056
"canavanturkoglu2022",0.0844858724829491,0.0490667412245356,2692,"turkey","2010","N","N","N","N","N","N","s",3.5,"Individual","Kurdish Worker's Party insurgency",1,1,"1","o","1",0.0844858724829491,0.000366323011439907
