"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"blattman2009",0.00450259218098014,0.00745661902538041,350,"uganda","2005","N","N","N","N","Y","N","s",9.5,"Individual","Lord’s Resistance Army (LRA) insurgency",1,1,"1","1","2",0.00450259218098014,0.00286521333449373
"braithwaiteetal2019",0.254921355183056,0.0680956465329407,596,"lebanon","2017","N","Y","N","N","N","N","o",6.5,"Inidividual","Syrian Civil War",1,1,"1","0","2",0.254921355183056,0.00146933318020848
"braithwaiteetal2019",0.0619382150018699,0.022948088381482,2306,"lebanon","2017","N","Y","N","N","N","N","s",6.5,"Inidividual","Syrian Civil War",1,1,"1","0","2",0.0619382150018699,0.000430517150788881
"coupeobrizan2016b",0.0149524274112845,0.0245139433819839,1293,"ukraine","2015","Y","N","N","N","N","N","o",0.5,"Individual (settlement-level clustering)","Russo-Ukrainian War",1,1,"0","0","1",0.0149524274112845,0.000773647755274643
"dimanmiodownik2023",0.157059068409796,0.0240385180784901,1554,"palestine","2001","N","N","Y","N","N","N","s",52.5,"Village","Israel-Palestine conflict",1,1,"0","0","1",0.157059068409796,0.000612539205493458
"fontanaetal2023",0.082568903852375,0.0133134670252302,5357,"italy","1948","N","N","N","Y","N","N","o",4,"Municipality","World War II",1,1,"1","0","",0.082568903852375,0.000184169386151727
"fontanaetal2023",0.0711784713355683,0.0128202837524761,5490,"italy","1958","N","N","N","Y","N","N","o",14,"Municipality","World War II",1,1,"1","0","",0.0711784713355683,0.000180341213078902
"fontanaetal2023",0.076621280691819,0.012778184517806,5490,"italy","1968","N","N","N","Y","N","N","o",24,"Municipality","World War II",1,1,"1","0","",0.076621280691819,0.000180049703994435
"fontanaetal2023",0.0680148737029336,0.0128520796858554,5490,"italy","1976","N","N","N","Y","N","N","o",32,"Municipality","World War II",1,1,"1","0","",0.0680148737029336,0.000180500884314002
"fontanaetal2023",0.0687503253818864,0.0130134366563033,5490,"italy","1987","N","N","N","Y","N","N","o",43,"Municipality","World War II",1,1,"1","0","",0.0687503253818864,0.000180464406328251
"foukavoth2023",0.111287194100175,0.027534296604954,560,"greece","2017","N","N","Y","Y","N","N","s",74.5,"Individual","World War II",1,0,"0","0","",0.111287194100175,0.001744872459946
"grossmanetal2015",0.0845117480459792,0.0627919568932048,2223,"israel","2013","N","N","Y","N","N","N","o",10.5,"Individual","Israel-Palestine conflict",1,1,"0","0","1",0.0845117480459792,0.000443639307116647
"lupupeisakhin2017",0.0928085637117964,0.0465869991760096,964,"ukraine","2014","N","N","N","N","Y","N","s",70,"Individual","Exile of Crimean Tartars",1,1,"1","1","1",0.0928085637117964,0.00102060989841249
"merilainenmitrunen2023",0.114468997829619,0.0363021528004923,1625,"finland","1919","Y","N","N","N","N","N","o",1,"Municipality","Finnish Civil War",1,1,"1","1","",0.114468997829619,0.000599732382789444
"merilainenmitrunen2023",0.0974705663294681,0.0344510005466499,1624,"finland","1922","Y","N","N","N","N","N","o",4,"Municipality","Finnish Civil War",1,1,"1","1","",0.0974705663294681,0.000604491212023289
"merilainenmitrunen2023",0.111828545628209,0.0379937038824131,1622,"finland","1924","Y","N","N","N","N","N","o",6,"Municipality","Finnish Civil War",1,1,"1","1","",0.111828545628209,0.000601570106963243
"merilainenmitrunen2023",0.0980644468454595,0.0384324284879454,1620,"finland","1927","Y","N","N","N","N","N","o",9,"Municipality","Finnish Civil War",1,1,"1","1","",0.0980644468454595,0.000605842623973224
"merilainenmitrunen2023",0.0985912497168787,0.0388935268939505,1620,"finland","1929","Y","N","N","N","N","N","o",11,"Municipality","Finnish Civil War",1,1,"1","1","",0.0985912497168787,0.000605715882592753
"merilainenmitrunen2023",0.0866782144260484,0.0378731697779318,1621,"finland","1930","Y","N","N","N","N","N","o",12,"Municipality","Finnish Civil War",1,1,"1","1","",0.0866782144260484,0.000608043346390501
"merilainenmitrunen2023",0.0692056849770649,0.041000734245145,1620,"finland","1933","Y","N","N","N","N","N","o",15,"Municipality","Finnish Civil War",1,1,"1","1","",0.0692056849770649,0.000611762869019827
"merilainenmitrunen2023",0.071732168497368,0.0405851020065681,1619,"finland","1936","Y","N","N","N","N","N","o",18,"Municipality","Finnish Civil War",1,1,"1","1","",0.071732168497368,0.000611703008786599
"mironovawhitt2021b",0.0813114070435436,0.0917613276457874,400,"ukraine","2015","Y","N","N","N","N","N","s",0.5,"Individual","Russo-Ukrainian War",1,1,"1","0","1",0.0813114070435436,0.00247323464334678
"ochsnerroesel2017",0.0655282531364818,0.0254037377206252,151,"austria","2006","N","N","N","Y","N","N","o",400,"Municipality","Turkish sieges of Vienna",1,1,"1","1","",0.0655282531364818,0.0066095368940346
"ochsnerroesel2017",0.073132553157013,0.0349951509293825,151,"austria","2008","N","N","N","Y","N","N","o",402,"Municipality","Turkish sieges of Vienna",1,1,"1","1","",0.073132553157013,0.00659554576268449
"ochsnerroesel2017",0.0685572015427794,0.0344341744334052,151,"austria","2013","N","N","N","Y","N","N","o",407,"Municipality","Turkish sieges of Vienna",1,1,"1","1","",0.0685572015427794,0.00660414607385438
"rozenasetal2017",0.113604927349519,0.0562422996971534,218,"ukraine","2004","N","N","Y","Y","N","N","o",60,"District/Precinct","World War II",1,1,"0","0","",0.113604927349519,0.00449011247858225
"rozenasetal2017",0.10947606038052,0.0558778521605017,216,"ukraine","2006","N","N","Y","Y","N","N","o",62,"District/Precinct","World War II",1,1,"0","0","",0.10947606038052,0.00454034244101862
