"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"aaskoven2022",0.00801778229170385,0.0357322890927717,1262,"denmark","1972","N","N","N","N","N","N","o",29.5,"Municipality, Individual","World War II",1,1,"0","0","",0.00801778229170385,0.000792919456357483
"balcells2012",0.118041266999659,0.0215121504693825,2847,"spain","2008","N","N","N","N","N","N","s",70.5,"Individual","Spanish Civil War",1,1,"0","0","N/A",0.118041266999659,0.00034164675604376
"barcelopeisakhin2023",-0.0379033266022484,0.0333626372928142,903,"spain","2022","N","N","N","Y","N","N","o",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",-0.0379033266022484,0.00110546423465981
"barcelopeisakhin2023",0.101393217209835,0.0365710326733573,820,"spain","2022","N","N","N","N","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.101393217209835,0.0011960250566853
"canettietal2017",0.0507086647499275,0.0163549311029647,1857,"israel","2008","N","N","N","N","N","N","s",0.5,"Individual","Israel-Palestine conflict",1,1,"0","0","1",0.0507086647499275,0.000536025794491084
"dejuanetal2024",0.0283781026679277,0.0347722330960624,4039,"germany","1925","N","N","N","N","N","N","o",9,"County","World War 1",1,1,"1","1","",0.0283781026679277,0.000247248641682254
"dejuanetal2024",0.0897615607490473,0.0331449534312163,3808,"germany","1933","N","N","N","N","N","N","o",17,"County","World War 1",1,1,"1","1","",0.0897615607490473,0.000258458272102213
"dellavignaetal2014",0.19679000810816,0.142347372587875,948,"croatia","2010","N","N","N","N","N","N","o",17,"Village","Yugoslavian Wars",1,1,"1","1","1",0.19679000810816,0.000975762526181619
"dinasetal2021a",-0.0166772833874397,0.0173903907382915,3155,"germany","2018","N","N","N","N","N","N","o",71.5,"Individual","World War II",1,1,"1","1","",-0.0166772833874397,0.00031688136138076
"eladstrengeretal2021",0.0188533206544463,0.0306310776792987,1150,"israel","2007","N","N","N","N","N","N","s",0.5,"Individual","Israel-Palestine conflict",1,1,"1","1","1",0.0188533206544463,0.000869703421186831
"esparzaetal2020",0.0336943223323729,0.0362696759977844,1549,"colombia","2016","N","N","N","N","N","N","o",2,"individual","Colombian Conflict",1,1,"1","1","2",0.0336943223323729,0.000644528859307442
"esparzaetal2020",0.0663291280744148,0.0318340526317058,1544,"colombia","2016","N","N","N","N","N","N","s",2,"individual","Colombian Conflict",1,1,"1","1","2",0.0663291280744148,0.000642398087884905
"grossmanetal2015",-0.0278004203296307,0.0616880938726768,2334,"israel","2013","N","N","Y","N","N","N","o",10.5,"Individual","Israel-Palestine conflict",1,1,"0","0","1",-0.0278004203296307,0.000427970368871316
"gursesetal2020",-0.022336469103367,0.00727631126330871,10123,"turkey","2010","N","N","N","N","N","N","s",3.5,"Individual","Kurdish Worker's Party insurgency",1,1,"1","0","1",-0.022336469103367,9.86961483120936e-05
