"authoryear","coef","se","n","country","year","did_design","uesd_design","iv_design","rd_design","random_design","exptype","exptype2","ExposureLagMean","UnitAnalysis","ConflictStudy","SensitivityAnalysis","ControlSelectionBias","ControlMigrationBias","ControlSurvivalBias","UCDPConflictCleavage","yi","vi"
"aaskoven2022",0.055521564477134,0.0390633664699996,1301,"denmark","1972","N","N","N","N","N","N","o",29.5,"Municipality, Individual","World War II",1,1,"0","0","",0.055521564477134,0.000764495549577543
"balcells2012",0.152548692538512,0.0205601420609923,2936,"spain","2008","N","N","N","N","N","N","s",70.5,"Individual","Spanish Civil War",1,1,"0","0","N/A",0.152548692538512,0.000325042363568014
"barcelopeisakhin2023",-0.0159577289557409,0.0288418412033866,1204,"spain","2022","N","N","N","Y","N","N","o",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",-0.0159577289557409,0.000830831892451639
"barcelopeisakhin2023",0.0957225566854696,0.0327781783251512,1015,"spain","2022","N","N","N","Y","N","N","s",83.5,"Individual and Community","Spanish Civil War",1,1,"0","0","",0.0957225566854696,0.000968203492436927
"canettietal2017",0.284423129337142,0.0186470684113711,2199,"israel","2008","N","N","N","N","N","N","s",0.5,"Individual","Israel-Palestine conflict",1,1,"0","0","1",0.284423129337142,0.000384327212637981
"dejuanetal2024",0.0439907124531257,0.0246244530938123,4047,"germany","1925","N","N","N","N","N","N","o",9,"County","World War 1",1,1,"1","1","",0.0439907124531257,0.000246202021593706
"dejuanetal2024",0.137048326517134,0.0254430438358524,3818,"germany","1933","N","N","N","N","N","N","o",17,"County","World War 1",1,1,"1","1","",0.137048326517134,0.000252236909897802
"dellavignaetal2014",0.113855176422782,0.0818369115046972,953,"croatia","2010","N","N","N","N","N","N","o",17,"Village","Yugoslavian Wars",1,1,"1","1","1",0.113855176422782,0.00102336348424742
"dinasetal2021a",-0.0263539241510624,0.0176568463346734,3155,"germany","2018","N","N","N","N","N","N","o",71.5,"Individual","World War II",1,1,"1","1","",-0.0263539241510624,0.000316617445699002
"eladstrengeretal2021",0.01353073815546,0.0278940702607068,1363,"israel","2007","N","N","N","N","N","N","s",0.5,"Individual","Israel-Palestine conflict",1,1,"1","1","1",0.01353073815546,0.000733945573985715
"esparzaetal2020",-0.0250780382958417,0.0183295933329968,2594,"colombia","2016","N","N","N","N","N","N","o",2,"individual","Colombian Conflict",1,1,"1","1","2",-0.0250780382958417,0.000385168754151848
"esparzaetal2020",0.0917104255826321,0.0319775507982291,1558,"colombia","2016","N","N","N","N","N","N","s",2,"individual","Colombian Conflict",1,1,"1","1","2",0.0917104255826321,0.000631502336077
"grossmanetal2015",0.0126726873250104,0.0207062212852203,2334,"israel","2013","N","N","Y","N","N","N","o",10.5,"Individual","Israel-Palestine conflict",1,1,"0","0","1",0.0126726873250104,0.000428494998621227
"gursesetal2020",-0.0191960208183064,0.00721348759135158,10299,"turkey","2010","N","N","N","N","N","N","s",3.5,"Individual","Kurdish Worker's Party insurgency",1,1,"1","0","1",-0.0191960208183064,9.70346825939322e-05
"liendobraithwaite2018",-0.00656281006277611,0.0292651859972142,1136,"colombia","2014","N","N","N","N","N","N","o",7,"Individual","Colombia conflict",1,1,"0","0","2",-0.00656281006277611,0.000880981375245133
"liendobraithwaite2018",0.0733285876331863,0.0299151705596106,1136,"colombia","2014","N","N","N","N","N","N","s",7,"Individual","Colombia conflict",1,1,"0","0","2",0.0733285876331863,0.000871607708792726
"meernik2020",-0.00624614984582632,0.0291682099168636,1542,"colombia","2016","N","N","N","N","N","N","o",26,"Individual","Colombia conflict",1,1,"0","0","2",-0.00624614984582632,0.000648878632541421
"meernik2020",0.0192919651543227,0.0261541802287223,1538,"colombia","2016","N","N","N","N","N","N","s",26,"Individual","Colombia conflict",1,1,"0","0","2",0.0192919651543227,0.000650133883330424
"ochsnerroesel2017",-0.232001790332329,0.0813537033982488,151,"austria","2006","N","N","N","Y","N","N","o",400,"Municipality","Turkish sieges of Vienna",1,1,"1","1","",-0.232001790332329,0.00596831633977964
"ochsnerroesel2017",-0.284597467417406,0.144196479488332,151,"austria","2008","N","N","N","Y","N","N","o",402,"Municipality","Turkish sieges of Vienna",1,1,"1","1","",-0.284597467417406,0.00563045912992076
"ochsnerroesel2017",-0.261365021097617,0.1471121417445,151,"austria","2013","N","N","N","Y","N","N","o",407,"Municipality","Turkish sieges of Vienna",1,1,"1","1","",-0.261365021097617,0.00578695424221721
"rodontormos2023",-0.0158740504659634,0.00866506699547897,8893,"spain","1995","N","N","N","N","N","N","o",49.5,"Individual","Spanish Civil War",1,1,"0","1","",-0.0158740504659634,0.000112403969021625
"rodontormos2023",-0.00389488011618893,0.00897912843683283,8924,"spain","2005","N","N","N","N","N","N","o",59.5,"Individual","Spanish Civil War",1,1,"0","1","",-0.00389488011618893,0.000112066531440983
"rodontormos2023",-0.00232588422215681,0.0235820976803402,4659,"spain","2015","N","N","N","N","N","N","o",69.5,"Individual","Spanish Civil War",1,1,"0","1","",-0.00232588422215681,0.00021468209114522
"rozenaszhukov2019",0.0625234906306402,0.0448749052951459,685,"ukraine","2017","N","N","Y","N","N","N","s",1.5,"District","Holodomor",1,1,"0","0","",0.0625234906306402,0.00145058027482571
"shai2021",-0.354779452862978,0.0137373865825327,4634,"israel","2015","Y","N","N","N","N","N","o",0.5,"Individual","Israel-Palestine conflict",1,1,"0","0","1",-0.354779452862978,0.000164926818242824
"villamil2022",-0.11381972235945,0.0354607343901118,325,"guatemala","1999","N","N","N","N","N","N","o",17.5,"Municipality","Guatemalan Civil War",1,1,"0","0","2",-0.11381972235945,0.00300696904874864
"villamil2022",-0.0467178680436885,0.0240212372758323,318,"guatemala","2003","N","N","N","N","N","N","o",21.5,"Municipality","Guatemalan Civil War",1,1,"0","0","2",-0.0467178680436885,0.00314081906995439
"villamil2022",-0.127154913346492,0.0462883256725742,323,"guatemala","2007","N","N","N","N","N","N","o",25.5,"Municipality","Guatemalan Civil War",1,1,"0","0","2",-0.127154913346492,0.00300597724309453
"villamil2022",-0.263718569483534,0.0663421368376719,315,"guatemala","2015","N","N","N","N","N","N","o",33.5,"Municipality","Guatemalan Civil War",1,1,"0","0","2",-0.263718569483534,0.0027571397603013
