authoryear,yi,vi,coef,se,n,outcome,model_type
barceloratnasingham2023,0.0989155891144023,0.00156383914651495,0.0989155891144023,0.0427374138869197,628,altruism,Bivariate
braithwaiteetal2019,-0.203671875976808,0.00155985791092045,-0.203671875976808,0.0398360641538056,590,altruism,Bivariate
braithwaiteetal2019,0.0733993362842433,4.3312351121671e-4,0.0733993362842433,0.0226446511810409,2285,altruism,Bivariate
cassaretal2013,-0.0394433520119991,0.00243738597655099,-0.0394433520119991,0.0417263168253622,410,altruism,Bivariate
cassaretal2013,0.00482663350099198,0.0023865236462072,0.00482663350099198,0.0510311357542967,420,altruism,Bivariate
cecchietal2015,0.145612452816353,0.00595058132796605,0.145612452816353,0.0868770352386348,162,altruism,Bivariate
cilliersetal2016,0.0562455773066617,3.3133807209409e-4,0.0562455773066617,0.0209492860726391,3000,altruism,Bivariate
dinasetal2021a,0.0731087502564166,3.1367748545155e-4,0.0731087502564166,0.0177761923536944,3155,altruism,Bivariate
dinasetal2021b,0.0816435165102834,6.5086616325686e-4,0.0816435165102834,0.0257275417029782,1517,altruism,Bivariate
dinasetal2021c,0.0623513413734627,5.7156666739033e-4,0.0623513413734627,0.028005397816746,1737,altruism,Bivariate
elbialyetal2022a,-0.0591367390531496,0.00694418127464168,-0.0591367390531496,0.0845028600702523,144,altruism,Bivariate
elbialyetal2022b,-0.00353039047854848,0.00826425680034282,-0.00353039047854848,0.0249594148251031,122,altruism,Bivariate
gilliganetal2014,0.115927179154341,0.00387769875684272,0.115927179154341,0.0893479147166059,252,altruism,Bivariate
gilliganetal2014,0.184756537629098,0.0037167141049526,0.184756537629098,0.0808858989060775,252,altruism,Bivariate
hartmanmorse2018,0.18490296501683,5.9300106933078e-4,0.18490296501683,0.024390593752054,1574,altruism,Bivariate
hartmanmorseweber2021,0.0845285468856942,4.5280702876571e-4,0.0845285468856942,0.0385760589795832,2178,altruism,Bivariate
hassanetal2023a,-0.293603243718805,0.00560419600296582,-0.293603243718805,0.0757303015132508,150,altruism,Bivariate
hassanetal2023b,-0.0320525355364799,0.00852945577273743,-0.0320525355364799,0.0861264823073435,118,altruism,Bivariate
henrichetal2019b,-0.0019727381987477,0.00239232587708886,-0.0019727381987477,0.0489459126275519,419,altruism,Bivariate
koos2018,0.182081299639315,1.7076944863261e-4,0.182081299639315,0.0240434225826578,5475,altruism,Bivariate
lindseykoos2024,-0.0608503654930842,9.9360177830032e-4,-0.0608503654930842,0.0354646859839205,1000,altruism,Bivariate
mironovawhitt2016,0.440127267030797,5.7684145599729e-4,0.440127267030797,0.0617198074632965,1128,altruism,Bivariate
mironovawhitt2018,-0.160234170101816,0.00140016110108774,-0.160234170101816,0.0353890656843363,679,altruism,Bivariate
mironovawhitt2018,0.0556531098108608,0.00213723667916072,0.0556531098108608,0.0457790390159935,466,altruism,Bivariate
mullerwhitt2020,-0.00487753055621505,0.00613467742305107,-0.00487753055621505,0.0633191621301792,164,altruism,Bivariate
nairsambanis2019,-0.0426462312843723,0.00101877904456847,-0.0426462312843723,0.0319170538421861,979,altruism,Bivariate
nairsambanis2019,-0.0604953677807487,0.00101502455448011,-0.0604953677807487,0.0314192620038253,979,altruism,Bivariate
osborneetal2018,0.0624979768080453,0.00362117979052258,0.0624979768080453,0.0610476747670535,275,altruism,Bivariate
osborneetal2018,-0.0357007847123601,0.00364033770952344,-0.0357007847123601,0.0594533142786229,275,altruism,Bivariate
peisakhinetal2024,-0.0390548315766851,6.659664440479e-4,-0.0390548315766851,0.0244371339370052,1498,altruism,Bivariate
schaub2023,-0.0264982319563285,5.9263868274768e-4,-0.0264982319563285,0.0231429619479175,1686,altruism,Bivariate
stageuwera2018,0.193945369038133,0.00309760956956733,0.193945369038133,0.0609785193128962,300,altruism,Bivariate
stageuwera2018,0.13037116880367,0.00323175786795012,0.13037116880367,0.0593935984990606,300,altruism,Bivariate
velezetal2016,-0.0644047731173612,1.428993164401e-4,-0.0644047731173612,0.195655925940838,6941,altruism,Bivariate
velezetal2016,-0.0581968432574292,1.4419827609981e-4,-0.0581968432574292,0.114727598129748,6889,altruism,Bivariate
velezetal2016,0.0733348338848129,1.0354541837336e-4,0.0733348338848129,0.0408030785644193,9555,altruism,Bivariate
